K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,70.0,set(),70.0,set(),70.0,set(),70.0,set(),70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.00098419189453125,0.0009400844573974609,1,328,46,0,adult (14),[44],,,-1
2,70.0,set(),70.0,"{1, 14}",70.0,set(),70.0,"{44, 7}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.030174970626831055,0.0005741119384765625,1,328,46,0,adult (14),[44],,,-1
4,70.0,set(),70.0,"{1, 23, 14, 25}",70.0,set(),70.0,"{1, 44, 17, 7}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02949213981628418,0.0005900859832763672,1,328,46,0,adult (14),[44],,,-1
6,70.0,set(),70.0,"{1, 23, 22, 7, 25, 14}",70.0,set(),70.0,"{1, 7, 44, 14, 15, 17}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02999711036682129,0.0008420944213867188,1,328,46,0,adult (14),[44],,,-1
0,79.5,set(),79.5,set(),79.5,set(),79.5,set(),144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5520833333333334,0.5520833333333334,1.0,0.5520833333333334,0.5520833333333334,0.0006759166717529297,0.0011391639709472656,2,328,49,1,adult (14),"[44, 13]",,,-1
2,108.5,"{9, 5}",96.5,"{18, 5}",108.5,"{9, 5}",80.0,"{41, 7}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1243523316062176,0.7534722222222222,0.6701388888888888,1.35625,0.7534722222222222,0.5555555555555556,0.06458592414855957,0.0006649494171142578,2,328,49,1,adult (14),"[44, 13]",,,-1
4,126.0,"{8, 9, 11, 5}",114.0,"{9, 18, 3, 5}",126.0,"{8, 9, 11, 5}",88.0,"{48, 41, 1, 7}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.105263157894737,0.875,0.7916666666666666,1.4318181818181819,0.875,0.6111111111111112,0.12880587577819824,0.0006940364837646484,2,328,49,1,adult (14),"[44, 13]",,,-1
6,134.0,"{5, 46, 8, 9, 11, 43}",129.5,"{18, 3, 5, 8, 9, 31}",134.0,"{5, 8, 9, 11, 43, 46}",89.0,"{1, 7, 41, 14, 15, 17}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0347490347490347,0.9305555555555556,0.8993055555555556,1.5056179775280898,0.9305555555555556,0.6180555555555556,0.19503402709960938,0.0006768703460693359,2,328,49,1,adult (14),"[44, 13]",,,-1
0,84.9999999999999,set(),84.9999999999999,set(),84.9999999999999,set(),84.9999999999999,set(),207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.410628019323671,0.410628019323671,1.0,0.410628019323671,0.410628019323671,0.0007011890411376953,0.0008590221405029297,3,328,49,2,adult (14),"[44, 13, 20]",,,-1
2,147.3333333333334,"{9, 5}",123.99999999999982,"{18, 5}",147.3333333333334,"{9, 5}",85.33333333333324,"{41, 7}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.188172043010755,0.7117552334943642,0.5990338164251199,1.7265625000000027,0.7117552334943642,0.4122383252818031,0.07982802391052246,0.0007507801055908203,3,328,49,2,adult (14),"[44, 13, 20]",,,-1
