K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,50.0,set(),50.0,set(),50.0,set(),50.0,set(),50.0,set(),50,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.0007221698760986328,0.0005059242248535156,1,328,46,0
1,50.0,set(),50.0,{14},50.0,set(),50.0,{44},50.0,set(),50,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.0167238712310791,0.00039124488830566406,1,328,46,0
2,50.0,set(),50.0,"{1, 14}",50.0,set(),50.0,"{44, 7}",50.0,set(),50,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.020004749298095703,0.0004448890686035156,1,328,46,0
3,50.0,set(),50.0,"{1, 14, 25}",50.0,set(),50.0,"{1, 44, 7}",50.0,set(),50,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.018259286880493164,0.0005362033843994141,1,328,46,0
0,65.5,set(),65.5,set(),65.5,set(),65.5,set(),116.0,"{34, 3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",116,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5646551724137931,0.5646551724137931,1.0,0.5646551724137931,0.5646551724137931,0.0004220008850097656,0.00043511390686035156,2,328,49,1
1,80.0,{5},68.0,{18},80.0,{5},65.5,{41},116.0,"{34, 3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",116,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1764705882352942,0.6896551724137931,0.5862068965517241,1.2213740458015268,0.6896551724137931,0.5646551724137931,0.023098230361938477,0.0007476806640625,2,328,49,1
2,92.5,"{8, 5}",82.5,"{18, 5}",92.5,"{8, 5}",65.5,"{41, 7}",116.0,"{34, 3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",116,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.121212121212121,0.7974137931034483,0.7112068965517241,1.4122137404580153,0.7974137931034483,0.5646551724137931,0.04460287094116211,0.0004677772521972656,2,328,49,1
3,97.5,"{8, 11, 5}",85.5,"{18, 3, 5}",97.5,"{8, 11, 5}",65.5,"{41, 1, 7}",116.0,"{34, 3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",116,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1403508771929824,0.8405172413793104,0.7370689655172413,1.4885496183206106,0.8405172413793104,0.5646551724137931,0.08293819427490234,0.0006420612335205078,2,328,49,1
0,70.66666666666667,set(),70.66666666666667,set(),70.66666666666667,set(),70.66666666666667,set(),164.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",164,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.43089430894308944,0.43089430894308944,1.0,0.43089430894308944,0.43089430894308944,0.0005099773406982422,0.0004956722259521484,3,328,49,2
1,105.66666666666657,{5},74.33333333333331,{18},105.66666666666657,{5},70.83333333333334,{41},164.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",164,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.421524663677129,0.6443089430894303,0.4532520325203251,1.4917647058823513,0.6443089430894303,0.4319105691056911,0.0269777774810791,0.0005190372467041016,3,328,49,2
