[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,76.83857386743342,set(),0,76.83857386743342,set(),set(),76.83857386743342,0
0,76.83857386743342,set(),2,85.31725270305394,"{1, 22}","{1, 22}",85.31725270305394,0
1,202.51296364454257,{5},1,80.5997593772409,{22},"{5, 22}",204.31327561327555,0
2,231.23708513708513,"{9, 5}",0,76.83857386743342,set(),"{9, 5}",231.23708513708513,0
0,76.83857386743342,set(),4,92.93288638756594,"{1, 20, 37, 22}","{1, 20, 37, 22}",92.93288638756594,0
1,202.51296364454257,{5},3,89.03341742651865,"{1, 20, 22}","{1, 20, 5, 22}",208.5079184704184,0
2,231.23708513708513,"{9, 5}",2,85.31725270305394,"{1, 22}","{9, 5, 1, 22}",231.4636724386724,0
3,235.49285714285713,"{8, 9, 5}",1,80.5997593772409,{22},"{8, 9, 5, 22}",235.57619047619045,0
4,237.87619047619046,"{8, 9, 5, 46}",0,76.83857386743342,set(),"{8, 9, 5, 46}",237.87619047619046,0
0,76.83857386743342,set(),6,100.7327250717131,"{1, 37, 44, 13, 20, 22}","{1, 20, 37, 22, 44, 13}",100.7327250717131,0
1,202.51296364454257,{5},5,96.69812563550853,"{1, 37, 44, 20, 22}","{1, 20, 5, 37, 22, 44}",210.66547619047614,0
2,231.23708513708513,"{9, 5}",4,92.93288638756594,"{1, 20, 37, 22}","{1, 20, 5, 37, 22, 9}",232.0369047619047,0
3,235.49285714285713,"{8, 9, 5}",3,89.03341742651865,"{1, 20, 22}","{1, 20, 5, 22, 8, 9}",235.64999999999998,0
4,237.87619047619046,"{8, 9, 5, 46}",2,85.31725270305394,"{1, 22}","{1, 5, 22, 8, 9, 46}",237.89999999999998,0
5,239.97619047619048,"{3, 5, 8, 9, 46}",1,80.5997593772409,{22},"{3, 5, 22, 8, 9, 46}",239.97619047619048,0
6,241.14285714285714,"{3, 5, 8, 9, 46, 18}",0,76.83857386743342,set(),"{18, 3, 5, 8, 9, 46}",241.14285714285714,0
0,75.29576431903851,set(),0,75.29576431903851,set(),set(),75.29576431903851,1
0,75.29576431903851,set(),2,80.97928217565095,"{20, 37}","{20, 37}",80.97928217565095,1
1,236.14396387925797,{8},1,78.12654514715324,{20},"{8, 20}",236.4229016081957,1
2,263.2393162393162,"{8, 9}",0,75.29576431903851,set(),"{8, 9}",263.2393162393162,1
0,75.29576431903851,set(),4,87.08117232537396,"{0, 20, 37, 22}","{0, 20, 37, 22}",87.08117232537396,1
1,236.14396387925797,{8},3,83.94558705824102,"{20, 37, 22}","{8, 20, 37, 22}",237.05932678432677,1
2,263.2393162393162,"{8, 9}",2,80.97928217565095,"{20, 37}","{8, 9, 20, 37}",263.7738095238095,1
3,268.4119047619048,"{8, 9, 5}",1,78.12654514715324,{20},"{8, 9, 20, 5}",268.6523809523809,1
4,271.8166666666667,"{8, 9, 18, 5}",0,75.29576431903851,set(),"{8, 9, 18, 5}",271.8166666666667,1
0,75.29576431903851,set(),6,93.76865253934481,"{0, 1, 37, 44, 20, 22}","{0, 1, 20, 37, 22, 44}",93.76865253934481,1
1,236.14396387925797,{8},5,90.16070539342834,"{0, 37, 44, 20, 22}","{0, 20, 37, 22, 8, 44}",238.0333028083027,1
2,263.2393162393162,"{8, 9}",4,87.08117232537396,"{0, 20, 37, 22}","{0, 20, 37, 22, 8, 9}",264.1391053391053,1
3,268.4119047619048,"{8, 9, 5}",3,83.94558705824102,"{20, 37, 22}","{20, 5, 37, 22, 8, 9}",268.85238095238094,1
4,271.8166666666667,"{8, 9, 18, 5}",2,80.97928217565095,"{20, 37}","{18, 20, 5, 37, 8, 9}",271.98571428571427,1
5,273.4,"{3, 5, 8, 9, 18}",1,78.12654514715324,{20},"{18, 3, 20, 5, 8, 9}",273.5,1
6,274.0,"{3, 5, 8, 9, 10, 18}",0,75.29576431903851,set(),"{18, 3, 5, 8, 9, 10}",274.0,1
0,77.2109162648666,set(),0,77.2109162648666,set(),set(),77.2109162648666,2
0,77.2109162648666,set(),2,82.21952683411152,"{20, 37}","{20, 37}",82.21952683411152,2
1,277.673688196908,{5},1,79.72677577533102,{20},"{20, 5}",277.7294120911768,2
2,293.4409090909091,"{9, 5}",0,77.2109162648666,set(),"{9, 5}",293.4409090909091,2
0,77.2109162648666,set(),4,87.38249903554498,"{32, 42, 20, 37}","{32, 42, 20, 37}",87.38249903554498,2
1,277.673688196908,{5},3,84.75004828389199,"{42, 20, 37}","{42, 37, 20, 5}",278.40559368821755,2
2,293.4409090909091,"{9, 5}",2,82.21952683411152,"{20, 37}","{9, 37, 20, 5}",293.48333333333335,2
3,295.8833333333333,"{8, 9, 5}",1,79.72677577533102,{20},"{8, 9, 20, 5}",295.8833333333333,2
4,297.45,"{8, 9, 43, 5}",0,77.2109162648666,set(),"{8, 9, 43, 5}",297.45,2
