[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,76.83857386743342,set(),0,76.83857386743342,set(),set(),76.83857386743342,0
0,76.83857386743342,set(),2,81.42015533790236,"{1, 14}","{1, 14}",81.42015533790236,0
1,102.70089982030923,{18},1,78.70114923350225,{14},"{18, 14}",104.1699090068971,0
2,203.67963031120922,"{18, 5}",0,76.83857386743342,set(),"{18, 5}",203.67963031120922,0
0,76.83857386743342,set(),4,85.64973013790107,"{24, 1, 26, 14}","{24, 1, 26, 14}",85.64973013790107,0
1,102.70089982030923,{18},3,83.25323719581928,"{1, 26, 14}","{1, 18, 26, 14}",107.46637811538403,0
2,203.67963031120922,"{18, 5}",2,81.42015533790236,"{1, 14}","{1, 18, 5, 14}",205.59880952380948,0
3,205.77963031120925,"{18, 3, 5}",1,78.70114923350225,{14},"{18, 3, 5, 14}",205.8432666748456,0
4,234.5037518037518,"{9, 18, 3, 5}",0,76.83857386743342,set(),"{9, 18, 3, 5}",234.5037518037518,0
0,76.83857386743342,set(),6,88.15947062756813,"{1, 7, 14, 23, 24, 26}","{1, 23, 7, 24, 26, 14}",88.15947062756813,0
1,102.70089982030923,{18},5,88.15947062756813,"{1, 14, 23, 24, 26}","{1, 18, 23, 24, 26, 14}",111.30606886956679,0
2,203.67963031120922,"{18, 5}",4,85.64973013790107,"{24, 1, 26, 14}","{1, 18, 5, 24, 26, 14}",206.24553289847395,0
3,205.77963031120925,"{18, 3, 5}",3,83.25323719581928,"{1, 26, 14}","{1, 18, 3, 5, 26, 14}",207.74841269841266,0
4,234.5037518037518,"{9, 18, 3, 5}",2,81.42015533790236,"{1, 14}","{1, 18, 3, 5, 9, 14}",234.62023809523808,0
5,238.7595238095238,"{3, 5, 8, 9, 18}",1,78.70114923350225,{14},"{18, 3, 5, 8, 9, 14}",238.7595238095238,0
6,238.7595238095238,"{3, 5, 8, 9, 18, 31}",0,76.83857386743342,set(),"{18, 3, 5, 8, 9, 31}",238.7595238095238,0
0,75.29576431903851,set(),0,75.29576431903851,set(),set(),75.29576431903851,1
0,75.29576431903851,set(),2,79.65832985272363,"{1, 14}","{1, 14}",79.65832985272363,1
1,128.0798453886319,{18},1,77.25618409202018,{14},"{18, 14}",129.29350280192156,1
2,239.1829072887896,"{18, 5}",0,75.29576431903851,set(),"{18, 5}",239.1829072887896,1
0,75.29576431903851,set(),4,84.31707492100628,"{1, 23, 14, 25}","{1, 23, 14, 25}",84.31707492100628,1
1,128.0798453886319,{18},3,81.72427232027918,"{1, 14, 25}","{1, 18, 14, 25}",132.53017376008296,1
2,239.1829072887896,"{18, 5}",2,79.65832985272363,"{1, 14}","{1, 18, 5, 14}",240.24295565545563,1
3,241.4329072887896,"{18, 3, 5}",1,77.25618409202018,{14},"{18, 3, 5, 14}",241.59371388415505,1
4,267.9378427128427,"{9, 18, 3, 5}",0,75.29576431903851,set(),"{9, 18, 3, 5}",267.9378427128427,1
0,75.29576431903851,set(),6,89.14335256997576,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",89.14335256997576,1
1,128.0798453886319,{18},5,87.63393469522146,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",136.56484776958246,1
2,239.1829072887896,"{18, 5}",4,84.31707492100628,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",240.5478091353091,1
