K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,76.83857386743342,set(),76.83857386743342,set(),76.83857386743342,set(),76.83857386743342,set(),242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.31751476804724554,0.31751476804724554,1.0,0.31751476804724554,0.31751476804724554,0.002995014190673828,0.0017940998077392578,4.0,328,48,0,adult (14),"[1, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 24, 33, 37, 44, 45, 46]",,,-1
2,231.23708513708513,"{9, 5}",203.67963031120922,"{18, 5}",231.23708513708513,"{9, 5}",78.52883974605417,"{42, 7}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1352980402790889,0.9555251451945667,0.8416513649223522,2.9446135443342527,0.9555251451945667,0.3244993377936123,0.15815496444702148,0.0015690326690673828,4.0,328,48,0,adult (14),"[1, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 24, 33, 37, 44, 45, 46]",,,-1
4,237.87619047619046,"{8, 9, 5, 46}",234.5037518037518,"{9, 18, 3, 5}",237.87619047619046,"{8, 9, 5, 46}",81.86829616918291,"{1, 42, 49, 7}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0143811715015159,0.9829594647776465,0.9690237677840984,2.9055959584722917,0.9829594647776465,0.3382987445007558,0.3163268566131592,0.0016121864318847656,4.0,328,48,0,adult (14),"[1, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 24, 33, 37, 44, 45, 46]",,,-1
6,241.14285714285714,"{18, 3, 5, 8, 9, 46}",238.7595238095238,"{18, 3, 5, 8, 9, 14}",241.14285714285714,"{3, 5, 8, 9, 46, 18}",109.40968262791918,"{1, 7, 42, 14, 15, 18}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0099821498020523,0.9964580873671782,0.9866096025186935,2.2040357978455765,0.9964580873671782,0.4521061265616495,0.463547945022583,0.0016012191772460938,4.0,328,48,0,adult (14),"[1, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 24, 33, 37, 44, 45, 46]",,,-1
0,75.29576431903851,set(),75.29576431903851,set(),75.29576431903851,set(),75.29576431903851,set(),274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.2748020595585347,0.2748020595585347,1.0,0.2748020595585347,0.2748020595585347,0.0021462440490722656,0.0020270347595214844,4.5,328,49,1,adult (14),"[0, 1, 2, 4, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 23, 24, 25, 28, 33, 34, 37, 38, 42, 43, 44, 45, 46]",,,-1
2,263.2393162393162,"{8, 9}",239.1829072887896,"{18, 5}",263.2393162393162,"{8, 9}",75.37719010572745,"{41, 7}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1005774585785133,0.9607274315303512,0.8729303185722248,3.4922940994495133,0.9607274315303512,0.27509923396250896,0.22262287139892578,0.0021071434020996094,4.5,328,49,1,adult (14),"[0, 1, 2, 4, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 23, 24, 25, 28, 33, 34, 37, 38, 42, 43, 44, 45, 46]",,,-1
4,271.8166666666667,"{8, 9, 18, 5}",267.9378427128427,"{9, 18, 3, 5}",271.8166666666667,"{8, 9, 18, 5}",79.8185956279823,"{48, 41, 1, 7}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0144765812643384,0.9920316301703165,0.9778753383680391,3.4054303327202984,0.9920316301703165,0.29130874316781863,0.4377298355102539,0.0029778480529785156,4.5,328,49,1,adult (14),"[0, 1, 2, 4, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 23, 24, 25, 28, 33, 34, 37, 38, 42, 43, 44, 45, 46]",,,-1
6,274.0,"{18, 3, 5, 8, 9, 10}",273.4,"{18, 3, 5, 8, 9, 14}",274.0,"{3, 5, 8, 9, 10, 18}",81.53119591056475,"{1, 7, 41, 14, 15, 17}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0021945866861741,1.0,0.9978102189781021,3.360676817503854,1.0,0.29755910916264505,0.7141408920288086,0.0024650096893310547,4.5,328,49,1,adult (14),"[0, 1, 2, 4, 5, 8, 9, 11, 12, 13, 14, 19, 20, 22, 23, 24, 25, 28, 33, 34, 37, 38, 42, 43, 44, 45, 46]",,,-1
0,77.2109162648666,set(),77.2109162648666,set(),77.2109162648666,set(),77.2109162648666,set(),299.0,"{3, 5, 8, 9, 10, 43}",299,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.25823048918015584,0.25823048918015584,1.0,0.25823048918015584,0.25823048918015584,0.003932952880859375,0.0028028488159179688,5.0,328,49,2,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 37, 38, 40, 42, 43, 44, 45, 46, 48]",,,-1
2,293.4409090909091,"{9, 5}",278.69291896613873,"{18, 5}",293.4409090909091,"{9, 5}",77.60953855304192,"{41, 7}",299.0,"{3, 5, 8, 9, 10, 43}",299,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0529184242623768,0.9814077227120706,0.9320833410238754,3.780990256633959,0.9814077227120706,0.2595636740904412,0.3417081832885742,0.004774808883666992,5.0,328,49,2,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 37, 38, 40, 42, 43, 44, 45, 46, 48]",,,-1
