K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,58.866695309003276,set(),58.866695309003276,set(),58.866695309003276,set(),58.866695309003276,set(),173.0,"{3, 5, 8, 9, 46, 18}",173,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3402699150809438,0.3402699150809438,1.0,0.3402699150809438,0.3402699150809438,0.00113677978515625,0.0013203620910644531,4.0,328,48,0
1,162.76883116883118,{5},84.15007389345797,{18},162.76883116883118,{5},60.49752718595319,{42},173.0,"{3, 5, 8, 9, 46, 18}",173,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.9342684282715197,0.9408602957735906,0.48641661210091314,2.690503872472728,0.9408602957735906,0.3496966889361456,0.060463905334472656,0.0011949539184570312,4.0,328,48,0
2,166.63571428571433,"{8, 5}",163.93549783549784,"{18, 5}",166.63571428571433,"{8, 5}",60.49752718595319,"{42, 7}",173.0,"{3, 5, 8, 9, 46, 18}",173,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0164712126773545,0.9632122213047071,0.9476040337312014,2.754421908411575,0.9632122213047071,0.3496966889361456,0.13395977020263672,0.0013341903686523438,4.0,328,48,0
3,169.01904761904763,"{8, 5, 46}",166.03549783549784,"{18, 3, 5}",169.01904761904763,"{8, 5, 46}",61.00331059801292,"{1, 42, 7}",173.0,"{3, 5, 8, 9, 46, 18}",173,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.017969348858795,0.9769887145609689,0.9597427620549008,2.770653690138468,0.9769887145609689,0.3526202924740631,0.18069887161254883,0.001461029052734375,4.0,328,48,0
0,57.649710676108576,set(),57.649710676108576,set(),57.649710676108576,set(),57.649710676108576,set(),191.0,"{3, 5, 8, 10, 18}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3018309459482124,0.3018309459482124,1.0,0.3018309459482124,0.3018309459482124,0.0015249252319335938,0.0017821788787841797,4.5,328,49,1
1,181.07264957264957,{8},106.77237959463466,{18},181.07264957264957,{8},57.68351741517848,{41},191.0,"{3, 5, 8, 10, 18}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.6958753776969162,0.9480243433123013,0.5590176942127469,3.1390708765100936,0.9480243433123013,0.3020079445820863,0.08448290824890137,0.0017740726470947266,4.5,328,49,1
2,186.2452380952381,"{8, 5}",182.68784271284275,"{18, 5}",186.2452380952381,"{8, 5}",57.73113646279752,"{41, 7}",191.0,"{3, 5, 8, 10, 18}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0194725348417795,0.9751059586138121,0.9564808518997002,3.2260795388162204,0.9751059586138121,0.3022572589675263,0.16112804412841797,0.0018417835235595703,4.5,328,49,1
3,188.8166666666667,"{8, 18, 5}",184.93784271284272,"{18, 3, 5}",188.8166666666667,"{8, 18, 5}",58.6041098891352,"{41, 1, 7}",191.0,"{3, 5, 8, 10, 18}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.020973662809762,0.9885689354275743,0.968260956611742,3.2219014506638213,0.9885689354275743,0.30682780046667646,0.27092790603637695,0.0032019615173339844,4.5,328,49,1
0,56.69964644510892,set(),56.69964644510892,set(),56.69964644510892,set(),56.69964644510892,set(),204.0,"{3, 5, 8, 10, 43}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.27793944335837706,0.27793944335837706,1.0,0.27793944335837706,0.27793944335837706,0.003918170928955078,0.0022199153900146484,5.0,328,49,2
1,199.3409090909091,{5},137.0382735774285,{18},199.3409090909091,{5},56.861370031982034,{41},204.0,"{3, 5, 8, 10, 43}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4546367513764595,0.9771613190730838,0.6717562430266103,3.505735246596917,0.9771613190730838,0.27873220603912763,0.13051915168762207,0.0019278526306152344,5.0,328,49,2
