[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),2,106.0,set(),set(),106.0,0
1,106.0,set(),1,106.0,set(),set(),106.0,0
2,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),4,106.0,set(),set(),106.0,0
1,106.0,set(),3,106.0,set(),set(),106.0,0
2,106.0,set(),2,106.0,set(),set(),106.0,0
3,106.0,set(),1,106.0,set(),set(),106.0,0
4,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),6,106.0,set(),set(),106.0,0
1,106.0,set(),5,106.0,set(),set(),106.0,0
2,106.0,set(),4,106.0,set(),set(),106.0,0
3,106.0,set(),3,106.0,set(),set(),106.0,0
4,106.0,set(),2,106.0,set(),set(),106.0,0
5,106.0,set(),1,106.0,set(),set(),106.0,0
6,106.0,set(),0,106.0,set(),set(),106.0,0
0,107.0,set(),0,107.0,set(),set(),107.0,1
0,107.0,set(),2,122.5,"{10, 3}","{10, 3}",122.5,1
1,117.5,{38},1,116.0,{10},"{10, 38}",123.0,1
2,125.5,"{2, 38}",0,107.0,set(),"{2, 38}",125.5,1
0,107.0,set(),4,132.0,"{17, 10, 3, 37}","{17, 10, 3, 37}",132.0,1
1,117.5,{38},3,127.5,"{17, 10, 3}","{17, 10, 3, 38}",131.5,1
2,125.5,"{2, 38}",2,122.5,"{10, 3}","{3, 2, 10, 38}",132.0,1
3,129.5,"{2, 38, 6}",1,116.0,{10},"{2, 10, 38, 6}",133.5,1
4,132.5,"{0, 2, 38, 6}",0,107.0,set(),"{0, 2, 38, 6}",132.5,1
0,107.0,set(),6,138.5,"{3, 36, 37, 10, 11, 17}","{17, 3, 36, 37, 10, 11}",138.5,1
1,117.5,{38},5,135.5,"{3, 37, 10, 11, 17}","{17, 3, 37, 38, 10, 11}",137.0,1
2,125.5,"{2, 38}",4,132.0,"{17, 10, 3, 37}","{17, 2, 3, 37, 38, 10}",138.5,1
3,129.5,"{2, 38, 6}",3,127.5,"{17, 10, 3}","{17, 2, 3, 38, 6, 10}",137.5,1
4,132.5,"{0, 2, 38, 6}",2,122.5,"{10, 3}","{0, 2, 3, 38, 6, 10}",138.5,1
5,135.5,"{0, 2, 38, 39, 6}",1,116.0,{10},"{0, 2, 38, 39, 6, 10}",138.5,1
