K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,106.0,set(),106.0,set(),106.0,set(),106.0,set(),106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.0006918907165527344,0.0004742145538330078,1,206,35,0,studentmath (30),,[15],,1
2,106.0,set(),106.0,"{8, 3}",106.0,set(),106.0,"{1, 7}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.020719051361083984,0.0006227493286132812,1,206,35,0,studentmath (30),,[15],,1
4,106.0,set(),106.0,"{8, 3, 14, 15}",106.0,set(),106.0,"{1, 19, 15, 7}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.016059160232543945,0.0007150173187255859,1,206,35,0,studentmath (30),,[15],,1
6,106.0,set(),106.0,"{3, 37, 5, 8, 14, 15}",106.0,set(),106.0,"{1, 4, 39, 7, 15, 19}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.018746137619018555,0.00039386749267578125,1,206,35,0,studentmath (30),,[15],,1
0,107.0,set(),107.0,set(),107.0,set(),107.0,set(),154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.6948051948051948,0.6948051948051948,1.0,0.6948051948051948,0.6948051948051948,0.0007669925689697266,0.0008220672607421875,2,206,38,1,studentmath (30),,"[15, 8]",,1
2,125.5,"{2, 38}",115.5,"{37, 6}",125.5,"{2, 38}",109.0,"{1, 7}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0865800865800865,0.814935064935065,0.75,1.151376146788991,0.814935064935065,0.7077922077922078,0.04716801643371582,0.00045299530029296875,2,206,38,1,studentmath (30),,"[15, 8]",,1
4,133.5,"{2, 10, 38, 6}",123.5,"{8, 3, 37, 6}",133.5,"{2, 10, 38, 6}",109.5,"{1, 18, 15, 7}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0809716599190284,0.8668831168831169,0.801948051948052,1.2191780821917808,0.8668831168831169,0.711038961038961,0.08181095123291016,0.0006783008575439453,2,206,38,1,studentmath (30),,"[15, 8]",,1
6,138.5,"{17, 3, 36, 37, 10, 11}",128.0,"{0, 3, 37, 6, 8, 27}",139.5,"{0, 2, 38, 6, 10, 28}",112.5,"{1, 7, 8, 14, 15, 18}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.08203125,0.8993506493506493,0.8311688311688312,1.24,0.9058441558441559,0.7305194805194806,0.1214148998260498,0.0008440017700195312,2,206,38,1,studentmath (30),,"[15, 8]",,1
0,100.3333333333334,set(),100.3333333333334,set(),100.3333333333334,set(),100.3333333333334,set(),176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5700757575757579,0.5700757575757579,1.0,0.5700757575757579,0.5700757575757579,0.0009710788726806641,0.0006988048553466797,3,206,39,2,studentmath (30),,"[15, 8, 17]",,1
2,132.0,"{2, 38}",119.66666666666674,"{0, 6}",132.0,"{2, 38}",107.66666666666673,"{1, 7}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.103064066852367,0.75,0.6799242424242429,1.2260061919504637,0.75,0.6117424242424246,0.042826175689697266,0.0005331039428710938,3,206,39,2,studentmath (30),,"[15, 8, 17]",,1
4,148.33333333333334,"{0, 2, 38, 6}",127.33333333333334,"{0, 27, 6, 7}",148.33333333333334,"{0, 2, 38, 6}",109.3333333333334,"{1, 18, 15, 7}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1649214659685865,0.8428030303030304,0.7234848484848485,1.35670731707317,0.8428030303030304,0.6212121212121215,0.10994195938110352,0.0014650821685791016,3,206,39,2,studentmath (30),,"[15, 8, 17]",,1
6,157.33333333333337,"{0, 2, 38, 6, 24, 28}",137.66666666666666,"{0, 7, 6, 39, 27, 28}",157.33333333333337,"{0, 2, 38, 6, 24, 28}",112.16666666666673,"{1, 7, 8, 14, 15, 18}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1428571428571432,0.8939393939393941,0.7821969696969696,1.4026745913818717,0.8939393939393941,0.6373106060606064,0.1362929344177246,0.0008533000946044922,3,206,39,2,studentmath (30),,"[15, 8, 17]",,1
0,103.75,set(),103.75,set(),103.75,set(),103.75,set(),192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5403645833333334,0.5403645833333334,1.0,0.5403645833333334,0.5403645833333334,0.0005230903625488281,0.0005791187286376953,4,206,39,3,studentmath (30),,"[15, 8, 17, 12]",,1
2,144.0,"{2, 38}",130.25,"{0, 6}",144.0,"{2, 38}",117.0,"{1, 7}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1055662188099808,0.75,0.6783854166666666,1.2307692307692308,0.75,0.609375,0.05580592155456543,0.0008981227874755859,4,206,39,3,studentmath (30),,"[15, 8, 17, 12]",,1
