K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,57.0,set(),57.0,set(),57.0,set(),57.0,set(),57.0,set(),57,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.00021409988403320312,0.00022792816162109375,1,206,35,0
1,57.0,set(),57.0,{8},57.0,set(),57.0,{7},57.0,set(),57,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.011687278747558594,0.0012469291687011719,1,206,35,0
2,57.0,set(),57.0,"{8, 3}",57.0,set(),57.0,"{1, 7}",57.0,set(),57,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.016987085342407227,0.0004830360412597656,1,206,35,0
3,57.0,set(),57.0,"{8, 3, 15}",57.0,set(),57.0,"{1, 19, 7}",57.0,set(),57,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.013765811920166016,0.0004341602325439453,1,206,35,0
0,57.0,set(),57.0,set(),57.0,set(),57.0,set(),88.0,"{0, 2, 3, 36, 4, 38, 34, 6, 9, 10, 11, 17, 27}",88,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.6477272727272727,0.6477272727272727,1.0,0.6477272727272727,0.6477272727272727,0.0006010532379150391,0.0004191398620605469,2,206,38,1
1,66.5,{38},59.5,{6},66.5,{38},57.5,{7},88.0,"{0, 2, 3, 36, 4, 38, 34, 6, 9, 10, 11, 17, 27}",88,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1176470588235294,0.7556818181818182,0.6761363636363636,1.1565217391304348,0.7556818181818182,0.6534090909090909,0.015263080596923828,0.0002701282501220703,2,206,38,1
2,70.5,"{10, 38}",61.5,"{37, 6}",70.5,"{2, 38}",58.0,"{1, 7}",88.0,"{0, 2, 3, 36, 4, 38, 34, 6, 9, 10, 11, 17, 27}",88,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.146341463414634,0.8011363636363636,0.6988636363636364,1.2155172413793103,0.8011363636363636,0.6590909090909091,0.02362799644470215,0.00029206275939941406,2,206,38,1
3,74.0,"{17, 10, 3}",65.0,"{8, 3, 37}",74.0,"{2, 10, 38}",58.5,"{1, 18, 7}",88.0,"{0, 2, 3, 36, 4, 38, 34, 6, 9, 10, 11, 17, 27}",88,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1384615384615384,0.8409090909090909,0.7386363636363636,1.264957264957265,0.8409090909090909,0.6647727272727273,0.03527998924255371,0.0003180503845214844,2,206,38,1
0,52.99999999999998,set(),52.99999999999998,set(),52.99999999999998,set(),52.99999999999998,set(),99.0,"{0, 1, 2, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28}",99,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5353535353535351,0.5353535353535351,1.0,0.5353535353535351,0.5353535353535351,0.0002810955047607422,0.00028896331787109375,3,206,39,2
1,66.66666666666669,{38},59.3333333333333,{6},66.66666666666669,{38},57.333333333333314,{7},99.0,"{0, 1, 2, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28}",99,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1235955056179785,0.6734006734006736,0.599326599326599,1.1627906976744193,0.6734006734006736,0.5791245791245789,0.016531944274902344,0.000408172607421875,3,206,39,2
2,75.33333333333333,"{2, 38}",61.666666666666636,"{0, 6}",75.33333333333333,"{2, 38}",58.33333333333331,"{1, 7}",99.0,"{0, 1, 2, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28}",99,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.2216216216216222,0.7609427609427609,0.6228956228956226,1.2914285714285718,0.7609427609427609,0.589225589225589,0.02904224395751953,0.00030994415283203125,3,206,39,2
