K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,10.5,set(),10.5,set(),10.5,set(),10.5,set(),11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,0.9545454545454546,0.9545454545454546,1.0,0.9545454545454546,0.9545454545454546,0.0009427070617675781,0.00042128562927246094,4.0,206,9,0,studentmath (30),,[],,1
2,11.0,{17},11.0,"{17, 36}",11.0,{0},11.0,"{0, 3}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.00596928596496582,0.0007791519165039062,4.0,206,9,0,studentmath (30),,[],,1
4,11.0,{17},11.0,"{17, 10, 3, 36}",11.0,{0},11.0,"{0, 9, 3, 36}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.0059051513671875,0.0003120899200439453,4.0,206,9,0,studentmath (30),,[],,1
6,11.0,{17},11.0,"{17, 10, 3, 36}",11.0,{0},11.0,"{0, 3, 36, 7, 9, 24}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.006474971771240234,0.00043392181396484375,4.0,206,9,0,studentmath (30),,[],,1
0,16.666666666666664,set(),16.666666666666664,set(),16.666666666666664,set(),16.666666666666664,set(),19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,0.8771929824561402,0.8771929824561402,1.0,0.8771929824561402,0.8771929824561402,0.0002887248992919922,0.00030732154846191406,4.5,206,16,1,studentmath (30),,[],,1
2,19.0,"{0, 38}",17.666666666666664,"{0, 9}",19.0,"{0, 38}",17.666666666666664,"{8, 0}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0754716981132078,1.0,0.9298245614035087,1.0754716981132078,1.0,0.9298245614035087,0.00943303108215332,0.00037097930908203125,4.5,206,16,1,studentmath (30),,[],,1
4,19.0,"{0, 38}",19.0,"{0, 9, 28, 38}",19.0,"{0, 38}",17.666666666666664,"{8, 0, 35, 9}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0754716981132078,1.0,0.9298245614035087,0.015542030334472656,0.0005137920379638672,4.5,206,16,1,studentmath (30),,[],,1
6,19.0,"{0, 38}",19.0,"{0, 3, 35, 38, 9, 28}",19.0,"{0, 38}",17.666666666666664,"{0, 35, 37, 39, 8, 9}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0754716981132078,1.0,0.9298245614035087,0.016314029693603516,0.0003299713134765625,4.5,206,16,1,studentmath (30),,[],,1
0,34.65,set(),34.65,set(),34.65,set(),34.65,set(),42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0,0.825,0.825,1.0,0.825,0.825,0.0003170967102050781,0.000331878662109375,5.0,206,24,2,studentmath (30),,[],,1
2,40.166666666666664,"{0, 38}",36.75,"{26, 28}",40.166666666666664,"{0, 38}",34.9,"{36, 6}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.09297052154195,0.9563492063492063,0.875,1.1509073543457498,0.9563492063492063,0.8309523809523809,0.023936033248901367,0.00037407875061035156,5.0,206,24,2,studentmath (30),,[],,1
