K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,7.5,set(),7.5,set(),7.5,set(),7.5,set(),8.0,{0},8,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.0002827644348144531,0.0002770423889160156,4.0,206,9,0
1,8.0,{17},8.0,{17},8.0,{0},7.5,{3},8.0,{0},8,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0666666666666667,1.0,0.9375,0.002212047576904297,0.0002918243408203125,4.0,206,9,0
2,8.0,{17},8.0,"{17, 36}",8.0,{0},8.0,"{0, 3}",8.0,{0},8,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.0038137435913085938,0.00020313262939453125,4.0,206,9,0
3,8.0,{17},8.0,"{17, 10, 36}",8.0,{0},8.0,"{0, 9, 3}",8.0,{0},8,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.0036809444427490234,0.00038814544677734375,4.0,206,9,0
0,9.166666666666666,set(),9.166666666666666,set(),9.166666666666666,set(),9.166666666666666,set(),11.0,"{0, 38}",11,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.00017786026000976562,0.00018906593322753906,4.5,206,16,1
1,10.5,{38},9.166666666666666,{35},10.5,{38},9.166666666666666,{8},11.0,"{0, 38}",11,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.1454545454545455,0.9545454545454546,0.8333333333333333,1.1454545454545455,0.9545454545454546,0.8333333333333333,0.003511190414428711,0.00019884109497070312,4.5,206,16,1
2,11.0,"{17, 10}",9.666666666666666,"{0, 9}",11.0,"{0, 38}",9.666666666666666,"{8, 0}",11.0,"{0, 38}",11,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.1379310344827587,1.0,0.8787878787878788,1.1379310344827587,1.0,0.8787878787878788,0.00899815559387207,0.0003509521484375,4.5,206,16,1
3,11.0,"{17, 10}",10.0,"{3, 10, 35}",11.0,"{0, 38}",9.666666666666666,"{8, 0, 35}",11.0,"{0, 38}",11,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.1,1.0,0.9090909090909091,1.1379310344827587,1.0,0.8787878787878788,0.009352922439575195,0.00026607513427734375,4.5,206,16,1
0,19.21666666666667,set(),19.21666666666667,set(),19.21666666666667,set(),19.21666666666667,set(),25.0,"{0, 2, 38, 10, 28}",25,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0,0.7686666666666667,0.7686666666666667,1.0,0.7686666666666667,0.7686666666666667,0.0002460479736328125,0.0002970695495605469,5.0,206,24,2
1,22.5,{38},20.916666666666668,{28},22.5,{38},19.21666666666667,{36},25.0,"{0, 2, 38, 10, 28}",25,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0756972111553784,0.9,0.8366666666666667,1.1708586296617518,0.9,0.7686666666666667,0.007868766784667969,0.0003981590270996094,5.0,206,24,2
2,23.666666666666668,"{17, 10}",20.916666666666668,"{26, 28}",23.5,"{28, 38}",19.46666666666667,"{36, 6}",25.0,"{0, 2, 38, 10, 28}",25,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.1314741035856573,0.9466666666666668,0.8366666666666667,1.2071917808219177,0.94,0.7786666666666667,0.009776115417480469,0.00022101402282714844,5.0,206,24,2
3,24.5,"{17, 10, 3}",21.583333333333332,"{0, 33, 28}",24.166666666666664,"{0, 28, 38}",20.133333333333333,"{0, 36, 6}",25.0,"{0, 2, 38, 10, 28}",25,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.135135135135135,0.98,0.8633333333333333,1.2003311258278144,0.9666666666666666,0.8053333333333333,0.013714075088500977,0.000225067138671875,5.0,206,24,2
