[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,109.0,set(),0,109.0,set(),set(),109.0,0
0,109.0,set(),2,109.0,"{4, 38}","{4, 38}",109.0,0
1,109.0,{13},1,109.0,{38},"{13, 38}",109.0,0
2,109.0,"{0, 13}",0,109.0,set(),"{0, 13}",109.0,0
0,109.0,set(),4,109.0,"{46, 1, 4, 38}","{46, 1, 4, 38}",109.0,0
1,109.0,{13},3,109.0,"{1, 4, 38}","{1, 4, 13, 38}",109.0,0
2,109.0,"{0, 13}",2,109.0,"{4, 38}","{0, 4, 13, 38}",109.0,0
3,109.0,"{0, 24, 13}",1,109.0,{38},"{0, 24, 13, 38}",109.0,0
4,109.0,"{0, 24, 13, 23}",0,109.0,set(),"{0, 24, 13, 23}",109.0,0
0,109.0,set(),6,109.0,"{1, 4, 38, 40, 9, 11}","{1, 4, 38, 40, 9, 11}",109.0,0
1,109.0,{13},5,109.0,"{1, 4, 38, 11, 46}","{1, 4, 38, 11, 13, 46}",109.0,0
2,109.0,"{0, 13}",4,109.0,"{46, 1, 4, 38}","{0, 1, 4, 38, 13, 46}",109.0,0
3,109.0,"{0, 24, 13}",3,109.0,"{1, 4, 38}","{0, 1, 4, 38, 24, 13}",109.0,0
4,109.0,"{0, 24, 13, 23}",2,109.0,"{4, 38}","{0, 4, 38, 23, 24, 13}",109.0,0
5,109.0,"{0, 42, 13, 23, 24}",1,109.0,{38},"{0, 38, 23, 24, 42, 13}",109.0,0
6,109.0,"{0, 42, 12, 13, 23, 24}",0,109.0,set(),"{0, 23, 24, 42, 12, 13}",109.0,0
0,110.0,set(),0,110.0,set(),set(),110.0,1
0,110.0,set(),2,112.5,"{36, 4}","{36, 4}",112.5,1
1,112.0,{13},1,111.5,{36},"{36, 13}",113.0,1
2,112.5,"{0, 13}",0,110.0,set(),"{0, 13}",112.5,1
0,110.0,set(),4,113.0,"{40, 1, 36, 4}","{40, 1, 36, 4}",113.0,1
1,112.0,{13},3,112.5,"{1, 36, 4}","{1, 4, 36, 13}",114.0,1
2,112.5,"{0, 13}",2,112.5,"{36, 4}","{0, 4, 36, 13}",114.5,1
3,118.0,"{0, 24, 13}",1,111.5,{36},"{0, 24, 36, 13}",119.0,1
4,118.0,"{0, 24, 13, 23}",0,110.0,set(),"{0, 24, 13, 23}",118.0,1
0,110.0,set(),6,114.5,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",114.5,1
1,112.0,{13},5,113.5,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 13}",115.0,1
2,112.5,"{0, 13}",4,113.0,"{40, 1, 36, 4}","{0, 1, 36, 4, 40, 13}",115.0,1
