K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,109.0,set(),109.0,set(),109.0,set(),109.0,set(),109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.0005900859832763672,0.0005660057067871094,1,224,46,0,studentportuguese (30),,[29],,1
2,109.0,set(),109.0,"{4, 38}",109.0,set(),109.0,"{44, 7}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.022031068801879883,0.0004298686981201172,1,224,46,0,studentportuguese (30),,[29],,1
4,109.0,set(),109.0,"{46, 1, 4, 38}",109.0,set(),109.0,"{1, 18, 44, 7}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02046513557434082,0.0007848739624023438,1,224,46,0,studentportuguese (30),,[29],,1
6,109.0,set(),109.0,"{1, 4, 38, 40, 9, 11}",109.0,set(),109.0,"{1, 7, 44, 15, 16, 18}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02505207061767578,0.0007309913635253906,1,224,46,0,studentportuguese (30),,[29],,1
0,110.0,set(),110.0,set(),110.0,set(),110.0,set(),150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.7333333333333333,0.7333333333333333,1.0,0.7333333333333333,0.7333333333333333,0.0009620189666748047,0.00086212158203125,2,224,48,1,studentportuguese (30),,"[29, 40]",,1
2,123.0,"{32, 45}",113.0,"{36, 13}",123.5,"{42, 45}",117.0,"{42, 7}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0884955752212389,0.82,0.7533333333333333,1.0555555555555556,0.8233333333333334,0.78,0.06757116317749023,0.0008797645568847656,2,224,48,1,studentportuguese (30),,"[29, 40]",,1
4,130.5,"{24, 32, 45, 37}",119.0,"{0, 24, 36, 13}",130.5,"{24, 42, 32, 45}",118.5,"{1, 42, 49, 7}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.096638655462185,0.87,0.7933333333333333,1.1012658227848102,0.87,0.79,0.11281013488769531,0.0004839897155761719,2,224,48,1,studentportuguese (30),,"[29, 40]",,1
6,136.5,"{32, 24, 42, 28, 45, 44}",125.5,"{0, 23, 24, 42, 12, 13}",136.0,"{32, 37, 42, 12, 45, 24}",118.5,"{1, 7, 42, 15, 16, 18}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0876494023904382,0.91,0.8366666666666667,1.1476793248945147,0.9066666666666666,0.79,0.14488911628723145,0.0006537437438964844,2,224,48,1,studentportuguese (30),,"[29, 40]",,1
0,115.00000000000001,set(),115.00000000000001,set(),115.00000000000001,set(),115.00000000000001,set(),188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6117021276595745,0.6117021276595745,1.0,0.6117021276595745,0.6117021276595745,0.0007660388946533203,0.0010058879852294922,3,224,48,2,studentportuguese (30),,"[29, 40, 45]",,1
2,142.0,"{42, 44}",120.66666666666664,"{0, 13}",142.0,"{42, 44}",133.16666666666669,"{42, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1767955801104975,0.7553191489361702,0.6418439716312055,1.0663329161451813,0.7553191489361702,0.7083333333333335,0.07685470581054688,0.001001119613647461,3,224,48,2,studentportuguese (30),,"[29, 40, 45]",,1
