K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,58.0,set(),58.0,set(),58.0,set(),58.0,set(),58.0,set(),58,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.00030422210693359375,0.0002372264862060547,1,224,46,0
1,58.0,set(),58.0,{38},58.0,set(),58.0,{44},58.0,set(),58,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.00929713249206543,0.00023698806762695312,1,224,46,0
2,58.0,set(),58.0,"{4, 38}",58.0,set(),58.0,"{44, 7}",58.0,set(),58,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.009037017822265625,0.0003509521484375,1,224,46,0
3,58.0,set(),58.0,"{1, 4, 38}",58.0,set(),58.0,"{1, 44, 7}",58.0,set(),58,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.014467954635620117,0.0002770423889160156,1,224,46,0
0,57.5,set(),57.5,set(),57.5,set(),57.5,set(),80.0,"{32, 35, 37, 6, 7, 43, 44, 45, 12, 14, 16, 24, 27, 28}",80,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.71875,0.71875,1.0,0.71875,0.71875,0.0002930164337158203,0.00038123130798339844,2,224,48,1
1,63.5,{45},57.5,{36},63.5,{45},58.5,{42},80.0,"{32, 35, 37, 6, 7, 43, 44, 45, 12, 14, 16, 24, 27, 28}",80,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1043478260869566,0.79375,0.71875,1.0854700854700854,0.79375,0.73125,0.01403498649597168,0.0003249645233154297,2,224,48,1
2,66.5,"{37, 45}",58.0,"{36, 4}",66.5,"{37, 45}",60.0,"{42, 7}",80.0,"{32, 35, 37, 6, 7, 43, 44, 45, 12, 14, 16, 24, 27, 28}",80,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.146551724137931,0.83125,0.725,1.1083333333333334,0.83125,0.75,0.024504661560058594,0.00036025047302246094,2,224,48,1
3,69.0,"{24, 45, 37}",61.5,"{0, 24, 13}",69.0,"{24, 37, 45}",60.0,"{1, 42, 7}",80.0,"{32, 35, 37, 6, 7, 43, 44, 45, 12, 14, 16, 24, 27, 28}",80,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1219512195121952,0.8625,0.76875,1.15,0.8625,0.75,0.04366803169250488,0.0004630088806152344,2,224,48,1
0,61.666666666666664,set(),61.666666666666664,set(),61.666666666666664,set(),61.666666666666664,set(),102.0,"{6, 39, 41, 42, 43, 44, 12, 18, 24, 26, 27, 28, 29, 30}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6045751633986928,0.6045751633986928,1.0,0.6045751633986928,0.6045751633986928,0.0004420280456542969,0.0004279613494873047,3,224,48,2
1,69.66666666666663,{44},61.666666666666664,{36},69.66666666666663,{44},65.99999999999999,{42},102.0,"{6, 39, 41, 42, 43, 44, 12, 18, 24, 26, 27, 28, 29, 30}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.129729729729729,0.6830065359477121,0.6045751633986928,1.0555555555555551,0.6830065359477121,0.6470588235294116,0.018657922744750977,0.0003991127014160156,3,224,48,2
