[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,4.666666666666666,set(),0,4.666666666666666,set(),set(),4.666666666666666,0
0,4.666666666666666,set(),2,5.0,{32},{32},5.0,0
1,5.0,{41},1,5.0,{32},"{32, 41}",5.0,0
2,5.0,{41},0,4.666666666666666,set(),{41},5.0,0
0,4.666666666666666,set(),4,5.0,{32},{32},5.0,0
1,5.0,{41},3,5.0,{32},"{32, 41}",5.0,0
2,5.0,{41},2,5.0,{32},"{32, 41}",5.0,0
3,5.0,{41},1,5.0,{32},"{32, 41}",5.0,0
4,5.0,{41},0,4.666666666666666,set(),{41},5.0,0
0,4.666666666666666,set(),6,5.0,{32},{32},5.0,0
1,5.0,{41},5,5.0,{32},"{32, 41}",5.0,0
2,5.0,{41},4,5.0,{32},"{32, 41}",5.0,0
3,5.0,{41},3,5.0,{32},"{32, 41}",5.0,0
4,5.0,{41},2,5.0,{32},"{32, 41}",5.0,0
5,5.0,{41},1,5.0,{32},"{32, 41}",5.0,0
6,5.0,{41},0,4.666666666666666,set(),{41},5.0,0
0,20.666666666666664,set(),0,20.666666666666664,set(),set(),20.666666666666664,1
0,20.666666666666664,set(),2,21.75,"{37, 7}","{37, 7}",21.75,1
1,21.416666666666664,{24},1,21.416666666666664,{7},"{24, 7}",21.416666666666664,1
2,22.0,"{24, 41}",0,20.666666666666664,set(),"{24, 41}",22.0,1
0,20.666666666666664,set(),4,22.0,"{32, 37, 7}","{32, 37, 7}",22.0,1
1,21.416666666666664,{24},3,22.0,"{32, 37, 7}","{24, 32, 37, 7}",22.0,1
2,22.0,"{24, 41}",2,21.75,"{37, 7}","{24, 41, 37, 7}",22.0,1
3,22.0,"{24, 41}",1,21.416666666666664,{7},"{24, 41, 7}",22.0,1
4,22.0,"{24, 41}",0,20.666666666666664,set(),"{24, 41}",22.0,1
0,20.666666666666664,set(),6,22.0,"{32, 37, 7}","{32, 37, 7}",22.0,1
1,21.416666666666664,{24},5,22.0,"{32, 37, 7}","{24, 32, 37, 7}",22.0,1
2,22.0,"{24, 41}",4,22.0,"{32, 37, 7}","{32, 37, 7, 24, 41}",22.0,1
3,22.0,"{24, 41}",3,22.0,"{32, 37, 7}","{32, 37, 7, 24, 41}",22.0,1
4,22.0,"{24, 41}",2,21.75,"{37, 7}","{24, 41, 37, 7}",22.0,1
5,22.0,"{24, 41}",1,21.416666666666664,{7},"{24, 41, 7}",22.0,1
6,22.0,"{24, 41}",0,20.666666666666664,set(),"{24, 41}",22.0,1
0,42.397619047619045,set(),0,42.397619047619045,set(),set(),42.397619047619045,2
0,42.397619047619045,set(),2,44.01428571428571,"{32, 7}","{32, 7}",44.01428571428571,2
1,45.41666666666667,{42},1,43.31428571428571,{32},"{32, 42}",45.41666666666667,2
2,46.0,"{42, 12}",0,42.397619047619045,set(),"{42, 12}",46.0,2
0,42.397619047619045,set(),4,45.09761904761905,"{32, 49, 46, 7}","{32, 49, 46, 7}",45.09761904761905,2
1,45.41666666666667,{42},3,44.59761904761904,"{32, 49, 7}","{32, 49, 42, 7}",46.5,2
2,46.0,"{42, 12}",2,44.01428571428571,"{32, 7}","{32, 42, 12, 7}",46.5,2
