[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,4.666666666666666,set(),0,4.666666666666666,set(),set(),4.666666666666666,0
0,4.666666666666666,set(),2,5.0,{32},{32},5.0,0
1,4.666666666666666,{16},1,5.0,{32},"{16, 32}",5.0,0
2,5.0,"{16, 28}",0,4.666666666666666,set(),"{16, 28}",5.0,0
0,4.666666666666666,set(),4,5.0,{32},{32},5.0,0
1,4.666666666666666,{16},3,5.0,{32},"{16, 32}",5.0,0
2,5.0,"{16, 28}",2,5.0,{32},"{16, 32, 28}",5.0,0
3,5.0,"{16, 24, 28}",1,5.0,{32},"{16, 24, 32, 28}",5.0,0
4,5.0,"{16, 24, 18, 28}",0,4.666666666666666,set(),"{16, 24, 18, 28}",5.0,0
0,4.666666666666666,set(),6,5.0,{32},{32},5.0,0
1,4.666666666666666,{16},5,5.0,{32},"{16, 32}",5.0,0
2,5.0,"{16, 28}",4,5.0,{32},"{16, 32, 28}",5.0,0
3,5.0,"{16, 24, 28}",3,5.0,{32},"{16, 24, 32, 28}",5.0,0
4,5.0,"{16, 24, 18, 28}",2,5.0,{32},"{16, 32, 18, 24, 28}",5.0,0
5,5.0,"{41, 16, 18, 24, 28}",1,5.0,{32},"{16, 32, 18, 24, 41, 28}",5.0,0
6,5.0,"{41, 16, 18, 24, 28}",0,4.666666666666666,set(),"{16, 18, 24, 41, 28}",5.0,0
0,20.666666666666664,set(),0,20.666666666666664,set(),set(),20.666666666666664,1
0,20.666666666666664,set(),2,20.916666666666664,"{32, 35}","{32, 35}",20.916666666666664,1
1,20.666666666666664,{27},1,20.666666666666664,{35},"{35, 27}",20.666666666666664,1
2,21.25,"{41, 27}",0,20.666666666666664,set(),"{41, 27}",21.25,1
0,20.666666666666664,set(),4,21.25,"{32, 8, 35, 37}","{32, 8, 35, 37}",21.25,1
1,20.666666666666664,{27},3,20.916666666666664,"{32, 8, 35}","{32, 8, 27, 35}",20.916666666666664,1
2,21.25,"{41, 27}",2,20.916666666666664,"{32, 35}","{32, 41, 27, 35}",21.25,1
3,21.25,"{0, 41, 27}",1,20.666666666666664,{35},"{0, 41, 27, 35}",21.25,1
4,21.25,"{0, 41, 27, 44}",0,20.666666666666664,set(),"{0, 41, 27, 44}",21.25,1
0,20.666666666666664,set(),6,22.0,"{32, 35, 37, 7, 8, 48}","{32, 48, 35, 37, 7, 8}",22.0,1
1,20.666666666666664,{27},5,21.25,"{32, 35, 37, 8, 48}","{32, 48, 35, 37, 8, 27}",21.25,1
2,21.25,"{41, 27}",4,21.25,"{32, 8, 35, 37}","{32, 35, 37, 8, 41, 27}",21.25,1
3,21.25,"{0, 41, 27}",3,20.916666666666664,"{32, 8, 35}","{0, 32, 35, 8, 41, 27}",21.25,1
4,21.25,"{0, 41, 27, 44}",2,20.916666666666664,"{32, 35}","{0, 32, 35, 41, 27, 44}",21.25,1
5,21.5,"{0, 41, 44, 12, 27}",1,20.666666666666664,{35},"{0, 35, 41, 27, 44, 12}",21.5,1
6,21.5,"{0, 41, 44, 12, 23, 27}",0,20.666666666666664,set(),"{0, 23, 41, 27, 44, 12}",21.5,1
0,42.397619047619045,set(),0,42.397619047619045,set(),set(),42.397619047619045,2
