K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,4.666666666666666,set(),4.666666666666666,set(),4.666666666666666,set(),4.666666666666666,set(),5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,0.9333333333333332,0.9333333333333332,1.0,0.9333333333333332,0.9333333333333332,0.0005800724029541016,0.0006511211395263672,4.0,224,6,0,studentportuguese (30),,[],,
2,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.005550861358642578,0.0005769729614257812,4.0,224,6,0,studentportuguese (30),,[],,
4,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 18, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.0055081844329833984,0.0004448890686035156,4.0,224,6,0,studentportuguese (30),,[],,
6,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 16, 18, 24, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.005293846130371094,0.0006811618804931641,4.0,224,6,0,studentportuguese (30),,[],,
0,20.666666666666664,set(),20.666666666666664,set(),20.666666666666664,set(),20.666666666666664,set(),22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,0.9393939393939393,0.9393939393939393,1.0,0.9393939393939393,0.9393939393939393,0.0004680156707763672,0.0005371570587158203,4.5,224,22,1,studentportuguese (30),,[],,1
2,22.0,"{24, 41}",21.25,"{41, 27}",22.0,"{41, 7}",20.916666666666664,"{12, 47}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.035294117647059,1.0,0.9659090909090909,1.0517928286852591,1.0,0.9507575757575757,0.018417835235595703,0.0006031990051269531,4.5,224,22,1,studentportuguese (30),,[],,1
4,22.0,"{24, 41}",21.25,"{32, 8, 35, 37}",22.0,"{41, 7}",20.916666666666664,"{0, 27, 12, 47}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.035294117647059,1.0,0.9659090909090909,1.0517928286852591,1.0,0.9507575757575757,0.02825331687927246,0.0004999637603759766,4.5,224,22,1,studentportuguese (30),,[],,1
6,22.0,"{24, 41}",22.0,"{32, 48, 35, 37, 7, 8}",22.0,"{41, 7}",21.666666666666664,"{0, 42, 12, 47, 24, 27}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,1.0,1.0,1.0153846153846156,1.0,0.9848484848484848,0.034998178482055664,0.0005249977111816406,4.5,224,22,1,studentportuguese (30),,[],,1
0,42.397619047619045,set(),42.397619047619045,set(),42.397619047619045,set(),42.397619047619045,set(),47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0,0.9020770010131712,0.9020770010131712,1.0,0.9020770010131712,0.9020770010131712,0.0005140304565429688,0.0005629062652587891,5.0,224,32,2,studentportuguese (30),,[],,1
2,46.0,"{42, 12}",43.23095238095238,"{34, 46}",46.0,"{42, 12}",43.147619047619045,"{3, 14}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0640524315690918,0.9787234042553191,0.9198074974670719,1.0661074936541222,0.9787234042553191,0.9180344478216819,0.03171515464782715,0.0004858970642089844,5.0,224,32,2,studentportuguese (30),,[],,1
