K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,4.666666666666666,set(),4.666666666666666,set(),4.666666666666666,set(),4.666666666666666,set(),5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,0.9333333333333332,0.9333333333333332,1.0,0.9333333333333332,0.9333333333333332,0.00037598609924316406,0.00023889541625976562,4.0,224,6,0
1,5.0,{32},5.0,{32},5.0,{32},5.0,{28},5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.001986265182495117,0.00047469139099121094,4.0,224,6,0
2,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.0030028820037841797,0.00023412704467773438,4.0,224,6,0
3,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.003197908401489258,0.00035881996154785156,4.0,224,6,0
0,12.666666666666668,set(),12.666666666666668,set(),12.666666666666668,set(),12.666666666666668,set(),14.0,"{41, 7}",14,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,0.9047619047619049,0.9047619047619049,1.0,0.9047619047619049,0.9047619047619049,0.0003190040588378906,0.00021719932556152344,4.5,224,22,1
1,13.416666666666668,{7},12.666666666666668,{35},13.416666666666668,{7},12.666666666666668,{47},14.0,"{41, 7}",14,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0592105263157894,0.9583333333333334,0.9047619047619049,1.0592105263157894,0.9583333333333334,0.9047619047619049,0.006672859191894531,0.0002090930938720703,4.5,224,22,1
2,14.0,"{24, 41}",13.25,"{41, 27}",14.0,"{41, 7}",12.916666666666668,"{12, 47}",14.0,"{41, 7}",14,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0566037735849056,1.0,0.9464285714285714,1.0838709677419354,1.0,0.9226190476190477,0.012726068496704102,0.00024008750915527344,4.5,224,22,1
3,14.0,"{24, 41}",13.25,"{41, 27, 35}",14.0,"{41, 7}",12.916666666666668,"{0, 12, 47}",14.0,"{41, 7}",14,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0566037735849056,1.0,0.9464285714285714,1.0838709677419354,1.0,0.9226190476190477,0.015833139419555664,0.00021791458129882812,4.5,224,22,1
0,25.766666666666666,set(),25.766666666666666,set(),25.766666666666666,set(),25.766666666666666,set(),28.0,"{18, 12, 7}",28,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0,0.9202380952380952,0.9202380952380952,1.0,0.9202380952380952,0.9202380952380952,0.0003972053527832031,0.00037789344787597656,5.0,224,32,2
1,26.925,{12},25.766666666666666,{46},26.925,{12},25.766666666666666,{14},28.0,"{18, 12, 7}",28,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.044954721862872,0.9616071428571429,0.9202380952380952,1.044954721862872,0.9616071428571429,0.9202380952380952,0.010605096817016602,0.0009500980377197266,5.0,224,32,2
