K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,kmax,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,set(),{},70.0,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,1,328,46,0.05460309982299805,0.05260920524597168,0.050812721252441406,adult (14),0
1,3,set(),{},70.0,set(),{},70.0,73.0,"[0, 1, 2]",3,set(),{},70.0,73.0,"[0, 1, 2]",3,1,328,46,0.052092790603637695,0.052922964096069336,0.04898381233215332,adult (14),0
1,2,set(),{},70.0,set(),{},70.0,72.0,"[0, 1]",2,set(),{},70.0,72.0,"[0, 1]",2,1,328,46,0.054064035415649414,0.0612790584564209,0.08233404159545898,adult (14),0
1,1,set(),{},70.0,set(),{},70.0,71.0,[0],1,set(),{},70.0,71.0,[0],1,1,328,46,0.06274199485778809,0.06042289733886719,0.05633807182312012,adult (14),0
1,0,set(),{},70.0,set(),{},70.0,70.0,[],0,set(),{},70.0,70.0,[],0,1,328,46,0.06358623504638672,0.11915898323059082,0.06819033622741699,adult (14),0
2,4,set(),{},70.0,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,1,328,46,0.10770511627197266,0.058454036712646484,0.0639500617980957,adult (14),0
2,3,set(),{},70.0,set(),{},70.0,73.0,"[0, 1, 2]",3,set(),{},70.0,73.0,"[0, 1, 2]",3,1,328,46,0.09140467643737793,0.12279701232910156,0.0737910270690918,adult (14),0
2,2,set(),{},70.0,set(),{},70.0,72.0,"[0, 1]",2,set(),{},70.0,72.0,"[0, 1]",2,1,328,46,0.08864903450012207,0.056899070739746094,0.08032011985778809,adult (14),0
2,1,set(),{},70.0,set(),{},70.0,71.0,[0],1,set(),{},70.0,71.0,[0],1,1,328,46,0.05934429168701172,0.05164599418640137,0.05339789390563965,adult (14),0
2,0,set(),{},70.0,set(),{},70.0,70.0,[],0,set(),{},70.0,70.0,[],0,1,328,46,0.10681891441345215,0.06780505180358887,0.06781911849975586,adult (14),0
3,4,set(),{},70.0,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,1,328,46,0.0632021427154541,0.05276012420654297,0.05291175842285156,adult (14),0
3,3,set(),{},70.0,set(),{},70.0,73.0,"[0, 1, 2]",3,set(),{},70.0,73.0,"[0, 1, 2]",3,1,328,46,0.05075502395629883,0.06434512138366699,0.07453799247741699,adult (14),0
3,2,set(),{},70.0,set(),{},70.0,72.0,"[0, 1]",2,set(),{},70.0,72.0,"[0, 1]",2,1,328,46,0.05639314651489258,0.050887107849121094,0.05405688285827637,adult (14),0
3,1,set(),{},70.0,set(),{},70.0,71.0,[0],1,set(),{},70.0,71.0,[0],1,1,328,46,0.05201601982116699,0.052468061447143555,0.06886911392211914,adult (14),0
3,0,set(),{},70.0,set(),{},70.0,70.0,[],0,set(),{},70.0,70.0,[],0,1,328,46,0.06323099136352539,0.05446982383728027,0.05278801918029785,adult (14),0
4,4,set(),{},70.0,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,1,328,46,0.04972696304321289,0.05541396141052246,0.05441689491271973,adult (14),0
4,3,set(),{},70.0,set(),{},70.0,73.0,"[0, 1, 2]",3,set(),{},70.0,73.0,"[0, 1, 2]",3,1,328,46,0.04811406135559082,0.05316305160522461,0.0544281005859375,adult (14),0
4,2,set(),{},70.0,set(),{},70.0,72.0,"[0, 1]",2,set(),{},70.0,72.0,"[0, 1]",2,1,328,46,0.06076812744140625,0.0525670051574707,0.05002713203430176,adult (14),0
4,1,set(),{},70.0,set(),{},70.0,71.0,[0],1,set(),{},70.0,71.0,[0],1,1,328,46,0.06579089164733887,0.05415916442871094,0.06698179244995117,adult (14),0
4,0,set(),{},70.0,set(),{},70.0,70.0,[],0,set(),{},70.0,70.0,[],0,1,328,46,0.06496191024780273,0.054203033447265625,0.05868697166442871,adult (14),0
5,4,set(),{},70.0,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,set(),{},70.0,74.0,"[0, 1, 2, 3]",4,1,328,46,0.05117607116699219,0.05685305595397949,0.05522918701171875,adult (14),0
5,3,set(),{},70.0,set(),{},70.0,73.0,"[0, 1, 2]",3,set(),{},70.0,73.0,"[0, 1, 2]",3,1,328,46,0.053156137466430664,0.05167198181152344,0.05080986022949219,adult (14),0
5,2,set(),{},70.0,set(),{},70.0,72.0,"[0, 1]",2,set(),{},70.0,72.0,"[0, 1]",2,1,328,46,0.04852700233459473,0.05745983123779297,0.05861401557922363,adult (14),0
5,1,set(),{},70.0,set(),{},70.0,71.0,[0],1,set(),{},70.0,71.0,[0],1,1,328,46,0.17769312858581543,0.07692384719848633,0.0525050163269043,adult (14),0
5,0,set(),{},70.0,set(),{},70.0,70.0,[],0,set(),{},70.0,70.0,[],0,1,328,46,0.05234789848327637,0.06360912322998047,0.07108187675476074,adult (14),0
1,4,{5},{5: 1},94.0,{5},{5: 1},94.0,98.0,"[0, 1, 2, 3]",4,{5},{5: 1},94.0,98.0,"[0, 1, 2, 3]",4,2,328,49,0.074462890625,0.09048819541931152,0.06063580513000488,adult (14),1
1,3,{5},{5: 1},94.0,{5},{5: 1},94.0,97.0,"[0, 1, 2]",3,{5},{5: 1},94.0,97.0,"[0, 1, 2]",3,2,328,49,0.06173086166381836,0.062108755111694336,0.12336277961730957,adult (14),1
1,2,{5},{5: 1},94.0,{5},{5: 1},94.0,96.0,"[0, 1]",2,{5},{5: 1},94.0,96.0,"[0, 1]",2,2,328,49,0.14778900146484375,0.10839724540710449,0.16810178756713867,adult (14),1
1,1,{5},{5: 1},94.0,{5},{5: 1},94.0,95.0,[0],1,{5},{5: 1},94.0,95.0,[0],1,2,328,49,0.09705376625061035,0.09261202812194824,0.10328388214111328,adult (14),1
1,0,{5},{5: 1},94.0,{5},{5: 1},94.0,94.0,[],0,{5},{5: 1},94.0,94.0,[],0,2,328,49,0.09154295921325684,0.07110404968261719,0.10178709030151367,adult (14),1
2,4,"{9, 5}","{9: 1, 5: 1}",108.5,"{9, 5}","{9: 1, 5: 1}",108.5,112.5,"[0, 1, 2, 3]",4,"{9, 5}","{9: 1, 5: 1}",108.5,112.5,"[0, 1, 2, 3]",4,2,328,49,0.20862197875976562,0.18721508979797363,0.14590001106262207,adult (14),1
2,3,"{9, 5}","{9: 1, 5: 1}",108.5,"{9, 5}","{9: 1, 5: 1}",108.5,111.5,"[0, 1, 2]",3,"{9, 5}","{9: 1, 5: 1}",108.5,111.5,"[0, 1, 2]",3,2,328,49,0.20834779739379883,0.1258702278137207,0.13915681838989258,adult (14),1
2,2,"{9, 5}","{9: 1, 5: 1}",108.5,"{9, 5}","{9: 1, 5: 1}",108.5,110.5,"[0, 1]",2,"{9, 5}","{9: 1, 5: 1}",108.5,110.5,"[0, 1]",2,2,328,49,0.14925217628479004,0.14468073844909668,0.14599108695983887,adult (14),1
2,1,"{9, 5}","{9: 1, 5: 1}",108.5,"{9, 5}","{9: 1, 5: 1}",108.5,109.5,[0],1,"{9, 5}","{9: 1, 5: 1}",108.5,109.5,[0],1,2,328,49,0.12378811836242676,0.14007973670959473,0.1231529712677002,adult (14),1
2,0,"{9, 5}","{9: 1, 5: 1}",108.5,"{9, 5}","{9: 1, 5: 1}",108.5,108.5,[],0,"{9, 5}","{9: 1, 5: 1}",108.5,108.5,[],0,2,328,49,0.13921093940734863,0.1327531337738037,0.12827706336975098,adult (14),1
3,4,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,125.0,"[0, 1, 2, 3]",4,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,125.0,"[0, 1, 2, 3]",4,2,328,49,0.1846480369567871,0.1986548900604248,0.20052504539489746,adult (14),1
3,3,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,124.0,"[0, 1, 2]",3,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,124.0,"[0, 1, 2]",3,2,328,49,0.18853211402893066,0.27414917945861816,0.20569276809692383,adult (14),1
3,2,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,123.0,"[0, 1]",2,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,123.0,"[0, 1]",2,2,328,49,0.1812000274658203,0.21551799774169922,0.19471001625061035,adult (14),1
3,1,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,122.0,[0],1,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,122.0,[0],1,2,328,49,0.27798032760620117,0.23994779586791992,0.26737093925476074,adult (14),1
3,0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,121.0,[],0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",121.0,121.0,[],0,2,328,49,0.20704889297485352,0.2158811092376709,0.2656538486480713,adult (14),1
4,4,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,130.0,"[0, 1, 2, 3]",4,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,130.0,"[0, 1, 2, 3]",4,2,328,49,0.32257604598999023,0.3075449466705322,0.2833559513092041,adult (14),1
4,3,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,129.0,"[0, 1, 2]",3,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,129.0,"[0, 1, 2]",3,2,328,49,0.4076240062713623,0.25470685958862305,0.25565505027770996,adult (14),1
4,2,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,128.0,"[0, 1]",2,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,128.0,"[0, 1]",2,2,328,49,0.33884119987487793,0.3220789432525635,0.3211531639099121,adult (14),1
4,1,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,127.0,[0],1,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,127.0,[0],1,2,328,49,0.29332399368286133,0.30350589752197266,0.28537702560424805,adult (14),1
4,0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,126.0,[],0,"{8, 9, 11, 5}","{8: 1, 9: 1, 11: 1, 5: 1}",126.0,126.0,[],0,2,328,49,0.25173091888427734,0.3509039878845215,0.2615330219268799,adult (14),1
5,4,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,134.0,"[0, 1, 2, 3]",4,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,134.0,"[0, 1, 2, 3]",4,2,328,49,0.3062868118286133,0.3577389717102051,0.33739590644836426,adult (14),1
5,3,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,133.0,"[0, 1, 2]",3,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,133.0,"[0, 1, 2]",3,2,328,49,0.3160231113433838,0.2935769557952881,0.2829921245574951,adult (14),1
5,2,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,132.0,"[0, 1]",2,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,132.0,"[0, 1]",2,2,328,49,0.288222074508667,0.2880890369415283,0.29736876487731934,adult (14),1
5,1,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,131.0,[0],1,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,131.0,[0],1,2,328,49,0.290024995803833,0.33081722259521484,0.34377217292785645,adult (14),1
5,0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,130.0,[],0,"{5, 8, 9, 11, 43}","{5: 1, 8: 1, 9: 1, 11: 1, 43: 1}",130.0,130.0,[],0,2,328,49,0.2930161952972412,0.3002638816833496,0.2978229522705078,adult (14),1
