K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,{5},{5: 1},202.51296364454257,{5},{5: 1},202.51296364454257,206.51296364454257,"[4, 8, 17, 24]",4,{5},{5: 1},202.51296364454257,206.51296364454257,"[4, 8, 17, 24]",4,4.0,328,48,0.15757203102111816,0.16646099090576172,0.15480494499206543,adult (14),0
1,3,{5},{5: 1},202.51296364454257,{5},{5: 1},202.51296364454257,205.51296364454257,"[4, 8, 17]",3,{5},{5: 1},202.51296364454257,205.51296364454257,"[4, 8, 17]",3,4.0,328,48,0.20861220359802246,0.2709667682647705,0.1767721176147461,adult (14),0
1,2,{5},{5: 1},202.51296364454257,{5},{5: 1},202.51296364454257,204.51296364454257,"[4, 8]",2,{5},{5: 1},202.51296364454257,204.51296364454257,"[4, 8]",2,4.0,328,48,0.1784050464630127,0.15385103225708008,0.314363956451416,adult (14),0
1,1,{5},{5: 1},202.51296364454257,{5},{5: 1},202.51296364454257,203.51296364454257,[4],1,{5},{5: 1},202.51296364454257,203.51296364454257,[4],1,4.0,328,48,0.30556392669677734,0.27374911308288574,0.22962093353271484,adult (14),0
1,0,{5},{5: 1},202.51296364454257,{5},{5: 1},202.51296364454257,202.51296364454257,[],0,{5},{5: 1},202.51296364454257,202.51296364454257,[],0,4.0,328,48,0.2756369113922119,0.20198798179626465,0.23591113090515137,adult (14),0
2,4,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,235.23708513708513,"[4, 8, 17, 24]",4,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,235.23708513708513,"[4, 8, 17, 24]",4,4.0,328,48,0.3564462661743164,0.36979198455810547,0.3474130630493164,adult (14),0
2,3,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,234.23708513708513,"[4, 8, 17]",3,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,234.23708513708513,"[4, 8, 17]",3,4.0,328,48,0.3224198818206787,0.3290410041809082,0.3399651050567627,adult (14),0
2,2,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,233.23708513708513,"[4, 8]",2,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,233.23708513708513,"[4, 8]",2,4.0,328,48,0.31240415573120117,0.42202186584472656,0.3352200984954834,adult (14),0
2,1,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,232.23708513708513,[4],1,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,232.23708513708513,[4],1,4.0,328,48,0.3638951778411865,0.4150888919830322,0.41219282150268555,adult (14),0
2,0,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,231.23708513708513,[],0,"{9, 5}","{9: 1, 5: 1}",231.23708513708513,231.23708513708513,[],0,4.0,328,48,0.32712221145629883,0.46120190620422363,0.36018991470336914,adult (14),0
3,4,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,239.49285714285713,"[4, 8, 17, 24]",4,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,239.49285714285713,"[4, 8, 17, 24]",4,4.0,328,48,0.5910141468048096,0.5531198978424072,0.5638759136199951,adult (14),0
3,3,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,238.49285714285713,"[4, 8, 17]",3,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,238.49285714285713,"[4, 8, 17]",3,4.0,328,48,0.5606029033660889,0.5668230056762695,0.5050749778747559,adult (14),0
3,2,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,237.49285714285713,"[4, 8]",2,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,237.49285714285713,"[4, 8]",2,4.0,328,48,0.5771589279174805,0.48193883895874023,0.5096099376678467,adult (14),0
3,1,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,236.49285714285713,[4],1,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,236.49285714285713,[4],1,4.0,328,48,0.4576880931854248,0.4449777603149414,0.4377422332763672,adult (14),0
3,0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,235.49285714285713,[],0,"{8, 9, 5}","{8: 1, 9: 1, 5: 1}",235.49285714285713,235.49285714285713,[],0,4.0,328,48,0.4396800994873047,0.4476768970489502,0.5185949802398682,adult (14),0
4,4,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,241.87619047619046,"[4, 8, 17, 24]",4,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,241.87619047619046,"[4, 8, 17, 24]",4,4.0,328,48,0.5902690887451172,0.6238789558410645,0.7158772945404053,adult (14),0
4,3,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,240.87619047619046,"[4, 8, 17]",3,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,240.87619047619046,"[4, 8, 17]",3,4.0,328,48,0.634274959564209,0.6124639511108398,0.6379072666168213,adult (14),0
4,2,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,239.87619047619046,"[4, 8]",2,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,239.87619047619046,"[4, 8]",2,4.0,328,48,0.6460361480712891,0.6018197536468506,0.5826191902160645,adult (14),0
4,1,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,238.87619047619046,[4],1,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,238.87619047619046,[4],1,4.0,328,48,0.5763912200927734,0.5946557521820068,0.6255600452423096,adult (14),0
4,0,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,237.87619047619046,[],0,"{8, 9, 5, 46}","{8: 1, 9: 1, 5: 1, 46: 1}",237.87619047619046,237.87619047619046,[],0,4.0,328,48,0.6375811100006104,0.638139009475708,0.6146068572998047,adult (14),0
5,4,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,243.97619047619048,"[4, 8, 17, 24]",4,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,243.97619047619048,"[4, 8, 17, 24]",4,4.0,328,48,0.7651519775390625,0.7742671966552734,0.7922890186309814,adult (14),0
5,3,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,242.97619047619048,"[4, 8, 17]",3,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,242.97619047619048,"[4, 8, 17]",3,4.0,328,48,0.8139598369598389,0.8151640892028809,0.813668966293335,adult (14),0
5,2,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,241.97619047619048,"[4, 8]",2,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,241.97619047619048,"[4, 8]",2,4.0,328,48,0.7804629802703857,0.818993091583252,0.7556159496307373,adult (14),0
5,1,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,240.97619047619048,[4],1,"{3, 5, 8, 9, 46}","{3: 1, 5: 1, 8: 1, 9: 1, 46: 1}",239.97619047619048,240.97619047619048,[4],1,4.0,328,48,0.749208927154541,0.7382118701934814,0.7154431343078613,adult (14),0
