K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,kmax,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,set(),{},77.0,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,1,112,32,0.022017955780029297,0.014868974685668945,0.011049032211303711,productivity (11),0
1,3,set(),{},77.0,set(),{},77.0,80.0,"[0, 4, 5]",3,set(),{},77.0,80.0,"[0, 4, 5]",3,1,112,32,0.013480901718139648,0.012017011642456055,0.011436939239501953,productivity (11),0
1,2,set(),{},77.0,set(),{},77.0,79.0,"[0, 4]",2,set(),{},77.0,79.0,"[0, 4]",2,1,112,32,0.011741161346435547,0.012430191040039062,0.013570070266723633,productivity (11),0
1,1,set(),{},77.0,set(),{},77.0,78.0,[0],1,set(),{},77.0,78.0,[0],1,1,112,32,0.012681007385253906,0.012851953506469727,0.014453887939453125,productivity (11),0
1,0,set(),{},77.0,set(),{},77.0,77.0,[],0,set(),{},77.0,77.0,[],0,1,112,32,0.012529134750366211,0.011857748031616211,0.012228727340698242,productivity (11),0
2,4,set(),{},77.0,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,1,112,32,0.011652708053588867,0.013187170028686523,0.012508869171142578,productivity (11),0
2,3,set(),{},77.0,set(),{},77.0,80.0,"[0, 4, 5]",3,set(),{},77.0,80.0,"[0, 4, 5]",3,1,112,32,0.011929035186767578,0.012330055236816406,0.011540889739990234,productivity (11),0
2,2,set(),{},77.0,set(),{},77.0,79.0,"[0, 4]",2,set(),{},77.0,79.0,"[0, 4]",2,1,112,32,0.011971235275268555,0.012778997421264648,0.011963844299316406,productivity (11),0
2,1,set(),{},77.0,set(),{},77.0,78.0,[0],1,set(),{},77.0,78.0,[0],1,1,112,32,0.010930061340332031,0.013319969177246094,0.013508081436157227,productivity (11),0
2,0,set(),{},77.0,set(),{},77.0,77.0,[],0,set(),{},77.0,77.0,[],0,1,112,32,0.013846158981323242,0.012833118438720703,0.011909008026123047,productivity (11),0
3,4,set(),{},77.0,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,1,112,32,0.014209985733032227,0.013041257858276367,0.011492252349853516,productivity (11),0
3,3,set(),{},77.0,set(),{},77.0,80.0,"[0, 4, 5]",3,set(),{},77.0,80.0,"[0, 4, 5]",3,1,112,32,0.011362075805664062,0.01556706428527832,0.01920771598815918,productivity (11),0
3,2,set(),{},77.0,set(),{},77.0,79.0,"[0, 4]",2,set(),{},77.0,79.0,"[0, 4]",2,1,112,32,0.015168905258178711,0.014667987823486328,0.01340484619140625,productivity (11),0
3,1,set(),{},77.0,set(),{},77.0,78.0,[0],1,set(),{},77.0,78.0,[0],1,1,112,32,0.013104915618896484,0.015018224716186523,0.0142059326171875,productivity (11),0
3,0,set(),{},77.0,set(),{},77.0,77.0,[],0,set(),{},77.0,77.0,[],0,1,112,32,0.012532949447631836,0.012075185775756836,0.011548995971679688,productivity (11),0
4,4,set(),{},77.0,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,1,112,32,0.014093160629272461,0.011171817779541016,0.01045083999633789,productivity (11),0
4,3,set(),{},77.0,set(),{},77.0,80.0,"[0, 4, 5]",3,set(),{},77.0,80.0,"[0, 4, 5]",3,1,112,32,0.011377811431884766,0.011408090591430664,0.012700080871582031,productivity (11),0
4,2,set(),{},77.0,set(),{},77.0,79.0,"[0, 4]",2,set(),{},77.0,79.0,"[0, 4]",2,1,112,32,0.011325836181640625,0.012535572052001953,0.013256072998046875,productivity (11),0
4,1,set(),{},77.0,set(),{},77.0,78.0,[0],1,set(),{},77.0,78.0,[0],1,1,112,32,0.01117086410522461,0.013573169708251953,0.012204885482788086,productivity (11),0
4,0,set(),{},77.0,set(),{},77.0,77.0,[],0,set(),{},77.0,77.0,[],0,1,112,32,0.011793851852416992,0.011226892471313477,0.012608051300048828,productivity (11),0
5,4,set(),{},77.0,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,set(),{},77.0,81.0,"[0, 4, 5, 9]",4,1,112,32,0.012479066848754883,0.014719963073730469,0.0172879695892334,productivity (11),0
5,3,set(),{},77.0,set(),{},77.0,80.0,"[0, 4, 5]",3,set(),{},77.0,80.0,"[0, 4, 5]",3,1,112,32,0.014430999755859375,0.013142108917236328,0.013933658599853516,productivity (11),0
5,2,set(),{},77.0,set(),{},77.0,79.0,"[0, 4]",2,set(),{},77.0,79.0,"[0, 4]",2,1,112,32,0.01258397102355957,0.015976905822753906,0.012368917465209961,productivity (11),0
5,1,set(),{},77.0,set(),{},77.0,78.0,[0],1,set(),{},77.0,78.0,[0],1,1,112,32,0.013580799102783203,0.011881828308105469,0.011679887771606445,productivity (11),0
5,0,set(),{},77.0,set(),{},77.0,77.0,[],0,set(),{},77.0,77.0,[],0,1,112,32,0.013362884521484375,0.012577056884765625,0.01158285140991211,productivity (11),0
1,4,{18},{18: -1},86.5,{18},{18: -1},86.5,90.5,"[9, 21, 22, 27]",4,{18},{18: -1},86.5,90.5,"[9, 21, 22, 27]",4,2,112,44,0.01950383186340332,0.023418188095092773,0.017250776290893555,productivity (11),1
1,3,{18},{18: -1},86.5,{18},{18: -1},86.5,89.5,"[9, 21, 22]",3,{18},{18: -1},86.5,89.5,"[9, 21, 22]",3,2,112,44,0.018739938735961914,0.019437074661254883,0.019551992416381836,productivity (11),1
1,2,{18},{18: -1},86.5,{18},{18: -1},86.5,88.5,"[9, 21]",2,{18},{18: -1},86.5,88.5,"[9, 21]",2,2,112,44,0.01996302604675293,0.023516178131103516,0.025179147720336914,productivity (11),1
1,1,{18},{18: -1},86.5,{18},{18: -1},86.5,87.5,[9],1,{18},{18: -1},86.5,87.5,[9],1,2,112,44,0.06429386138916016,0.025886058807373047,0.039875030517578125,productivity (11),1
1,0,{18},{18: -1},86.5,{18},{18: -1},86.5,86.5,[],0,{18},{18: -1},86.5,86.5,[],0,2,112,44,0.020327091217041016,0.02244877815246582,0.020034074783325195,productivity (11),1
2,4,"{18, 34}","{18: -1, 34: -1}",91.5,"{18, 34}","{18: -1, 34: -1}",91.5,95.5,"[9, 21, 22, 27]",4,"{18, 34}","{18: -1, 34: -1}",91.5,95.5,"[9, 21, 22, 27]",4,2,112,44,0.042925119400024414,0.03792977333068848,0.03765702247619629,productivity (11),1
2,3,"{18, 34}","{18: -1, 34: -1}",91.5,"{18, 34}","{18: -1, 34: -1}",91.5,94.5,"[9, 21, 22]",3,"{18, 34}","{18: -1, 34: -1}",91.5,94.5,"[9, 21, 22]",3,2,112,44,0.04056286811828613,0.03879714012145996,0.03342700004577637,productivity (11),1
2,2,"{18, 34}","{18: -1, 34: -1}",91.5,"{18, 34}","{18: -1, 34: -1}",91.5,93.5,"[9, 21]",2,"{18, 34}","{18: -1, 34: -1}",91.5,93.5,"[9, 21]",2,2,112,44,0.03868913650512695,0.03873014450073242,0.03941082954406738,productivity (11),1
2,1,"{18, 34}","{18: -1, 34: -1}",91.5,"{18, 34}","{18: -1, 34: -1}",91.5,92.5,[9],1,"{18, 34}","{18: -1, 34: -1}",91.5,92.5,[9],1,2,112,44,0.04145097732543945,0.03946518898010254,0.03780984878540039,productivity (11),1
2,0,"{18, 34}","{18: -1, 34: -1}",91.5,"{18, 34}","{18: -1, 34: -1}",91.5,91.5,[],0,"{18, 34}","{18: -1, 34: -1}",91.5,91.5,[],0,2,112,44,0.037567853927612305,0.036228179931640625,0.03786587715148926,productivity (11),1
3,4,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,98.0,"[9, 21, 22, 27]",4,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,98.0,"[9, 21, 22, 27]",4,2,112,44,0.05480504035949707,0.05415701866149902,0.05191612243652344,productivity (11),1
3,3,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,97.0,"[9, 21, 22]",3,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,97.0,"[9, 21, 22]",3,2,112,44,0.05314135551452637,0.05130767822265625,0.05244326591491699,productivity (11),1
3,2,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,96.0,"[9, 21]",2,"{18, 34, 13}","{18: -1, 34: -1, 13: -1}",94.0,96.0,"[9, 21]",2,2,112,44,0.05467510223388672,0.05506300926208496,0.05281805992126465,productivity (11),1
