K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,{2},{2: 1},96.84546381743802,{2},{2: 1},96.84546381743802,100.84546381743802,"[4, 19, 47, 73]",4,{2},{2: 1},96.84546381743802,100.84546381743802,"[4, 19, 47, 73]",4,4.0,112,50,0.0800938606262207,0.08499622344970703,0.08069705963134766,productivity (11),0
1,3,{2},{2: 1},96.84546381743802,{2},{2: 1},96.84546381743802,99.84546381743802,"[4, 19, 47]",3,{2},{2: 1},96.84546381743802,99.84546381743802,"[4, 19, 47]",3,4.0,112,50,0.07923626899719238,0.08240008354187012,0.08207583427429199,productivity (11),0
1,2,{2},{2: 1},96.84546381743802,{2},{2: 1},96.84546381743802,98.84546381743802,"[4, 19]",2,{2},{2: 1},96.84546381743802,98.84546381743802,"[4, 19]",2,4.0,112,50,0.08984708786010742,0.09080076217651367,0.17873215675354004,productivity (11),0
1,1,{2},{2: 1},96.84546381743802,{2},{2: 1},96.84546381743802,97.84546381743802,[4],1,{2},{2: 1},96.84546381743802,97.84546381743802,[4],1,4.0,112,50,0.11166787147521973,0.11087393760681152,0.13750195503234863,productivity (11),0
1,0,{2},{2: 1},96.84546381743802,{2},{2: 1},96.84546381743802,96.84546381743802,[],0,{2},{2: 1},96.84546381743802,96.84546381743802,[],0,4.0,112,50,0.08485889434814453,0.11441993713378906,0.1441800594329834,productivity (11),0
2,4,"{2, 31}","{2: 1, 31: 1}",103.5,"{2, 31}","{2: 1, 31: 1}",103.5,107.5,"[4, 19, 47, 73]",4,"{2, 31}","{2: 1, 31: 1}",103.5,107.5,"[4, 19, 47, 73]",4,4.0,112,50,0.2356398105621338,0.19769906997680664,0.1627199649810791,productivity (11),0
2,3,"{2, 31}","{2: 1, 31: 1}",103.5,"{2, 31}","{2: 1, 31: 1}",103.5,106.5,"[4, 19, 47]",3,"{2, 31}","{2: 1, 31: 1}",103.5,106.5,"[4, 19, 47]",3,4.0,112,50,0.16004419326782227,0.1653730869293213,0.1665363311767578,productivity (11),0
2,2,"{2, 31}","{2: 1, 31: 1}",103.5,"{2, 31}","{2: 1, 31: 1}",103.5,105.5,"[4, 19]",2,"{2, 31}","{2: 1, 31: 1}",103.5,105.5,"[4, 19]",2,4.0,112,50,0.19533300399780273,0.17951607704162598,0.16270995140075684,productivity (11),0
2,1,"{2, 31}","{2: 1, 31: 1}",103.5,"{2, 31}","{2: 1, 31: 1}",103.5,104.5,[4],1,"{2, 31}","{2: 1, 31: 1}",103.5,104.5,[4],1,4.0,112,50,0.1714789867401123,0.16037607192993164,0.16339898109436035,productivity (11),0
2,0,"{2, 31}","{2: 1, 31: 1}",103.5,"{2, 31}","{2: 1, 31: 1}",103.5,103.5,[],0,"{2, 31}","{2: 1, 31: 1}",103.5,103.5,[],0,4.0,112,50,0.16500496864318848,0.16498184204101562,0.1885697841644287,productivity (11),0
