K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,kmax,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,set(),{},106.0,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,1,206,35,0.028002023696899414,0.037873029708862305,0.026018857955932617,studentmath (30),0
1,3,set(),{},106.0,set(),{},106.0,109.0,"[0, 1, 2]",3,set(),{},106.0,109.0,"[0, 1, 2]",3,1,206,35,0.026658058166503906,0.025901079177856445,0.02504897117614746,studentmath (30),0
1,2,set(),{},106.0,set(),{},106.0,108.0,"[0, 1]",2,set(),{},106.0,108.0,"[0, 1]",2,1,206,35,0.024441003799438477,0.026831865310668945,0.030137062072753906,studentmath (30),0
1,1,set(),{},106.0,set(),{},106.0,107.0,[0],1,set(),{},106.0,107.0,[0],1,1,206,35,0.02713298797607422,0.02717113494873047,0.026884794235229492,studentmath (30),0
1,0,set(),{},106.0,set(),{},106.0,106.0,[],0,set(),{},106.0,106.0,[],0,1,206,35,0.027065038681030273,0.032208919525146484,0.028052091598510742,studentmath (30),0
2,4,set(),{},106.0,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,1,206,35,0.026741981506347656,0.029501914978027344,0.02535700798034668,studentmath (30),0
2,3,set(),{},106.0,set(),{},106.0,109.0,"[0, 1, 2]",3,set(),{},106.0,109.0,"[0, 1, 2]",3,1,206,35,0.026620864868164062,0.026168107986450195,0.026588916778564453,studentmath (30),0
2,2,set(),{},106.0,set(),{},106.0,108.0,"[0, 1]",2,set(),{},106.0,108.0,"[0, 1]",2,1,206,35,0.0389859676361084,0.032178401947021484,0.027443885803222656,studentmath (30),0
2,1,set(),{},106.0,set(),{},106.0,107.0,[0],1,set(),{},106.0,107.0,[0],1,1,206,35,0.02770090103149414,0.028809785842895508,0.028371810913085938,studentmath (30),0
2,0,set(),{},106.0,set(),{},106.0,106.0,[],0,set(),{},106.0,106.0,[],0,1,206,35,0.02474689483642578,0.024983882904052734,0.028673171997070312,studentmath (30),0
3,4,set(),{},106.0,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,1,206,35,0.025308847427368164,0.02498626708984375,0.02773594856262207,studentmath (30),0
3,3,set(),{},106.0,set(),{},106.0,109.0,"[0, 1, 2]",3,set(),{},106.0,109.0,"[0, 1, 2]",3,1,206,35,0.02953815460205078,0.03187084197998047,0.039216041564941406,studentmath (30),0
3,2,set(),{},106.0,set(),{},106.0,108.0,"[0, 1]",2,set(),{},106.0,108.0,"[0, 1]",2,1,206,35,0.02515888214111328,0.02888321876525879,0.026417970657348633,studentmath (30),0
3,1,set(),{},106.0,set(),{},106.0,107.0,[0],1,set(),{},106.0,107.0,[0],1,1,206,35,0.028918027877807617,0.027589797973632812,0.033152103424072266,studentmath (30),0
3,0,set(),{},106.0,set(),{},106.0,106.0,[],0,set(),{},106.0,106.0,[],0,1,206,35,0.025522947311401367,0.025610923767089844,0.02536177635192871,studentmath (30),0
4,4,set(),{},106.0,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,1,206,35,0.023540019989013672,0.0257260799407959,0.024708986282348633,studentmath (30),0
4,3,set(),{},106.0,set(),{},106.0,109.0,"[0, 1, 2]",3,set(),{},106.0,109.0,"[0, 1, 2]",3,1,206,35,0.02537703514099121,0.027803897857666016,0.05725216865539551,studentmath (30),0
4,2,set(),{},106.0,set(),{},106.0,108.0,"[0, 1]",2,set(),{},106.0,108.0,"[0, 1]",2,1,206,35,0.05202507972717285,0.0394899845123291,0.04414176940917969,studentmath (30),0
4,1,set(),{},106.0,set(),{},106.0,107.0,[0],1,set(),{},106.0,107.0,[0],1,1,206,35,0.027720928192138672,0.0242612361907959,0.02559494972229004,studentmath (30),0
4,0,set(),{},106.0,set(),{},106.0,106.0,[],0,set(),{},106.0,106.0,[],0,1,206,35,0.03840994834899902,0.024911165237426758,0.03482794761657715,studentmath (30),0
5,4,set(),{},106.0,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,set(),{},106.0,110.0,"[0, 1, 2, 3]",4,1,206,35,0.024964094161987305,0.025036096572875977,0.025178909301757812,studentmath (30),0
5,3,set(),{},106.0,set(),{},106.0,109.0,"[0, 1, 2]",3,set(),{},106.0,109.0,"[0, 1, 2]",3,1,206,35,0.02479386329650879,0.023823022842407227,0.027111053466796875,studentmath (30),0
5,2,set(),{},106.0,set(),{},106.0,108.0,"[0, 1]",2,set(),{},106.0,108.0,"[0, 1]",2,1,206,35,0.025167226791381836,0.02997899055480957,0.03098011016845703,studentmath (30),0
5,1,set(),{},106.0,set(),{},106.0,107.0,[0],1,set(),{},106.0,107.0,[0],1,1,206,35,0.02999711036682129,0.030734777450561523,0.028751134872436523,studentmath (30),0
5,0,set(),{},106.0,set(),{},106.0,106.0,[],0,set(),{},106.0,106.0,[],0,1,206,35,0.027627944946289062,0.030961036682128906,0.03396105766296387,studentmath (30),0
1,4,{38},{38: 1},117.5,{38},{38: 1},117.5,121.5,"[0, 2, 3, 8]",4,{38},{38: 1},117.5,121.5,"[0, 2, 3, 8]",4,2,206,38,0.028081178665161133,0.03142118453979492,0.03749561309814453,studentmath (30),1
1,3,{38},{38: 1},117.5,{38},{38: 1},117.5,120.5,"[0, 2, 3]",3,{38},{38: 1},117.5,120.5,"[0, 2, 3]",3,2,206,38,0.03705596923828125,0.04098010063171387,0.0701899528503418,studentmath (30),1
1,2,{38},{38: 1},117.5,{38},{38: 1},117.5,119.5,"[0, 2]",2,{38},{38: 1},117.5,119.5,"[0, 2]",2,2,206,38,0.043066978454589844,0.047965049743652344,0.055097103118896484,studentmath (30),1
1,1,{38},{38: 1},117.5,{38},{38: 1},117.5,118.5,[0],1,{38},{38: 1},117.5,118.5,[0],1,2,206,38,0.03934788703918457,0.0343480110168457,0.034358978271484375,studentmath (30),1
1,0,{38},{38: 1},117.5,{38},{38: 1},117.5,117.5,[],0,{38},{38: 1},117.5,117.5,[],0,2,206,38,0.03445076942443848,0.04127621650695801,0.07028889656066895,studentmath (30),1
2,4,"{2, 38}","{2: 1, 38: 1}",125.5,"{2, 38}","{2: 1, 38: 1}",125.5,129.5,"[0, 2, 3, 8]",4,"{2, 38}","{2: 1, 38: 1}",125.5,129.5,"[0, 2, 3, 8]",4,2,206,38,0.08684420585632324,0.10797500610351562,0.0818030834197998,studentmath (30),1
2,3,"{2, 38}","{2: 1, 38: 1}",125.5,"{2, 38}","{2: 1, 38: 1}",125.5,128.5,"[0, 2, 3]",3,"{2, 38}","{2: 1, 38: 1}",125.5,128.5,"[0, 2, 3]",3,2,206,38,0.0706942081451416,0.06973385810852051,0.06088399887084961,studentmath (30),1
2,2,"{2, 38}","{2: 1, 38: 1}",125.5,"{2, 38}","{2: 1, 38: 1}",125.5,127.5,"[0, 2]",2,"{2, 38}","{2: 1, 38: 1}",125.5,127.5,"[0, 2]",2,2,206,38,0.06368327140808105,0.08115983009338379,0.07309603691101074,studentmath (30),1
2,1,"{2, 38}","{2: 1, 38: 1}",125.5,"{2, 38}","{2: 1, 38: 1}",125.5,126.5,[0],1,"{2, 38}","{2: 1, 38: 1}",125.5,126.5,[0],1,2,206,38,0.06731581687927246,0.0839698314666748,0.10718393325805664,studentmath (30),1
2,0,"{2, 38}","{2: 1, 38: 1}",125.5,"{2, 38}","{2: 1, 38: 1}",125.5,125.5,[],0,"{2, 38}","{2: 1, 38: 1}",125.5,125.5,[],0,2,206,38,0.1249380111694336,0.08705902099609375,0.06149911880493164,studentmath (30),1
3,4,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,134.0,"[0, 2, 3, 8]",4,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,134.0,"[0, 2, 3, 8]",4,2,206,38,0.11256194114685059,0.12498784065246582,0.10546207427978516,studentmath (30),1
3,3,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,133.0,"[0, 2, 3]",3,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,133.0,"[0, 2, 3]",3,2,206,38,0.11239123344421387,0.12054920196533203,0.11280584335327148,studentmath (30),1
3,2,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,132.0,"[0, 2]",2,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,132.0,"[0, 2]",2,2,206,38,0.1319429874420166,0.1743788719177246,0.1359870433807373,studentmath (30),1
3,1,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,131.0,[0],1,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,131.0,[0],1,2,206,38,0.09039831161499023,0.08931398391723633,0.09303808212280273,studentmath (30),1
3,0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,130.0,[],0,"{2, 10, 38}","{2: 1, 10: -1, 38: 1}",130.0,130.0,[],0,2,206,38,0.09956097602844238,0.10658097267150879,0.1593942642211914,studentmath (30),1
4,4,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,137.5,"[0, 2, 3, 8]",4,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,137.5,"[0, 2, 3, 8]",4,2,206,38,0.14737677574157715,0.17042803764343262,0.1496269702911377,studentmath (30),1
4,3,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,136.5,"[0, 2, 3]",3,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,136.5,"[0, 2, 3]",3,2,206,38,0.1740407943725586,0.15327119827270508,0.14300203323364258,studentmath (30),1
4,2,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,135.5,"[0, 2]",2,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,135.5,"[0, 2]",2,2,206,38,0.13026666641235352,0.17027711868286133,0.13775324821472168,studentmath (30),1
4,1,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,134.5,[0],1,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,134.5,[0],1,2,206,38,0.15169715881347656,0.13300466537475586,0.12647390365600586,studentmath (30),1
4,0,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,133.5,[],0,"{2, 10, 38, 6}","{2: 1, 10: -1, 38: 1, 6: 1}",133.5,133.5,[],0,2,206,38,0.1334850788116455,0.1856250762939453,0.1607198715209961,studentmath (30),1
5,4,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,140.5,"[0, 2, 3, 8]",4,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,140.5,"[0, 2, 3, 8]",4,2,206,38,0.17330479621887207,0.16255426406860352,0.1569359302520752,studentmath (30),1
5,3,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,139.5,"[0, 2, 3]",3,"{0, 2, 38, 6, 10}","{0: 1, 2: 1, 38: 1, 6: 1, 10: -1}",136.5,139.5,"[0, 2, 3]",3,2,206,38,0.18354105949401855,0.1550002098083496,0.1683969497680664,studentmath (30),1
