K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,{0},{0: 1},11.0,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,4.0,206,9,0.006237030029296875,0.006244182586669922,0.006314992904663086,studentmath (30),0
1,3,{0},{0: 1},11.0,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,4.0,206,9,0.005854129791259766,0.006205081939697266,0.011595010757446289,studentmath (30),0
1,2,{0},{0: 1},11.0,{0},{0: 1},11.0,13.0,"[0, 1]",2,{0},{0: 1},11.0,13.0,"[0, 1]",2,4.0,206,9,0.008615970611572266,0.00590205192565918,0.008913278579711914,studentmath (30),0
1,1,{0},{0: 1},11.0,{0},{0: 1},11.0,12.0,[0],1,{0},{0: 1},11.0,12.0,[0],1,4.0,206,9,0.007380962371826172,0.0057032108306884766,0.008993864059448242,studentmath (30),0
1,0,{0},{0: 1},11.0,{0},{0: 1},11.0,11.0,[],0,{0},{0: 1},11.0,11.0,[],0,4.0,206,9,0.01158285140991211,0.0052950382232666016,0.006370067596435547,studentmath (30),0
2,4,{0},{0: 1},11.0,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,4.0,206,9,0.013933897018432617,0.017455101013183594,0.010641813278198242,studentmath (30),0
2,3,{0},{0: 1},11.0,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,4.0,206,9,0.016683101654052734,0.01529383659362793,0.009762048721313477,studentmath (30),0
2,2,{0},{0: 1},11.0,{0},{0: 1},11.0,13.0,"[0, 1]",2,{0},{0: 1},11.0,13.0,"[0, 1]",2,4.0,206,9,0.014146089553833008,0.011587858200073242,0.017443180084228516,studentmath (30),0
2,1,{0},{0: 1},11.0,{0},{0: 1},11.0,12.0,[0],1,{0},{0: 1},11.0,12.0,[0],1,4.0,206,9,0.010955095291137695,0.014986038208007812,0.014466047286987305,studentmath (30),0
2,0,{0},{0: 1},11.0,{0},{0: 1},11.0,11.0,[],0,{0},{0: 1},11.0,11.0,[],0,4.0,206,9,0.01581430435180664,0.011204719543457031,0.010847806930541992,studentmath (30),0
3,4,{0},{0: 1},11.0,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,4.0,206,9,0.010575294494628906,0.010373830795288086,0.01123499870300293,studentmath (30),0
3,3,{0},{0: 1},11.0,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,4.0,206,9,0.00998687744140625,0.0129241943359375,0.024574995040893555,studentmath (30),0
3,2,{0},{0: 1},11.0,{0},{0: 1},11.0,13.0,"[0, 1]",2,{0},{0: 1},11.0,13.0,"[0, 1]",2,4.0,206,9,0.013374090194702148,0.013108968734741211,0.015110969543457031,studentmath (30),0
3,1,{0},{0: 1},11.0,{0},{0: 1},11.0,12.0,[0],1,{0},{0: 1},11.0,12.0,[0],1,4.0,206,9,0.014953136444091797,0.01903986930847168,0.013645172119140625,studentmath (30),0
3,0,{0},{0: 1},11.0,{0},{0: 1},11.0,11.0,[],0,{0},{0: 1},11.0,11.0,[],0,4.0,206,9,0.012945890426635742,0.021008014678955078,0.010923147201538086,studentmath (30),0
4,4,{0},{0: 1},11.0,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,4.0,206,9,0.012059926986694336,0.010738849639892578,0.013715267181396484,studentmath (30),0
4,3,{0},{0: 1},11.0,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,4.0,206,9,0.023422956466674805,0.03215789794921875,0.03921794891357422,studentmath (30),0
4,2,{0},{0: 1},11.0,{0},{0: 1},11.0,13.0,"[0, 1]",2,{0},{0: 1},11.0,13.0,"[0, 1]",2,4.0,206,9,0.013427972793579102,0.022661209106445312,0.015070915222167969,studentmath (30),0
4,1,{0},{0: 1},11.0,{0},{0: 1},11.0,12.0,[0],1,{0},{0: 1},11.0,12.0,[0],1,4.0,206,9,0.022462129592895508,0.02126789093017578,0.014477014541625977,studentmath (30),0
4,0,{0},{0: 1},11.0,{0},{0: 1},11.0,11.0,[],0,{0},{0: 1},11.0,11.0,[],0,4.0,206,9,0.008632898330688477,0.010701179504394531,0.015820026397705078,studentmath (30),0
5,4,{0},{0: 1},11.0,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,{0},{0: 1},11.0,15.0,"[0, 1, 2, 3]",4,4.0,206,9,0.008968114852905273,0.009879112243652344,0.010755062103271484,studentmath (30),0
5,3,{0},{0: 1},11.0,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,{0},{0: 1},11.0,14.0,"[0, 1, 2]",3,4.0,206,9,0.010575294494628906,0.010301828384399414,0.011409997940063477,studentmath (30),0
5,2,{0},{0: 1},11.0,{0},{0: 1},11.0,13.0,"[0, 1]",2,{0},{0: 1},11.0,13.0,"[0, 1]",2,4.0,206,9,0.007987022399902344,0.008820056915283203,0.010154008865356445,studentmath (30),0
5,1,{0},{0: 1},11.0,{0},{0: 1},11.0,12.0,[0],1,{0},{0: 1},11.0,12.0,[0],1,4.0,206,9,0.010159015655517578,0.010277748107910156,0.01066899299621582,studentmath (30),0
5,0,{0},{0: 1},11.0,{0},{0: 1},11.0,11.0,[],0,{0},{0: 1},11.0,11.0,[],0,4.0,206,9,0.011018991470336914,0.00925302505493164,0.009952783584594727,studentmath (30),0
1,4,{38},{38: 1},18.0,{38},{38: 1},18.0,22.0,"[0, 1, 2, 3]",4,{38},{38: 1},18.0,22.0,"[0, 1, 2, 3]",4,4.5,206,16,0.010215282440185547,0.010455131530761719,0.009918212890625,studentmath (30),1
1,3,{38},{38: 1},18.0,{38},{38: 1},18.0,21.0,"[0, 1, 2]",3,{38},{38: 1},18.0,21.0,"[0, 1, 2]",3,4.5,206,16,0.00983572006225586,0.00986623764038086,0.01042485237121582,studentmath (30),1
1,2,{38},{38: 1},18.0,{38},{38: 1},18.0,20.0,"[0, 1]",2,{38},{38: 1},18.0,20.0,"[0, 1]",2,4.5,206,16,0.009126901626586914,0.011314153671264648,0.01373291015625,studentmath (30),1
1,1,{38},{38: 1},18.0,{38},{38: 1},18.0,19.0,[0],1,{38},{38: 1},18.0,19.0,[0],1,4.5,206,16,0.010570287704467773,0.013718605041503906,0.011853218078613281,studentmath (30),1
1,0,{38},{38: 1},18.0,{38},{38: 1},18.0,18.0,[],0,{38},{38: 1},18.0,18.0,[],0,4.5,206,16,0.008837223052978516,0.012018918991088867,0.012173652648925781,studentmath (30),1
2,4,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,23.0,"[0, 1, 2, 3]",4,"{0, 38}","{0: 1, 38: 1}",19.0,23.0,"[0, 1, 2, 3]",4,4.5,206,16,0.017771005630493164,0.018895864486694336,0.017878055572509766,studentmath (30),1
2,3,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,22.0,"[0, 1, 2]",3,"{0, 38}","{0: 1, 38: 1}",19.0,22.0,"[0, 1, 2]",3,4.5,206,16,0.01963210105895996,0.01886892318725586,0.017985105514526367,studentmath (30),1
2,2,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,21.0,"[0, 1]",2,"{0, 38}","{0: 1, 38: 1}",19.0,21.0,"[0, 1]",2,4.5,206,16,0.026334762573242188,0.07870221138000488,0.018053770065307617,studentmath (30),1
2,1,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,20.0,[0],1,"{0, 38}","{0: 1, 38: 1}",19.0,20.0,[0],1,4.5,206,16,0.01975083351135254,0.018542051315307617,0.017781972885131836,studentmath (30),1
2,0,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,19.0,[],0,"{0, 38}","{0: 1, 38: 1}",19.0,19.0,[],0,4.5,206,16,0.01743006706237793,0.017549753189086914,0.020508289337158203,studentmath (30),1
3,4,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,23.0,"[0, 1, 2, 3]",4,"{0, 38}","{0: 1, 38: 1}",19.0,23.0,"[0, 1, 2, 3]",4,4.5,206,16,0.03240609169006348,0.03463912010192871,0.05469799041748047,studentmath (30),1
3,3,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,22.0,"[0, 1, 2]",3,"{0, 38}","{0: 1, 38: 1}",19.0,22.0,"[0, 1, 2]",3,4.5,206,16,0.0388031005859375,0.03132796287536621,0.029145002365112305,studentmath (30),1
3,2,"{0, 38}","{0: 1, 38: 1}",19.0,"{0, 38}","{0: 1, 38: 1}",19.0,21.0,"[0, 1]",2,"{0, 38}","{0: 1, 38: 1}",19.0,21.0,"[0, 1]",2,4.5,206,16,0.027724027633666992,0.028805017471313477,0.031449079513549805,studentmath (30),1
