K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,kmax,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,set(),{},109.0,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,1,224,46,0.037020206451416016,0.03811192512512207,0.035356760025024414,studentportuguese (30),0
1,3,set(),{},109.0,set(),{},109.0,112.0,"[1, 3, 4]",3,set(),{},109.0,112.0,"[1, 3, 4]",3,1,224,46,0.038668155670166016,0.042215824127197266,0.04097700119018555,studentportuguese (30),0
1,2,set(),{},109.0,set(),{},109.0,111.0,"[1, 3]",2,set(),{},109.0,111.0,"[1, 3]",2,1,224,46,0.03725385665893555,0.036080121994018555,0.03502011299133301,studentportuguese (30),0
1,1,set(),{},109.0,set(),{},109.0,110.0,[1],1,set(),{},109.0,110.0,[1],1,1,224,46,0.03534507751464844,0.036924123764038086,0.04240679740905762,studentportuguese (30),0
1,0,set(),{},109.0,set(),{},109.0,109.0,[],0,set(),{},109.0,109.0,[],0,1,224,46,0.03525567054748535,0.038069963455200195,0.03825712203979492,studentportuguese (30),0
2,4,set(),{},109.0,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,1,224,46,0.03434109687805176,0.033677101135253906,0.03296613693237305,studentportuguese (30),0
2,3,set(),{},109.0,set(),{},109.0,112.0,"[1, 3, 4]",3,set(),{},109.0,112.0,"[1, 3, 4]",3,1,224,46,0.0325779914855957,0.033869028091430664,0.03563809394836426,studentportuguese (30),0
2,2,set(),{},109.0,set(),{},109.0,111.0,"[1, 3]",2,set(),{},109.0,111.0,"[1, 3]",2,1,224,46,0.033661842346191406,0.03227806091308594,0.03277707099914551,studentportuguese (30),0
2,1,set(),{},109.0,set(),{},109.0,110.0,[1],1,set(),{},109.0,110.0,[1],1,1,224,46,0.03430819511413574,0.03445315361022949,0.03346514701843262,studentportuguese (30),0
2,0,set(),{},109.0,set(),{},109.0,109.0,[],0,set(),{},109.0,109.0,[],0,1,224,46,0.03322291374206543,0.03391528129577637,0.03326892852783203,studentportuguese (30),0
3,4,set(),{},109.0,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,1,224,46,0.033952951431274414,0.035012006759643555,0.03274798393249512,studentportuguese (30),0
3,3,set(),{},109.0,set(),{},109.0,112.0,"[1, 3, 4]",3,set(),{},109.0,112.0,"[1, 3, 4]",3,1,224,46,0.03322482109069824,0.03450894355773926,0.034220218658447266,studentportuguese (30),0
3,2,set(),{},109.0,set(),{},109.0,111.0,"[1, 3]",2,set(),{},109.0,111.0,"[1, 3]",2,1,224,46,0.03360795974731445,0.03461909294128418,0.03394198417663574,studentportuguese (30),0
3,1,set(),{},109.0,set(),{},109.0,110.0,[1],1,set(),{},109.0,110.0,[1],1,1,224,46,0.0331881046295166,0.03319668769836426,0.03367495536804199,studentportuguese (30),0
3,0,set(),{},109.0,set(),{},109.0,109.0,[],0,set(),{},109.0,109.0,[],0,1,224,46,0.03846621513366699,0.03441882133483887,0.03342723846435547,studentportuguese (30),0
4,4,set(),{},109.0,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,1,224,46,0.03199172019958496,0.03307008743286133,0.03295302391052246,studentportuguese (30),0
4,3,set(),{},109.0,set(),{},109.0,112.0,"[1, 3, 4]",3,set(),{},109.0,112.0,"[1, 3, 4]",3,1,224,46,0.03458285331726074,0.035089731216430664,0.03721189498901367,studentportuguese (30),0
4,2,set(),{},109.0,set(),{},109.0,111.0,"[1, 3]",2,set(),{},109.0,111.0,"[1, 3]",2,1,224,46,0.036647796630859375,0.03637886047363281,0.035941123962402344,studentportuguese (30),0
4,1,set(),{},109.0,set(),{},109.0,110.0,[1],1,set(),{},109.0,110.0,[1],1,1,224,46,0.03585100173950195,0.03308892250061035,0.03303098678588867,studentportuguese (30),0
4,0,set(),{},109.0,set(),{},109.0,109.0,[],0,set(),{},109.0,109.0,[],0,1,224,46,0.030301809310913086,0.034737348556518555,0.03441286087036133,studentportuguese (30),0
5,4,set(),{},109.0,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,set(),{},109.0,113.0,"[1, 3, 4, 6]",4,1,224,46,0.03386402130126953,0.03119373321533203,0.03249716758728027,studentportuguese (30),0
5,3,set(),{},109.0,set(),{},109.0,112.0,"[1, 3, 4]",3,set(),{},109.0,112.0,"[1, 3, 4]",3,1,224,46,0.03268599510192871,0.0345001220703125,0.03628110885620117,studentportuguese (30),0
5,2,set(),{},109.0,set(),{},109.0,111.0,"[1, 3]",2,set(),{},109.0,111.0,"[1, 3]",2,1,224,46,0.0345308780670166,0.038716793060302734,0.043318986892700195,studentportuguese (30),0
5,1,set(),{},109.0,set(),{},109.0,110.0,[1],1,set(),{},109.0,110.0,[1],1,1,224,46,0.036231279373168945,0.046005964279174805,0.038678884506225586,studentportuguese (30),0
5,0,set(),{},109.0,set(),{},109.0,109.0,[],0,set(),{},109.0,109.0,[],0,1,224,46,0.04141592979431152,0.04301309585571289,0.042662858963012695,studentportuguese (30),0
1,4,{45},{45: -1},118.5,{45},{45: -1},118.5,122.5,"[1, 3, 4, 7]",4,{45},{45: -1},118.5,122.5,"[1, 3, 4, 7]",4,2,224,48,0.06712603569030762,0.06142902374267578,0.043054819107055664,studentportuguese (30),1
1,3,{45},{45: -1},118.5,{45},{45: -1},118.5,121.5,"[1, 3, 4]",3,{45},{45: -1},118.5,121.5,"[1, 3, 4]",3,2,224,48,0.04145097732543945,0.04298806190490723,0.04097914695739746,studentportuguese (30),1
1,2,{45},{45: -1},118.5,{45},{45: -1},118.5,120.5,"[1, 3]",2,{45},{45: -1},118.5,120.5,"[1, 3]",2,2,224,48,0.041571855545043945,0.04193615913391113,0.041466712951660156,studentportuguese (30),1
1,1,{45},{45: -1},118.5,{45},{45: -1},118.5,119.5,[1],1,{45},{45: -1},118.5,119.5,[1],1,2,224,48,0.03970003128051758,0.042749881744384766,0.04108476638793945,studentportuguese (30),1
1,0,{45},{45: -1},118.5,{45},{45: -1},118.5,118.5,[],0,{45},{45: -1},118.5,118.5,[],0,2,224,48,0.04168510437011719,0.04287600517272949,0.04303288459777832,studentportuguese (30),1
2,4,"{42, 45}","{42: 1, 45: -1}",123.5,"{42, 45}","{42: 1, 45: -1}",123.5,127.5,"[1, 3, 4, 7]",4,"{42, 45}","{42: 1, 45: -1}",123.5,127.5,"[1, 3, 4, 7]",4,2,224,48,0.08861398696899414,0.09142112731933594,0.08160805702209473,studentportuguese (30),1
2,3,"{42, 45}","{42: 1, 45: -1}",123.5,"{42, 45}","{42: 1, 45: -1}",123.5,126.5,"[1, 3, 4]",3,"{42, 45}","{42: 1, 45: -1}",123.5,126.5,"[1, 3, 4]",3,2,224,48,0.08184385299682617,0.08268904685974121,0.08463311195373535,studentportuguese (30),1
2,2,"{42, 45}","{42: 1, 45: -1}",123.5,"{42, 45}","{42: 1, 45: -1}",123.5,125.5,"[1, 3]",2,"{42, 45}","{42: 1, 45: -1}",123.5,125.5,"[1, 3]",2,2,224,48,0.1162729263305664,0.11888408660888672,0.09863877296447754,studentportuguese (30),1
2,1,"{42, 45}","{42: 1, 45: -1}",123.5,"{42, 45}","{42: 1, 45: -1}",123.5,124.5,[1],1,"{42, 45}","{42: 1, 45: -1}",123.5,124.5,[1],1,2,224,48,0.08499908447265625,0.09270977973937988,0.11219620704650879,studentportuguese (30),1
2,0,"{42, 45}","{42: 1, 45: -1}",123.5,"{42, 45}","{42: 1, 45: -1}",123.5,123.5,[],0,"{42, 45}","{42: 1, 45: -1}",123.5,123.5,[],0,2,224,48,0.09225964546203613,0.10895109176635742,0.09599995613098145,studentportuguese (30),1
3,4,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,131.0,"[1, 3, 4, 7]",4,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,131.0,"[1, 3, 4, 7]",4,2,224,48,0.11951518058776855,0.11619925498962402,0.1335458755493164,studentportuguese (30),1
3,3,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,130.0,"[1, 3, 4]",3,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,130.0,"[1, 3, 4]",3,2,224,48,0.1656627655029297,0.1336209774017334,0.12247085571289062,studentportuguese (30),1
3,2,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,129.0,"[1, 3]",2,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,129.0,"[1, 3]",2,2,224,48,0.11983203887939453,0.1334068775177002,0.1450200080871582,studentportuguese (30),1
3,1,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,128.0,[1],1,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,128.0,[1],1,2,224,48,0.14516687393188477,0.11413407325744629,0.13968515396118164,studentportuguese (30),1
3,0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,127.0,[],0,"{24, 42, 45}","{24: 1, 42: 1, 45: -1}",127.0,127.0,[],0,2,224,48,0.1348400115966797,0.13152790069580078,0.13512301445007324,studentportuguese (30),1
4,4,"{24, 42, 32, 45}","{24: 1, 42: 1, 32: -1, 45: -1}",130.5,"{24, 42, 32, 45}","{24: 1, 42: 1, 32: -1, 45: -1}",130.5,134.5,"[1, 3, 4, 7]",4,"{24, 42, 32, 45}","{24: 1, 42: 1, 32: -1, 45: -1}",130.5,134.5,"[1, 3, 4, 7]",4,2,224,48,0.19841313362121582,0.17584991455078125,0.15831303596496582,studentportuguese (30),1
