K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
1,4,{32},{32: -1},5.0,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,4.0,224,6,0.0045549869537353516,0.004887819290161133,0.004907846450805664,studentportuguese (30),0
1,3,{32},{32: -1},5.0,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,4.0,224,6,0.004399776458740234,0.009836196899414062,0.005139827728271484,studentportuguese (30),0
1,2,{32},{32: -1},5.0,{32},{32: -1},5.0,7.0,"[0, 1]",2,{32},{32: -1},5.0,7.0,"[0, 1]",2,4.0,224,6,0.005468130111694336,0.006390810012817383,0.006947040557861328,studentportuguese (30),0
1,1,{32},{32: -1},5.0,{32},{32: -1},5.0,6.0,[0],1,{32},{32: -1},5.0,6.0,[0],1,4.0,224,6,0.007359027862548828,0.006741046905517578,0.005263805389404297,studentportuguese (30),0
1,0,{32},{32: -1},5.0,{32},{32: -1},5.0,5.0,[],0,{32},{32: -1},5.0,5.0,[],0,4.0,224,6,0.003980159759521484,0.004951953887939453,0.007681131362915039,studentportuguese (30),0
2,4,{32},{32: -1},5.0,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,4.0,224,6,0.009282827377319336,0.008496284484863281,0.007689952850341797,studentportuguese (30),0
2,3,{32},{32: -1},5.0,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,4.0,224,6,0.024080991744995117,0.008066892623901367,0.023219823837280273,studentportuguese (30),0
2,2,{32},{32: -1},5.0,{32},{32: -1},5.0,7.0,"[0, 1]",2,{32},{32: -1},5.0,7.0,"[0, 1]",2,4.0,224,6,0.009862184524536133,0.007976055145263672,0.011873006820678711,studentportuguese (30),0
2,1,{32},{32: -1},5.0,{32},{32: -1},5.0,6.0,[0],1,{32},{32: -1},5.0,6.0,[0],1,4.0,224,6,0.007276058197021484,0.00872492790222168,0.008848190307617188,studentportuguese (30),0
2,0,{32},{32: -1},5.0,{32},{32: -1},5.0,5.0,[],0,{32},{32: -1},5.0,5.0,[],0,4.0,224,6,0.008777856826782227,0.010232210159301758,0.007996797561645508,studentportuguese (30),0
3,4,{32},{32: -1},5.0,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,4.0,224,6,0.007338047027587891,0.00775599479675293,0.008081912994384766,studentportuguese (30),0
3,3,{32},{32: -1},5.0,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,4.0,224,6,0.008600234985351562,0.00814676284790039,0.008047103881835938,studentportuguese (30),0
3,2,{32},{32: -1},5.0,{32},{32: -1},5.0,7.0,"[0, 1]",2,{32},{32: -1},5.0,7.0,"[0, 1]",2,4.0,224,6,0.007069826126098633,0.008400917053222656,0.007776021957397461,studentportuguese (30),0
3,1,{32},{32: -1},5.0,{32},{32: -1},5.0,6.0,[0],1,{32},{32: -1},5.0,6.0,[0],1,4.0,224,6,0.007443904876708984,0.007657051086425781,0.007766008377075195,studentportuguese (30),0
3,0,{32},{32: -1},5.0,{32},{32: -1},5.0,5.0,[],0,{32},{32: -1},5.0,5.0,[],0,4.0,224,6,0.007401227951049805,0.007970094680786133,0.008131027221679688,studentportuguese (30),0
4,4,{32},{32: -1},5.0,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,4.0,224,6,0.007463932037353516,0.008671045303344727,0.007743120193481445,studentportuguese (30),0
4,3,{32},{32: -1},5.0,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,{32},{32: -1},5.0,8.0,"[0, 1, 2]",3,4.0,224,6,0.00736689567565918,0.007881879806518555,0.008179187774658203,studentportuguese (30),0
4,2,{32},{32: -1},5.0,{32},{32: -1},5.0,7.0,"[0, 1]",2,{32},{32: -1},5.0,7.0,"[0, 1]",2,4.0,224,6,0.007401227951049805,0.008059978485107422,0.007687807083129883,studentportuguese (30),0
4,1,{32},{32: -1},5.0,{32},{32: -1},5.0,6.0,[0],1,{32},{32: -1},5.0,6.0,[0],1,4.0,224,6,0.006841897964477539,0.008661985397338867,0.007883071899414062,studentportuguese (30),0
4,0,{32},{32: -1},5.0,{32},{32: -1},5.0,5.0,[],0,{32},{32: -1},5.0,5.0,[],0,4.0,224,6,0.005669116973876953,0.007970809936523438,0.008027076721191406,studentportuguese (30),0
5,4,{32},{32: -1},5.0,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,{32},{32: -1},5.0,9.0,"[0, 1, 2, 3]",4,4.0,224,6,0.006914854049682617,0.008079051971435547,0.00667119026184082,studentportuguese (30),0
