K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,adult (14),0,1,328,46,49.19,20.81,229.0,99.0,179.81,78.19,0.0,0.0,100.0,100.0,21.480329999999995,21.0202,0.0,0.0,0.031058192253112793
2,adult (14),0,1,328,46,49.19,20.81,229.0,99.0,179.81,78.19,0.0,0.0,100.0,100.0,21.480329999999995,21.0202,0.0,0.0,0.03221780061721802
3,adult (14),0,1,328,46,49.19,20.81,229.0,99.0,179.81,78.19,0.0,0.0,100.0,100.0,21.480329999999995,21.0202,0.0,0.0,0.031373555660247805
4,adult (14),0,1,328,46,49.19,20.81,229.0,99.0,179.81,78.19,0.0,0.0,100.0,100.0,21.480329999999995,21.0202,0.0,0.0,0.030803446769714356
5,adult (14),0,1,328,46,49.19,20.81,229.0,99.0,179.81,78.19,0.0,0.0,100.0,100.0,21.480329999999995,21.0202,0.0,0.0,0.031185526847839356
1,adult (14),1,2,328,49,66.525,27.295,229.0,99.0,128.03,55.97,0.0,0.0,65.88332000000001,63.39259,29.050240000000002,27.570759999999993,61.94999000000001,59.08953,0.05913657426834106
2,adult (14),1,2,328,49,76.21,31.47,229.0,99.0,128.03,55.97,0.0,0.0,75.47554,73.11569,33.279430000000005,31.787840000000003,72.6484,69.93655999999999,0.11469058752059937
3,adult (14),1,2,328,49,84.76,36.24,229.0,99.0,128.03,55.97,0.0,0.0,83.94291,84.20808000000001,37.013130000000004,36.60605,82.09264000000002,82.35719999999999,0.173267924785614
4,adult (14),1,2,328,49,88.46,37.18,229.0,99.0,128.03,55.97,0.0,0.0,87.60915999999999,86.40089999999998,38.62892,37.55553,86.18244,84.80877000000001,0.22576974391937255
5,adult (14),1,2,328,49,91.535,37.935,229.0,99.0,128.03,55.97,0.0,0.0,90.65616,88.16351999999999,39.97159,38.31813999999999,89.58049999999999,86.77344,0.28151933670043944
1,adult (14),2,3,328,49,83.2633333333333,36.11999999999999,229.0,99.0,84.56,36.44,0.0,0.0,57.64309999999998,57.73535,36.3595,36.4849,56.80071,56.93009,0.06370386123657226
2,adult (14),2,3,328,49,102.41999999999994,44.36333333333334,229.0,99.0,84.56,36.44,0.0,0.0,70.90511,70.89356,44.72485,44.81142,70.32752,70.34043,0.12628947257995604
3,adult (14),2,3,328,49,118.06999999999996,51.59666666666667,229.0,99.0,84.56,36.44,0.0,0.0,81.7401,82.45846,51.55898,52.11785,81.37747999999999,82.12451999999999,0.19020213365554808
4,adult (14),2,3,328,49,124.62999999999997,53.50666666666668,229.0,99.0,84.56,36.44,0.0,0.0,86.28411,85.51602999999999,54.42359999999999,54.047160000000005,86.01151000000002,85.24037,0.2509229874610901
5,adult (14),2,3,328,49,129.67999999999998,55.24000000000001,229.0,99.0,84.56,36.44,0.0,0.0,89.78211000000002,88.29276,56.628820000000005,55.79796000000001,89.57939000000002,88.06832,0.3075101113319397
1,adult (14),3,4,328,49,95.8775,39.7525,229.0,99.0,59.99,26.01,0.0,0.0,56.72876,54.454359999999994,41.86791,40.15401,56.38543,54.03142000000002,0.07339978218078613
2,adult (14),3,4,328,49,123.3725,51.2925,229.0,99.0,59.99,26.01,0.0,0.0,72.99693,70.26196,53.87440000000001,51.81062,72.78325,69.98848,0.14262803316116332
3,adult (14),3,4,328,49,145.6475,63.1025,229.0,99.0,59.99,26.01,0.0,0.0,86.17569999999999,86.44466,63.601580000000006,63.73991,86.06664999999997,86.32207000000002,0.2148851490020752
4,adult (14),3,4,328,49,153.1775,65.8425,229.0,99.0,59.99,26.01,0.0,0.0,90.63279,90.20940999999999,66.88976000000001,66.50761,90.55895000000001,90.12091999999998,0.277609326839447
5,adult (14),3,4,328,49,157.91,67.27,229.0,99.0,59.99,26.01,0.0,0.0,93.43385,92.17014,68.95631999999999,67.94954000000001,93.38238000000001,92.10135999999999,0.34865434885025026
1,adult (14),4,5,328,49,108.73800000000017,45.68600000000001,229.0,99.0,42.67,18.33,0.0,0.0,58.35707,56.62909,47.48392,46.14753,58.204209999999996,56.45418000000001,0.07999306917190552
2,adult (14),4,5,328,49,145.01200000000006,61.33800000000001,229.0,99.0,42.67,18.33,0.0,0.0,77.82321,76.01745000000001,63.32397,61.95754,77.74199,75.92191000000001,0.15799229383468627
3,adult (14),4,5,328,49,163.57999999999998,70.82,229.0,99.0,42.67,18.33,0.0,0.0,87.78729000000001,87.77037999999999,71.43227,71.53529999999999,87.74261999999999,87.72196,0.23671853065490722
4,adult (14),4,5,328,49,171.168,73.852,229.0,99.0,42.67,18.33,0.0,0.0,91.86067000000001,91.53084999999999,74.74579,74.59797999999999,91.83099000000001,91.49816999999999,0.3147620725631714
5,adult (14),4,5,328,49,175.838,75.176,229.0,99.0,42.67,18.33,0.0,0.0,94.36822000000002,93.18372999999998,76.78525,75.93537,94.34775000000002,93.15678999999999,0.38342259645462035
1,adult (14),5,6,328,49,123.52666666666676,53.66666666666666,229.0,99.0,30.87,13.13,0.0,0.0,62.34321,62.48721,53.94179000000001,54.20882,62.34321,62.48721,0.08848940372467042
2,adult (14),5,6,328,49,161.775,69.75833333333334,229.0,99.0,30.87,13.13,0.0,0.0,81.64695000000002,81.22114,70.64410000000001,70.46296000000001,81.64695000000002,81.22114,0.17380309820175172
3,adult (14),5,6,328,49,178.00333333333333,77.33,229.0,99.0,30.87,13.13,0.0,0.0,89.83916,90.04057,77.73072,78.11115000000001,89.83916,90.04057,0.2549936580657959
4,adult (14),5,6,328,49,185.49833333333333,79.84166666666665,229.0,99.0,30.87,13.13,0.0,0.0,93.62265999999998,92.97231000000002,81.00364,80.64809999999999,93.62265999999998,92.97231000000002,0.3433507871627808
5,adult (14),5,6,328,49,190.73166666666668,82.16,229.0,99.0,30.87,13.13,0.0,0.0,96.26453,95.66911,83.2889,82.98991999999998,96.26453,95.66911,0.41907108306884766
1,adult (14),6,7,328,49,132.1285714285714,56.80000000000002,229.0,99.0,23.1,9.9,0.0,0.0,64.16822999999998,63.73326999999999,57.69809,57.37373,64.16822999999998,63.73326999999999,0.08579949617385864
2,adult (14),6,7,328,49,170.9414285714285,73.45285714285716,229.0,99.0,23.1,9.9,0.0,0.0,83.01937,82.42711000000001,74.64695,74.19481,83.01937,82.42711000000001,0.17148829221725465
3,adult (14),6,7,328,49,187.6928571428571,81.42714285714287,229.0,99.0,23.1,9.9,0.0,0.0,91.15493000000001,91.37262000000001,81.96197000000001,82.24964,91.15493000000001,91.37262000000001,0.2552219605445862
4,adult (14),6,7,328,49,196.5214285714286,85.13714285714286,229.0,99.0,23.1,9.9,0.0,0.0,95.44339999999998,95.54150000000001,85.81721999999999,85.99710999999999,95.44339999999998,95.54150000000001,0.33326393365859985
5,adult (14),6,7,328,49,200.42142857142855,86.30285714285715,229.0,99.0,23.1,9.9,0.0,0.0,97.33854000000001,96.85677000000001,87.52022000000001,87.17451000000001,97.33854000000001,96.85677000000001,0.41302076578140257
1,adult (14),7,8,328,49,144.8275,62.79125,229.0,99.0,13.27,5.73,0.0,0.0,67.13206,67.31192999999999,63.24345,63.42554,67.13206,67.31192999999999,0.09122748136520385
2,adult (14),7,8,328,49,185.75625,80.3125,229.0,99.0,13.27,5.73,0.0,0.0,86.10586,86.10606,81.11625000000001,81.12369,86.10586,86.10606,0.17655850648880006
3,adult (14),7,8,328,49,200.58,86.8425,229.0,99.0,13.27,5.73,0.0,0.0,92.97651,93.10643,87.58956999999998,87.71967000000002,92.97651,93.10643,0.26430659770965576
4,adult (14),7,8,328,49,206.995,89.445,229.0,99.0,13.27,5.73,0.0,0.0,95.95054,95.89621000000001,90.39079,90.34845000000001,95.95054,95.89621000000001,0.3483349061012268
5,adult (14),7,8,328,49,210.43625,90.255,229.0,99.0,13.27,5.73,0.0,0.0,97.54623,96.76673,91.89356,91.16671000000002,97.54623,96.76673,0.43399288654327395
1,adult (14),8,9,328,49,157.81777777777793,68.29333333333335,229.0,99.0,8.52,3.48,0.0,0.0,71.57765,71.48769,68.91606,68.98316999999999,71.57765,71.48769,0.08790478467941285
2,adult (14),8,9,328,49,196.09555555555562,84.90444444444444,229.0,99.0,8.52,3.48,0.0,0.0,88.94024999999999,88.88651,85.63123999999999,85.76208000000003,88.94024999999999,88.88651,0.17583062410354613
3,adult (14),8,9,328,49,209.29444444444445,90.36111111111113,229.0,99.0,8.52,3.48,0.0,0.0,94.92618999999999,94.59729999999999,91.39493,91.27389,94.92618999999999,94.59729999999999,0.25622403383255005
4,adult (14),8,9,328,49,214.05777777777786,92.07000000000002,229.0,99.0,8.52,3.48,0.0,0.0,97.08678000000002,96.38732,93.47502999999999,92.99997000000002,97.08678000000002,96.38732,0.33528724670410154
5,adult (14),8,9,328,49,216.39555555555555,92.53333333333335,229.0,99.0,8.52,3.48,0.0,0.0,98.14706,96.87106999999997,94.49587,93.46799000000003,98.14706,96.87106999999997,0.41839368104934693
1,adult (14),9,10,328,49,166.60799999999995,72.292,229.0,99.0,7.13,2.87,0.0,0.0,75.09091000000001,75.19319999999999,72.75448999999999,73.02217999999999,75.09091000000001,75.19319999999999,0.0882224202156067
2,adult (14),9,10,328,49,202.06400000000005,87.63599999999998,229.0,99.0,7.13,2.87,0.0,0.0,91.07277999999998,91.16224000000003,88.2376,88.52131,91.07277999999998,91.16224000000003,0.17201404333114623
3,adult (14),9,10,328,49,214.32299999999998,92.03299999999999,229.0,99.0,7.13,2.87,0.0,0.0,96.59810000000002,95.73570999999998,93.59072,92.96247999999997,96.59810000000002,95.73570999999998,0.2573504662513733
4,adult (14),9,10,328,49,218.49499999999998,94.179,229.0,99.0,7.13,2.87,0.0,0.0,98.47878,97.97052,95.41277000000004,95.13035999999998,98.47878,97.97052,0.33920023918151854
