K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,adult (14),0,4.0,328,48,141.08481270337847,61.090724376500695,229.0,99.0,35.59,15.41,24.86,10.14,83.70198,83.15519,61.609090000000016,61.70778,83.2916,82.71902,0.138184072971344
2,adult (14),0,4.0,328,48,161.15951803751804,69.76093290043292,229.0,99.0,35.59,15.41,24.86,10.14,95.61327000000001,94.96454,70.37531000000001,70.46562,95.50232,94.83284000000002,0.2685094165802002
3,adult (14),0,4.0,328,48,164.31948593073594,70.79184307359307,229.0,99.0,35.59,15.41,24.86,10.14,97.48868,96.36971000000001,71.7552,71.50693999999999,97.42532999999999,96.27555000000001,0.3963262724876404
4,adult (14),0,4.0,328,48,166.1273214285714,71.37892460317461,229.0,99.0,35.59,15.41,24.86,10.14,98.5616,97.17266000000001,72.54464999999999,72.09996,98.52548999999999,97.09783999999999,0.5270565629005433
5,adult (14),0,4.0,328,48,167.3533492063492,72.06573015873016,229.0,99.0,35.59,15.41,24.86,10.14,99.28943,98.10743999999998,73.08003000000001,72.79373999999999,99.2715,98.05864999999999,0.6511120748519897
1,adult (14),1,4.5,328,49,164.78305106249957,71.046927233714,229.0,99.0,23.27,9.73,15.02,5.98,86.40378999999999,85.29471000000001,71.95767,71.76457,86.30311999999999,85.18734,0.19355952739715576
2,adult (14),1,4.5,328,49,183.34669030969027,79.33656940281939,229.0,99.0,23.27,9.73,15.02,5.98,96.13785000000001,95.24906999999999,80.06403,80.13798000000001,96.10943000000003,95.21524000000004,0.38157824516296385
3,adult (14),1,4.5,328,49,186.93524281274284,81.14599791874792,229.0,99.0,23.27,9.73,15.02,5.98,98.01989999999999,97.41582000000002,81.63114,81.96569000000001,98.00533,97.39801000000001,0.5664101862907409
4,adult (14),1,4.5,328,49,189.2201558441558,82.24576287601289,229.0,99.0,23.27,9.73,15.02,5.98,99.21834000000001,98.73939,82.62892000000002,83.07653,99.21257000000001,98.73172000000002,0.7481786346435547
5,adult (14),1,4.5,328,49,190.3145714285715,82.89133333333331,229.0,99.0,23.27,9.73,15.02,5.98,99.79260000000004,99.51849,83.10672000000001,83.72858000000002,99.79106,99.51536000000002,0.9283190965652466
1,adult (14),2,5.0,328,49,193.38900329937525,83.9912038677267,229.0,99.0,14.13,5.87,6.62,2.38,92.86161000000004,92.53820999999998,84.44937999999998,84.83963,92.81450000000001,92.48951,0.22395721435546875
2,adult (14),2,5.0,328,49,204.38175133689847,88.94208097784569,229.0,99.0,14.13,5.87,6.62,2.38,98.14188,98.00355000000003,89.24971,89.84045000000002,98.12972000000002,97.99100000000003,0.4372932171821594
3,adult (14),2,5.0,328,49,206.39506277056276,89.32800254647314,229.0,99.0,14.13,5.87,6.62,2.38,99.10879999999997,98.42949,90.12883999999998,90.2303,99.10306999999999,98.41963000000004,0.6692337369918824
4,adult (14),2,5.0,328,49,207.57483766233764,89.84734848484848,229.0,99.0,14.13,5.87,6.62,2.38,99.67551999999999,99.00347,90.64408000000002,90.75483999999999,99.67342000000001,98.9973,0.872050428390503
5,adult (14),2,5.0,328,49,208.14,90.18818181818182,229.0,99.0,14.13,5.87,6.62,2.38,99.94706000000001,99.37805,90.89084999999997,91.09911,99.94674,99.37414000000001,1.067159116268158
1,adult (14),3,5.5,328,49,212.02269474969475,92.26964346764345,229.0,99.0,6.36,2.64,4.36,1.64,97.13327000000001,97.41221,92.58628999999999,93.20164999999999,97.13327000000001,97.41221,0.21775316715240478
2,adult (14),3,5.5,328,49,214.85135225885227,93.07013064713067,229.0,99.0,6.36,2.64,4.36,1.64,98.429,98.25596,93.82149,94.01022,98.429,98.25596,0.4398231172561646
3,adult (14),3,5.5,328,49,216.49320115995113,93.55572130647131,229.0,99.0,6.36,2.64,4.36,1.64,99.18121000000001,98.77009,94.53850000000003,94.50072999999999,99.18121000000001,98.77009,0.6404413247108459
4,adult (14),3,5.5,328,49,217.60264560439563,93.83822130647131,229.0,99.0,6.36,2.64,4.36,1.64,99.68973,99.06846,95.023,94.78612,99.68973,99.06846,0.8499019169807434
5,adult (14),3,5.5,328,49,218.28,94.32076068376067,229.0,99.0,6.36,2.64,4.36,1.64,100.0,99.57587000000001,95.31889,95.27354000000001,100.0,99.57587000000001,1.045154206752777
1,adult (14),4,6.0,328,49,218.57355781416655,94.47914094359747,229.0,99.0,4.26,1.74,1.52,0.48,97.91839999999998,97.62353000000002,95.44694000000001,95.43353000000003,97.91839999999998,97.62353000000002,0.2207225441932678
2,adult (14),4,6.0,328,49,220.83136150323105,94.81357014241797,229.0,99.0,4.26,1.74,1.52,0.48,98.92989000000001,97.96833000000002,96.43293000000001,95.77131000000001,98.92989000000001,97.96833000000002,0.4401241207122803
3,adult (14),4,6.0,328,49,222.37455555555553,95.70925396825398,229.0,99.0,4.26,1.74,1.52,0.48,99.62129999999999,98.89309000000002,97.10679999999998,96.67609,99.62129999999999,98.89309000000002,0.654894425868988
4,adult (14),4,6.0,328,49,223.0427777777778,95.99814285714287,229.0,99.0,4.26,1.74,1.52,0.48,99.92066999999999,99.19146,97.39862999999997,96.96791999999999,99.92066999999999,99.19146,0.8582099914550781
5,adult (14),4,6.0,328,49,223.22,95.99814285714287,229.0,99.0,4.26,1.74,1.52,0.48,100.0,99.19146,97.47602999999995,96.96791999999999,100.0,99.19146,1.0321007585525512
1,adult (14),5,6.5,328,49,223.92491502605054,96.41984087382926,229.0,99.0,2.91,1.09,0.0,0.0,99.04227999999999,98.4792,97.78384000000001,97.39374000000004,99.03891,98.47566,0.2026279878616333
2,adult (14),5,6.5,328,49,225.5819047619048,97.386341991342,229.0,99.0,2.91,1.09,0.0,0.0,99.77522,99.46528,98.50748,98.37003,99.77449,99.46400000000001,0.4030040836334228
3,adult (14),5,6.5,328,49,226.09,97.4747546897547,229.0,99.0,2.91,1.09,0.0,0.0,100.0,99.55543,98.72929000000002,98.45938,100.0,99.55441,0.5946611046791077
4,adult (14),5,6.5,328,49,226.09,97.4747546897547,229.0,99.0,2.91,1.09,0.0,0.0,100.0,99.55543,98.72929000000002,98.45938,100.0,99.55441,0.7200956964492797
5,adult (14),5,6.5,328,49,226.09,97.4747546897547,229.0,99.0,2.91,1.09,0.0,0.0,100.0,99.55543,98.72929000000002,98.45938,100.0,99.55441,0.7205524396896362
1,adult (14),6,7.0,328,49,226.89319444444445,98.14363927291346,229.0,99.0,1.41,0.59,0.0,0.0,99.69400999999998,99.72893,99.08014000000003,99.13501000000001,99.69400999999998,99.72893,0.2203276515007019
2,adult (14),6,7.0,328,49,227.59,98.22722222222222,229.0,99.0,1.41,0.59,0.0,0.0,100.0,99.81446,99.38434000000001,99.21943999999999,100.0,99.81446,0.4237233591079712
3,adult (14),6,7.0,328,49,227.59,98.22722222222222,229.0,99.0,1.41,0.59,0.0,0.0,100.0,99.81446,99.38434000000001,99.21943999999999,100.0,99.81446,0.5895884943008423
4,adult (14),6,7.0,328,49,227.59,98.22722222222222,229.0,99.0,1.41,0.59,0.0,0.0,100.0,99.81446,99.38434000000001,99.21943999999999,100.0,99.81446,0.5885837984085083
5,adult (14),6,7.0,328,49,227.59,98.22722222222222,229.0,99.0,1.41,0.59,0.0,0.0,100.0,99.81446,99.38434000000001,99.21943999999999,100.0,99.81446,0.588913938999176
1,adult (14),7,7.5,328,49,228.63333333333333,98.6487365967366,229.0,99.0,0.0,0.0,0.0,0.0,99.83995000000003,99.64531,99.83995000000003,99.64531,99.83995000000003,99.64531,0.22112925767898559
2,adult (14),7,7.5,328,49,229.0,98.66370163170164,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.66042999999998,100.0,99.66042999999998,100.0,99.66042999999998,0.4341470503807068
3,adult (14),7,7.5,328,49,229.0,98.66370163170164,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.66042999999998,100.0,99.66042999999998,100.0,99.66042999999998,0.5616886568069458
4,adult (14),7,7.5,328,49,229.0,98.66370163170164,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.66042999999998,100.0,99.66042999999998,100.0,99.66042999999998,0.556636528968811
5,adult (14),7,7.5,328,49,229.0,98.66370163170164,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.66042999999998,100.0,99.66042999999998,100.0,99.66042999999998,0.5566364121437073
1,adult (14),8,8.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.22848936796188354
2,adult (14),8,8.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.43889914989471435
3,adult (14),8,8.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.43911013603210447
4,adult (14),8,8.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.43765939712524415
5,adult (14),8,8.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4372336721420288
1,adult (14),9,8.5,328,49,229.0,98.90989952718675,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.90899999999999,100.0,99.90899999999999,100.0,99.90899999999999,0.21911706686019897
2,adult (14),9,8.5,328,49,229.0,98.90989952718675,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.90899999999999,100.0,99.90899999999999,100.0,99.90899999999999,0.4343625593185425
3,adult (14),9,8.5,328,49,229.0,98.90989952718675,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.90899999999999,100.0,99.90899999999999,100.0,99.90899999999999,0.42894863605499267
4,adult (14),9,8.5,328,49,229.0,98.90989952718675,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.90899999999999,100.0,99.90899999999999,100.0,99.90899999999999,0.42734763145446775
5,adult (14),9,8.5,328,49,229.0,98.90989952718675,229.0,99.0,0.0,0.0,0.0,0.0,100.0,99.90899999999999,100.0,99.90899999999999,100.0,99.90899999999999,0.43956666707992553
1,adult (14),10,9.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.22061421155929564
2,adult (14),10,9.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4247339844703674
3,adult (14),10,9.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4279220652580261
4,adult (14),10,9.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.42701804399490356
5,adult (14),10,9.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.43038243770599366
1,adult (14),11,9.5,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2079027509689331
2,adult (14),11,9.5,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4125468015670776
3,adult (14),11,9.5,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4203768730163574
4,adult (14),11,9.5,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.41507357835769654
5,adult (14),11,9.5,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4125893521308899
1,adult (14),12,10.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.20126575708389283
2,adult (14),12,10.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.39050004959106444
3,adult (14),12,10.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.386011221408844
4,adult (14),12,10.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.39005842447280886
5,adult (14),12,10.0,328,49,229.0,99.0,229.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.39360233783721926
