K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,productivity (11),0,1,112,32,53.45,23.55,78.0,34.0,24.55,10.45,0.0,0.0,100.0,100.0,68.52588999999999,69.26473,0.0,0.0,0.011728992462158203
2,productivity (11),0,1,112,32,53.45,23.55,78.0,34.0,24.55,10.45,0.0,0.0,100.0,100.0,68.52588999999999,69.26473,0.0,0.0,0.01218674898147583
3,productivity (11),0,1,112,32,53.45,23.55,78.0,34.0,24.55,10.45,0.0,0.0,100.0,100.0,68.52588999999999,69.26473,0.0,0.0,0.012672245502471924
4,productivity (11),0,1,112,32,53.45,23.55,78.0,34.0,24.55,10.45,0.0,0.0,100.0,100.0,68.52588999999999,69.26473,0.0,0.0,0.01207688570022583
5,productivity (11),0,1,112,32,53.45,23.55,78.0,34.0,24.55,10.45,0.0,0.0,100.0,100.0,68.52588999999999,69.26473,0.0,0.0,0.012127633094787598
1,productivity (11),1,2,112,44,60.58,25.905,78.0,34.0,7.71,3.29,0.0,0.0,86.19047,84.37581,77.66655999999998,76.19118999999999,64.53307,58.53321,0.019476165771484377
2,productivity (11),1,2,112,44,63.695,27.52,78.0,34.0,7.71,3.29,0.0,0.0,90.61914999999999,89.63413999999999,81.66001,80.94121999999999,75.85933000000001,72.68271,0.03822519063949585
3,productivity (11),1,2,112,44,65.495,28.09,78.0,34.0,7.71,3.29,0.0,0.0,93.18074,91.47581,83.96766,82.61769,82.44833999999999,77.32561,0.057198829650878906
4,productivity (11),1,2,112,44,66.75,28.365,78.0,34.0,7.71,3.29,0.0,0.0,94.96543,92.37712000000002,85.57664999999999,83.42649,87.04724,79.74771,0.07394219875335693
5,productivity (11),1,2,112,44,67.73,28.645,78.0,34.0,7.71,3.29,0.0,0.0,96.36044,93.28958,86.83320000000002,84.25004999999999,90.65166,82.17063,0.09292255401611328
1,productivity (11),2,3,112,45,63.401666666666664,27.041666666666664,78.0,34.0,0.0,0.0,0.0,0.0,81.28424,79.53433,81.28424,79.53433,65.06466,61.7483,0.021003458499908447
2,productivity (11),2,3,112,45,66.77166666666668,28.49333333333333,78.0,34.0,0.0,0.0,0.0,0.0,85.60465,83.80394999999999,85.60465,83.80394999999999,73.11857,69.78932000000002,0.0423867392539978
3,productivity (11),2,3,112,45,69.10333333333332,29.56666666666667,78.0,34.0,0.0,0.0,0.0,0.0,88.59405999999998,86.96083999999999,88.59405999999998,86.96083999999999,78.69599,75.62381,0.061936411857604984
4,productivity (11),2,3,112,45,70.93666666666668,30.060000000000006,78.0,34.0,0.0,0.0,0.0,0.0,90.94446000000002,88.41178999999998,90.94446000000002,88.41178999999998,83.08059999999999,78.3901,0.08120867967605591
5,productivity (11),2,3,112,45,72.50833333333334,30.361666666666665,78.0,34.0,0.0,0.0,0.0,0.0,92.95934,89.29899000000002,92.95934,89.29899000000002,86.84286999999999,80.01916999999999,0.10329702377319336
1,productivity (11),3,4,112,46,61.93916666666666,26.208333333333336,78.0,34.0,0.0,0.0,0.0,0.0,79.40920999999999,77.08333000000002,79.40920999999999,77.08333000000002,72.48953999999999,69.57755999999999,0.025038690567016603
2,productivity (11),3,4,112,46,65.52666666666666,27.375,78.0,34.0,0.0,0.0,0.0,0.0,84.00844000000001,80.51467000000001,84.00844000000001,80.51467000000001,78.63655,74.12445999999998,0.04804567575454712
3,productivity (11),3,4,112,46,68.56,28.655833333333334,78.0,34.0,0.0,0.0,0.0,0.0,87.89748,84.28192999999999,87.89748,84.28192999999999,83.8347,79.10726,0.0725870418548584
4,productivity (11),3,4,112,46,71.04,29.5175,78.0,34.0,0.0,0.0,0.0,0.0,91.07697,86.81618000000002,91.07697,86.81618000000002,88.08303999999998,82.51092,0.09423917293548584
5,productivity (11),3,4,112,46,73.09916666666668,30.5425,78.0,34.0,0.0,0.0,0.0,0.0,93.71686,89.83083,93.71686,89.83083,91.60808999999999,86.49658999999998,0.11697046041488647
1,productivity (11),4,5,112,48,62.406000000000006,26.41400000000001,78.0,34.0,0.0,0.0,0.0,0.0,80.00768,77.68825000000001,80.00768,77.68825000000001,76.63839,74.07986000000001,0.02780678987503052
2,productivity (11),4,5,112,48,66.93799999999999,28.164000000000005,78.0,34.0,0.0,0.0,0.0,0.0,85.81792999999999,82.83524000000001,85.81792999999999,82.83524000000001,83.43082,80.06752,0.05545419454574585
3,productivity (11),4,5,112,48,70.27599999999998,29.744,78.0,34.0,0.0,0.0,0.0,0.0,90.0975,87.4824,90.0975,87.4824,88.43113000000001,85.47095999999998,0.08202435731887818
4,productivity (11),4,5,112,48,72.60599999999998,30.387000000000008,78.0,34.0,0.0,0.0,0.0,0.0,93.08464,89.37355,93.08464,89.37355,91.92156000000001,87.66813,0.10854355812072754
5,productivity (11),4,5,112,48,74.53049999999999,31.071000000000005,78.0,34.0,0.0,0.0,0.0,0.0,95.55198,91.38526999999998,95.55198,91.38526999999998,94.80325,90.00703999999998,0.1320640754699707
1,productivity (11),5,6,112,48,62.935,26.671666666666667,78.0,34.0,0.0,0.0,0.0,0.0,80.68598,78.44614,80.68598,78.44614,79.03059,76.47095999999999,0.031105284690856935
2,productivity (11),5,6,112,48,68.00166666666667,28.856666666666666,78.0,34.0,0.0,0.0,0.0,0.0,87.18159,84.87257999999999,87.18159,84.87257999999999,86.08382999999999,83.48707999999999,0.06123887300491333
