K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,productivity (11),0,4.0,112,50,67.50385777232613,29.294708820035083,78.0,34.0,0.8,0.2,4.92,2.08,93.39267,92.35685000000001,86.54340999999998,86.1609,93.39267,92.35685000000001,0.0758260440826416
2,productivity (11),0,4.0,112,50,71.39279079069253,31.205835096566883,78.0,34.0,0.8,0.2,4.92,2.08,98.76907999999999,98.38436999999998,91.52936000000001,91.7818,98.76907999999999,98.38436999999998,0.15037475824356078
3,productivity (11),0,4.0,112,50,72.18146390374332,31.521213606654786,78.0,34.0,0.8,0.2,4.92,2.08,99.8635,99.37653,92.54051999999997,92.70938999999998,99.8635,99.37653,0.2253481912612915
4,productivity (11),0,4.0,112,50,72.27687165775401,31.541781788472967,78.0,34.0,0.8,0.2,4.92,2.08,99.99571,99.44138,92.66295,92.76988000000001,99.99571,99.44138,0.2887598538398743
5,productivity (11),0,4.0,112,50,72.28,31.541781788472967,78.0,34.0,0.8,0.2,4.92,2.08,100.0,99.44138,92.66696,92.76988000000001,100.0,99.44138,0.3074231481552124
1,productivity (11),1,4.5,112,50,71.61484640895168,31.443349586086427,78.0,34.0,0.0,0.0,4.27,1.73,97.13231999999999,97.44475999999999,91.81395,92.48044,97.13231999999999,97.44475999999999,0.08933081388473511
2,productivity (11),1,4.5,112,50,72.91318508392193,31.739786992734356,78.0,34.0,0.0,0.0,4.27,1.73,98.89304,98.36062999999999,93.47840000000001,93.35229,98.89304,98.36062999999999,0.1758358359336853
3,productivity (11),1,4.5,112,50,73.49063340168604,31.870450418976734,78.0,34.0,0.0,0.0,4.27,1.73,99.67599,98.76319,94.21866000000001,93.73656999999999,99.67599,98.76319,0.26143808603286744
4,productivity (11),1,4.5,112,50,73.68117794486216,31.913357687147162,78.0,34.0,0.0,0.0,4.27,1.73,99.93409,98.89821,94.46318000000001,93.86275999999998,99.93409,98.89821,0.34193010568618776
5,productivity (11),1,4.5,112,50,73.73,31.92410956684641,78.0,34.0,0.0,0.0,4.27,1.73,100.0,98.93187000000002,94.52586000000001,93.89438,100.0,98.93187000000002,0.38699912786483764
1,productivity (11),2,5.0,112,50,72.98599999999999,32.039,78.0,34.0,0.0,0.0,4.27,1.73,98.99134000000002,99.28775,93.57199,94.23237999999999,98.99134000000002,99.28775,0.10793417930603028
2,productivity (11),2,5.0,112,50,73.50875,32.039,78.0,34.0,0.0,0.0,4.27,1.73,99.70016,99.28775,94.24207,94.23237999999999,99.70016,99.28775,0.21349891424179077
3,productivity (11),2,5.0,112,50,73.73,32.039,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.28775,94.52586000000001,94.23237999999999,100.0,99.28775,0.3083535432815552
4,productivity (11),2,5.0,112,50,73.73,32.039,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.28775,94.52586000000001,94.23237999999999,100.0,99.28775,0.3752876615524292
5,productivity (11),2,5.0,112,50,73.73,32.039,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.28775,94.52586000000001,94.23237999999999,100.0,99.28775,0.3720429587364197
1,productivity (11),3,5.5,112,50,73.53221801917248,32.04525004003894,78.0,34.0,0.0,0.0,4.27,1.73,99.73196000000002,99.30447,94.27197,94.25072999999999,99.73196000000002,99.30447,0.12613600969314576
2,productivity (11),3,5.5,112,50,73.73,32.119713354479124,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.53577999999999,94.52586000000001,94.46975999999997,100.0,99.53577999999999,0.24937269926071168
3,productivity (11),3,5.5,112,50,73.73,32.119713354479124,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.53577999999999,94.52586000000001,94.46975999999997,100.0,99.53577999999999,0.33670607566833494
4,productivity (11),3,5.5,112,50,73.73,32.119713354479124,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.53577999999999,94.52586000000001,94.46975999999997,100.0,99.53577999999999,0.32909303426742553
5,productivity (11),3,5.5,112,50,73.73,32.119713354479124,78.0,34.0,0.0,0.0,4.27,1.73,100.0,99.53577999999999,94.52586000000001,94.46975999999997,100.0,99.53577999999999,0.33924750089645384
1,productivity (11),4,6.0,112,50,74.51,32.34456256921373,78.0,34.0,0.0,0.0,3.49,1.51,100.0,99.55398000000002,95.52581999999998,95.13105999999998,100.0,99.55398000000002,0.12837929487228394
2,productivity (11),4,6.0,112,50,74.51,32.34456256921373,78.0,34.0,0.0,0.0,3.49,1.51,100.0,99.55398000000002,95.52581999999998,95.13105999999998,100.0,99.55398000000002,0.2557082653045654
3,productivity (11),4,6.0,112,50,74.51,32.34456256921373,78.0,34.0,0.0,0.0,3.49,1.51,100.0,99.55398000000002,95.52581999999998,95.13105999999998,100.0,99.55398000000002,0.2532439494132996
4,productivity (11),4,6.0,112,50,74.51,32.34456256921373,78.0,34.0,0.0,0.0,3.49,1.51,100.0,99.55398000000002,95.52581999999998,95.13105999999998,100.0,99.55398000000002,0.25738450765609744
5,productivity (11),4,6.0,112,50,74.51,32.34456256921373,78.0,34.0,0.0,0.0,3.49,1.51,100.0,99.55398000000002,95.52581999999998,95.13105999999998,100.0,99.55398000000002,0.25409412145614624
1,productivity (11),5,6.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.1251283812522888
2,productivity (11),5,6.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.24327967643737794
3,productivity (11),5,6.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.24687402009963988
4,productivity (11),5,6.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.24408530950546264
5,productivity (11),5,6.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.24357862949371337
1,productivity (11),6,7.0,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.1286614227294922
2,productivity (11),6,7.0,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.25402180194854734
3,productivity (11),6,7.0,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.25602787733078003
4,productivity (11),6,7.0,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.2592486882209778
5,productivity (11),6,7.0,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.26068093299865724
1,productivity (11),7,7.5,112,50,74.51,32.49,78.0,34.0,0.0,0.0,3.49,1.51,100.0,100.0,95.52581999999998,95.55887999999997,100.0,100.0,0.1116067099571228
