K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,studentmath (30),0,1,206,35,74.23,31.77,144.0,62.0,69.77,30.23,0.0,0.0,100.0,100.0,51.548549999999985,51.24197999999999,0.0,0.0,0.016932313442230226
2,studentmath (30),0,1,206,35,74.23,31.77,144.0,62.0,69.77,30.23,0.0,0.0,100.0,100.0,51.548549999999985,51.24197999999999,0.0,0.0,0.0160343337059021
3,studentmath (30),0,1,206,35,74.23,31.77,144.0,62.0,69.77,30.23,0.0,0.0,100.0,100.0,51.548549999999985,51.24197999999999,0.0,0.0,0.016601326465606688
4,studentmath (30),0,1,206,35,74.23,31.77,144.0,62.0,69.77,30.23,0.0,0.0,100.0,100.0,51.548549999999985,51.24197999999999,0.0,0.0,0.01664173126220703
5,studentmath (30),0,1,206,35,74.23,31.77,144.0,62.0,69.77,30.23,0.0,0.0,100.0,100.0,51.548549999999985,51.24197999999999,0.0,0.0,0.016411559581756593
1,studentmath (30),1,2,206,38,82.445,34.475,144.0,62.0,36.18,15.82,0.0,0.0,76.46770999999998,74.65584999999999,57.25349,55.60484,61.33031,58.79616,0.03027473211288452
2,studentmath (30),1,2,206,38,87.95,36.955,144.0,62.0,36.18,15.82,0.0,0.0,81.57221999999999,80.03496999999999,61.07638999999999,59.604800000000004,69.71019,67.52656,0.05935382127761841
3,studentmath (30),1,2,206,38,91.355,37.98,144.0,62.0,36.18,15.82,0.0,0.0,84.72959,82.25361000000001,63.440979999999996,61.25806999999999,74.90073,71.07969,0.08488377809524536
4,studentmath (30),1,2,206,38,94.0,38.7,144.0,62.0,36.18,15.82,0.0,0.0,87.18251999999998,83.80578000000001,65.27777,62.41936,78.93377,73.59191,0.1119409441947937
5,studentmath (30),1,2,206,38,96.305,39.335,144.0,62.0,36.18,15.82,0.0,0.0,89.3204,85.17417000000002,66.87849000000001,63.44359999999999,82.44716,75.81045,0.1402647924423218
1,studentmath (30),2,3,206,39,82.27666666666669,34.12333333333333,144.0,62.0,20.82,9.18,0.0,0.0,66.79512999999999,64.60561,57.13651999999999,55.03768,62.209869999999995,60.03977999999999,0.03412908554077149
2,studentmath (30),2,3,206,39,92.49333333333333,39.35666666666666,144.0,62.0,20.82,9.18,0.0,0.0,75.08715000000001,74.51556,64.23145000000001,63.478519999999996,71.64732,71.22013,0.0667247724533081
3,studentmath (30),2,3,206,39,99.27333333333333,42.08,144.0,62.0,20.82,9.18,0.0,0.0,80.58937999999998,79.65334999999999,68.93981,67.8709,77.90979999999999,77.02174,0.09893788576126099
4,studentmath (30),2,3,206,39,104.05666666666664,43.70333333333333,144.0,62.0,20.82,9.18,0.0,0.0,84.47224,82.72626999999999,72.26163,70.48925999999999,82.32814,80.49559,0.13114514350891113
5,studentmath (30),2,3,206,39,107.81333333333332,44.80000000000001,144.0,62.0,20.82,9.18,0.0,0.0,87.52249,84.80817,74.87038000000001,72.25806,85.79916999999999,82.84545,0.15985917091369628
1,studentmath (30),3,4,206,39,88.1975,36.365,144.0,62.0,9.56,4.44,0.0,0.0,65.60322000000001,63.17974,61.2483,58.65330000000001,63.07848,60.56327,0.037136666774749756
2,studentmath (30),3,4,206,39,100.86,42.9975,144.0,62.0,9.56,4.44,0.0,0.0,75.0208,74.69846,70.04167000000001,69.35077999999999,73.18601,72.89913,0.07351707220077515
3,studentmath (30),3,4,206,39,108.5475,45.7325,144.0,62.0,9.56,4.44,0.0,0.0,80.73971,79.45248000000001,75.38020999999999,73.76209,79.32434,77.98097999999999,0.10948810577392579
4,studentmath (30),3,4,206,39,114.38,47.7925,144.0,62.0,9.56,4.44,0.0,0.0,85.07775000000001,83.02204,79.43054,77.08465,83.98072999999998,81.79994,0.14133938789367675
5,studentmath (30),3,4,206,39,119.125,50.04,144.0,62.0,9.56,4.44,0.0,0.0,88.60641,86.9267,82.72572,80.70969,87.76868,85.9748,0.17637181997299195
1,studentmath (30),4,5,206,39,93.46400000000001,38.648,144.0,62.0,5.35,2.65,0.0,0.0,67.41123999999999,65.1226,64.90556000000001,62.33542999999999,66.56976,64.21166,0.042191777229309085
2,studentmath (30),4,5,206,39,108.73800000000001,46.57999999999999,144.0,62.0,5.35,2.65,0.0,0.0,78.42634,78.48822999999999,75.51249000000001,75.12903,77.86906,77.92474000000001,0.08094916343688965
3,studentmath (30),4,5,206,39,117.64600000000002,50.128,144.0,62.0,5.35,2.65,0.0,0.0,84.85151,84.46162999999999,81.69856,80.85161,84.46021,84.05507,0.1214742374420166
4,studentmath (30),4,5,206,39,123.212,52.044000000000004,144.0,62.0,5.35,2.65,0.0,0.0,88.86487,87.68668999999998,85.56383,83.94189,88.57744000000001,87.36585,0.15863808155059814
5,studentmath (30),4,5,206,39,127.382,53.461999999999996,144.0,62.0,5.35,2.65,0.0,0.0,91.87275,90.06927999999998,88.45966999999999,86.22906,91.66330999999998,89.8083,0.19366825819015504
