K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,studentmath (30),0,4.0,206,9,7.92,2.915,144.0,62.0,3.46,1.54,132.62,57.38,100.0,93.30355000000002,5.50004,4.701709999999999,67.0,16.5,0.003761096000671387
2,studentmath (30),0,4.0,206,9,7.92,2.915,144.0,62.0,3.46,1.54,132.62,57.38,100.0,93.30355000000002,5.50004,4.701709999999999,67.0,16.5,0.005740005970001221
3,studentmath (30),0,4.0,206,9,7.92,2.915,144.0,62.0,3.46,1.54,132.62,57.38,100.0,93.30355000000002,5.50004,4.701709999999999,67.0,16.5,0.0059905385971069335
4,studentmath (30),0,4.0,206,9,7.92,2.915,144.0,62.0,3.46,1.54,132.62,57.38,100.0,93.30355000000002,5.50004,4.701709999999999,67.0,16.5,0.005818729400634766
5,studentmath (30),0,4.0,206,9,7.92,2.915,144.0,62.0,3.46,1.54,132.62,57.38,100.0,93.30355000000002,5.50004,4.701709999999999,67.0,16.5,0.0055554437637329104
1,studentmath (30),1,4.5,206,16,12.73,5.090000000000001,144.0,62.0,8.98,4.02,121.68,52.32,95.51800000000003,90.17197,8.8403,8.20977,84.36103999999999,43.58341,0.007300314903259278
2,studentmath (30),1,4.5,206,16,13.34,5.328333333333334,144.0,62.0,8.98,4.02,121.68,52.32,100.0,94.48674999999999,9.26391,8.594149999999999,100.0,59.5556,0.015385408401489258
3,studentmath (30),1,4.5,206,16,13.34,5.328333333333334,144.0,62.0,8.98,4.02,121.68,52.32,100.0,94.48674999999999,9.26391,8.594149999999999,100.0,59.5556,0.019152305126190185
4,studentmath (30),1,4.5,206,16,13.34,5.328333333333334,144.0,62.0,8.98,4.02,121.68,52.32,100.0,94.48674999999999,9.26391,8.594149999999999,100.0,59.5556,0.020515623092651366
5,studentmath (30),1,4.5,206,16,13.34,5.328333333333334,144.0,62.0,8.98,4.02,121.68,52.32,100.0,94.48674999999999,9.26391,8.594149999999999,100.0,59.5556,0.020550575256347656
