K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,studentportuguese (30),0,1,224,46,76.2,32.8,156.0,68.0,79.8,35.2,0.0,0.0,100.0,100.0,48.84620000000001,48.235250000000015,0.0,0.0,0.0324759840965271
2,studentportuguese (30),0,1,224,46,76.2,32.8,156.0,68.0,79.8,35.2,0.0,0.0,100.0,100.0,48.84620000000001,48.235250000000015,0.0,0.0,0.0307180380821228
3,studentportuguese (30),0,1,224,46,76.2,32.8,156.0,68.0,79.8,35.2,0.0,0.0,100.0,100.0,48.84620000000001,48.235250000000015,0.0,0.0,0.03144491195678711
4,studentportuguese (30),0,1,224,46,76.2,32.8,156.0,68.0,79.8,35.2,0.0,0.0,100.0,100.0,48.84620000000001,48.235250000000015,0.0,0.0,0.032345523834228514
5,studentportuguese (30),0,1,224,46,76.2,32.8,156.0,68.0,79.8,35.2,0.0,0.0,100.0,100.0,48.84620000000001,48.235250000000015,0.0,0.0,0.031732137203216555
1,studentportuguese (30),1,2,224,48,82.42,35.83,156.0,68.0,51.78,22.22,0.0,0.0,79.08355999999999,78.24262,52.83344999999999,52.69111000000001,60.82934,59.149100000000004,0.040111083984375
2,studentportuguese (30),1,2,224,48,86.165,36.605,156.0,68.0,51.78,22.22,0.0,0.0,82.67634999999999,79.95055,55.233999999999995,53.83085,67.5618,62.34141,0.07889085054397584
3,studentportuguese (30),1,2,224,48,89.12,37.375,156.0,68.0,51.78,22.22,0.0,0.0,85.51329,81.62469000000002,57.12814000000001,54.963249999999995,72.87718,65.46324,0.11713257074356079
4,studentportuguese (30),1,2,224,48,91.575,38.395,156.0,68.0,51.78,22.22,0.0,0.0,87.86905,83.86417,58.701899999999995,56.463249999999995,77.29282,69.66622000000001,0.15672831296920775
5,studentportuguese (30),1,2,224,48,93.645,39.15,156.0,68.0,51.78,22.22,0.0,0.0,89.85637999999999,85.4937,60.028769999999994,57.573460000000004,81.01252,72.79743,0.19327429294586182
1,studentportuguese (30),2,3,224,48,91.22666666666666,39.99333333333333,156.0,68.0,25.14,10.86,0.0,0.0,69.71888,70.01781999999999,58.478649999999995,58.81379,62.04327,62.42595,0.04304410934448242
2,studentportuguese (30),2,3,224,48,98.93666666666667,42.69333333333333,156.0,68.0,25.14,10.86,0.0,0.0,75.61066,74.73343999999999,63.42095000000001,62.78429,69.42757,68.33467,0.08736456155776978
3,studentportuguese (30),2,3,224,48,104.58,44.58,156.0,68.0,25.14,10.86,0.0,0.0,79.92224999999999,78.03305999999999,67.03842,65.55877000000001,74.83429,72.47465000000001,0.126326105594635
4,studentportuguese (30),2,3,224,48,108.90999999999998,46.68666666666667,156.0,68.0,25.14,10.86,0.0,0.0,83.22934,81.72746000000001,69.81404,68.65681,78.98085,77.10794,0.17088074922561647
5,studentportuguese (30),2,3,224,48,112.36333333333332,47.75999999999999,156.0,68.0,25.14,10.86,0.0,0.0,85.86805999999999,83.60417000000001,72.02778,70.23528999999999,82.28906999999998,79.47021000000001,0.20978837728500366
1,studentportuguese (30),3,4,224,49,96.2575,42.0275,156.0,68.0,15.45,6.55,0.0,0.0,68.48740000000001,68.3938,61.70345,61.80512000000002,63.83258,63.75605,0.05040995597839355
2,studentportuguese (30),3,4,224,49,106.48,45.7775,156.0,68.0,15.45,6.55,0.0,0.0,75.76138999999999,74.4979,68.25638000000001,67.31976,72.17981999999999,70.75014,0.09862679004669189
3,studentportuguese (30),3,4,224,49,113.585,48.23,156.0,68.0,15.45,6.55,0.0,0.0,80.81540999999999,78.48752999999999,72.81091,70.92643,77.98159000000001,75.33713,0.1475549340248108
4,studentportuguese (30),3,4,224,49,119.105,50.6525,156.0,68.0,15.45,6.55,0.0,0.0,84.7424,82.43849,76.34941,74.48895999999999,82.48949,79.87088,0.19623014450073242
5,studentportuguese (30),3,4,224,49,123.5975,52.37,156.0,68.0,15.45,6.55,0.0,0.0,87.93853999999999,85.22728000000001,79.22914,77.0147,86.15740000000001,83.06186,0.24009416818618776
1,studentportuguese (30),4,5,224,50,104.08400000000002,45.315999999999995,156.0,68.0,9.05,3.95,0.0,0.0,70.83019999999999,70.75443000000001,66.7205,66.64122000000002,68.23509999999999,68.28989,0.05803762197494507
2,studentportuguese (30),4,5,224,50,117.40800000000003,50.91999999999999,156.0,68.0,9.05,3.95,0.0,0.0,79.89762,79.50412999999999,75.26153,74.88233,78.10817,77.76682,0.1137426733970642
