K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
1,studentportuguese (30),0,4.0,224,6,3.44,1.4533333333333331,156.0,68.0,0.0,0.0,152.56,66.44,100.0,82.13887999999999,2.2050400000000003,2.1373599999999997,68.0,21.33344,0.0038184666633605956
2,studentportuguese (30),0,4.0,224,6,3.44,1.4533333333333331,156.0,68.0,0.0,0.0,152.56,66.44,100.0,82.13887999999999,2.2050400000000003,2.1373599999999997,68.0,21.33344,0.0054459547996521
3,studentportuguese (30),0,4.0,224,6,3.44,1.4533333333333331,156.0,68.0,0.0,0.0,152.56,66.44,100.0,82.13887999999999,2.2050400000000003,2.1373599999999997,68.0,21.33344,0.005745117664337158
4,studentportuguese (30),0,4.0,224,6,3.44,1.4533333333333331,156.0,68.0,0.0,0.0,152.56,66.44,100.0,82.13887999999999,2.2050400000000003,2.1373599999999997,68.0,21.33344,0.005344564914703369
5,studentportuguese (30),0,4.0,224,6,3.44,1.4533333333333331,156.0,68.0,0.0,0.0,152.56,66.44,100.0,82.13887999999999,2.2050400000000003,2.1373599999999997,68.0,21.33344,0.005986590385437012
1,studentportuguese (30),1,4.5,224,22,15.144166666666667,6.19,156.0,68.0,3.98,2.02,136.57,59.43,98.07142,94.69103,9.70778,9.102900000000002,88.04177,56.458369999999995,0.013352751731872559
2,studentportuguese (30),1,4.5,224,22,15.45,6.265,156.0,68.0,3.98,2.02,136.57,59.43,100.0,95.79004,9.90346,9.21322,98.0,62.708369999999995,0.02536146879196167
3,studentportuguese (30),1,4.5,224,22,15.45,6.265,156.0,68.0,3.98,2.02,136.57,59.43,100.0,95.79004,9.90346,9.21322,98.0,62.708369999999995,0.036815378665924076
4,studentportuguese (30),1,4.5,224,22,15.45,6.265,156.0,68.0,3.98,2.02,136.57,59.43,100.0,95.79004,9.90346,9.21322,98.0,62.708369999999995,0.0354250431060791
5,studentportuguese (30),1,4.5,224,22,15.45,6.265,156.0,68.0,3.98,2.02,136.57,59.43,100.0,95.79004,9.90346,9.21322,98.0,62.708369999999995,0.03518549680709839
1,studentportuguese (30),2,5.0,224,32,31.912499999999994,13.48841666666667,156.0,68.0,5.44,2.56,117.53,51.47,96.62090999999998,96.59521000000001,20.4567,19.835879999999996,89.31416999999999,89.81338000000001,0.022996890544891357
2,studentportuguese (30),2,5.0,224,32,32.44583333333333,13.497583333333335,156.0,68.0,5.44,2.56,117.53,51.47,98.24416,96.65729999999999,20.79861,19.849359999999997,94.53921,89.92558,0.043781909942626956
3,studentportuguese (30),2,5.0,224,32,32.86083333333333,13.547583333333334,156.0,68.0,5.44,2.56,117.53,51.47,99.49846999999998,97.01413999999998,21.06468,19.922920000000005,98.49444,91.01892000000002,0.0629315733909607
4,studentportuguese (30),2,5.0,224,32,33.03,13.619250000000001,156.0,68.0,5.44,2.56,117.53,51.47,100.0,97.55273999999997,21.173230000000007,20.028290000000002,100.0,92.86932999999999,0.08079133749008179
5,studentportuguese (30),2,5.0,224,32,33.03,13.619250000000001,156.0,68.0,5.44,2.56,117.53,51.47,100.0,97.55273999999997,21.173230000000007,20.028290000000002,100.0,92.86932999999999,0.08726062536239625
1,studentportuguese (30),3,5.5,224,39,42.61347222222221,17.96054653679654,156.0,68.0,19.43,8.57,89.58,39.42,90.69349999999999,89.85024000000001,27.316329999999997,26.41252,83.05296,81.93167000000001,0.02928238868713379
2,studentportuguese (30),3,5.5,224,39,44.21405158730158,18.26640873015873,156.0,68.0,19.43,8.57,89.58,39.42,94.10781999999999,91.38656999999999,28.34233,26.862350000000003,89.29144999999998,84.67233999999999,0.057744338512420654
3,studentportuguese (30),3,5.5,224,39,45.426130952380944,18.534384920634917,156.0,68.0,19.43,8.57,89.58,39.42,96.68572,92.74662999999998,29.11932,27.25647,94.00032000000003,87.11043,0.08425018310546875
4,studentportuguese (30),3,5.5,224,39,46.264571428571436,18.971543650793652,156.0,68.0,19.43,8.57,89.58,39.42,98.46297999999999,94.95331,29.65681,27.89933,97.22729,90.98168,0.1123374056816101
5,studentportuguese (30),3,5.5,224,39,46.756,19.171555555555557,156.0,68.0,19.43,8.57,89.58,39.42,99.50622999999997,95.92732,29.971819999999994,28.193469999999998,99.11317999999997,92.78183000000001,0.13815476655960082
1,studentportuguese (30),4,6.0,224,44,62.946654761904774,27.40673015873016,156.0,68.0,28.1,11.9,53.64,23.36,84.77605999999997,83.76117,40.350410000000004,40.304050000000004,79.90566,78.35614000000001,0.04269240140914917
2,studentportuguese (30),4,6.0,224,44,66.37709523809525,28.374912698412697,156.0,68.0,28.1,11.9,53.64,23.36,89.39708,86.71619999999999,42.54948000000001,41.72782,86.00791000000001,82.28386,0.08493064641952515
3,studentportuguese (30),4,6.0,224,44,68.61259523809524,29.30493650793651,156.0,68.0,28.1,11.9,53.64,23.36,92.40847000000002,89.57089000000002,43.9824,43.09546,89.98544000000001,86.12243000000001,0.1248246192932129
4,studentportuguese (30),4,6.0,224,44,70.06173809523811,29.4916746031746,156.0,68.0,28.1,11.9,53.64,23.36,94.36088999999998,90.14892999999998,44.91135999999999,43.37005,92.56397000000001,86.89374000000002,0.1663615107536316
5,studentportuguese (30),4,6.0,224,44,71.25550000000001,29.699309523809525,156.0,68.0,28.1,11.9,53.64,23.36,95.96809999999998,90.76180999999998,45.6766,43.67537,94.68518999999998,87.70136000000001,0.20067023754119873
1,studentportuguese (30),5,6.5,224,48,89.31914021599317,39.08813718634307,156.0,68.0,20.4,8.6,28.48,12.52,83.38409000000001,83.38161000000002,57.25589,57.48255999999999,81.60224,81.58371,0.06791651964187623
2,studentportuguese (30),5,6.5,224,48,96.38543398268399,41.86512265512265,156.0,68.0,20.4,8.6,28.48,12.52,89.98168999999999,89.32494999999999,61.78551,61.56635,88.90607,88.16615000000002,0.13255274295806885
3,studentportuguese (30),5,6.5,224,48,100.11671789321788,43.0748722943723,156.0,68.0,20.4,8.6,28.48,12.52,93.46623,91.90791000000002,64.17734,63.34543000000001,92.76495000000003,91.02485999999999,0.19712335109710694
4,studentportuguese (30),5,6.5,224,48,102.64390909090908,44.24214285714286,156.0,68.0,20.4,8.6,28.48,12.52,95.82675,94.39054999999999,65.79735,65.06197999999999,95.37755000000001,93.77337999999997,0.26193503856658934
5,studentportuguese (30),5,6.5,224,48,104.32482900432902,45.11748701298701,156.0,68.0,20.4,8.6,28.48,12.52,97.39425999999999,96.26449000000002,66.87487000000002,66.34925,97.11247999999999,95.85348000000002,0.3227129077911377
1,studentportuguese (30),6,7.0,224,49,111.75770835158994,48.73763687336055,156.0,68.0,15.12,6.88,14.05,5.95,88.11422999999999,88.33115000000002,71.63960999999999,71.67297000000002,87.72223000000002,87.91865000000001,0.10095881938934326
2,studentportuguese (30),6,7.0,224,49,119.37873015873016,51.86807936507937,156.0,68.0,15.12,6.88,14.05,5.95,94.12614000000004,94.01572999999999,76.52481000000002,76.27659999999999,93.93248000000001,93.80310000000001,0.1980618977546692
3,studentportuguese (30),6,7.0,224,49,121.61661904761905,52.38309523809524,156.0,68.0,15.12,6.88,14.05,5.95,95.88937000000001,94.94550000000001,77.95936,77.03393999999999,95.75432,94.76848999999999,0.29243992805480956
4,studentportuguese (30),6,7.0,224,49,123.02795238095237,52.63159523809523,156.0,68.0,15.12,6.88,14.05,5.95,97.00225999999999,95.39587999999999,78.86402000000001,77.39939,96.90417,95.23671,0.3905598568916321
5,studentportuguese (30),6,7.0,224,49,124.07195238095238,52.82390476190476,156.0,68.0,15.12,6.88,14.05,5.95,97.82534000000001,95.74885,79.53324000000002,77.68214000000002,97.75438999999999,95.60096,0.4788598942756653
1,studentportuguese (30),7,7.5,224,50,129.1684154952599,56.54555421161599,156.0,68.0,11.23,4.77,4.92,2.08,92.36102,92.46423,82.80023000000001,83.15525000000001,92.20402999999999,92.31724,0.13860597848892212
2,studentportuguese (30),7,7.5,224,50,134.56503246753246,58.68070656879354,156.0,68.0,11.23,4.77,4.92,2.08,96.22015999999999,95.96039999999999,86.25966,86.29518000000002,96.14212000000002,95.87978999999997,0.26840944528579713
