b,F(S*),S*,BFtime,graphidx
0,70.0,set(),0.0002727508544921875,0
1,70.0,set(),0.006814002990722656,0
2,70.0,set(),0.14167094230651855,0
3,70.0,set(),2.057090997695923,0
4,70.0,set(),25.051060914993286,0
5,70.0,set(),202.07191395759583,0
0,79.5,set(),0.00045299530029296875,1
1,94.0,{5},0.017826080322265625,1
2,108.5,"{9, 5}",0.2234048843383789,1
3,121.0,"{8, 9, 5}",3.600400924682617,1
4,126.0,"{8, 9, 11, 5}",43.803842067718506,1
5,130.0,"{5, 8, 9, 11, 43}",396.68841004371643,1
0,84.9999999999999,set(),0.0012118816375732422,2
1,119.99999999999983,{5},0.014843940734863281,2
2,147.3333333333334,"{9, 5}",0.3121500015258789,2
3,169.66666666666674,"{8, 9, 5}",4.824699878692627,2
4,178.6666666666667,"{8, 9, 5, 46}",58.41127800941467,2
5,185.33333333333337,"{5, 8, 9, 46, 31}",529.0221631526947,2
0,88.25,set(),0.0024178028106689453,3
1,136.25,{5},0.01654815673828125,3
2,175.25,"{8, 9}",0.37393617630004883,3
3,208.75,"{8, 9, 5}",5.668647050857544,3
4,219.25,"{8, 9, 5, 46}",67.9994010925293,3
5,225.75,"{5, 8, 9, 46, 31}",637.8303718566895,3
0,92.20000000000034,set(),0.006043910980224609,4
1,154.8,{8},0.01764392852783203,4
2,206.79999999999984,"{8, 9}",0.4121689796447754,4
3,234.39999999999986,"{8, 9, 5}",7.9592249393463135,4
4,245.1999999999999,"{8, 9, 5, 46}",86.47063612937927,4
5,251.39999999999992,"{5, 8, 9, 46, 31}",749.2142729759216,4
0,94.33333333333329,set(),0.0020449161529541016,5
1,177.50000000000003,{5},0.019551992416381836,5
2,231.83333333333334,"{9, 5}",0.47412896156311035,5
3,255.3333333333333,"{8, 9, 5}",7.7359020709991455,5
4,265.8333333333333,"{8, 9, 5, 46}",94.72074818611145,5
5,273.5,"{5, 8, 9, 46, 31}",985.2594549655914,5
0,94.14285714285727,set(),0.002128124237060547,6
1,189.5714285714283,{5},0.03238487243652344,6
2,244.8571428571427,"{9, 5}",0.792212963104248,6
3,269.28571428571416,"{8, 9, 5}",13.513705968856812,6
4,281.7142857142856,"{8, 9, 5, 46}",110.140056848526,6
5,287.1428571428571,"{5, 8, 9, 46, 31}",957.0508251190186,6
0,96.25,set(),0.0010728836059570312,7
1,208.0,{8},0.02444005012512207,7
2,266.375,"{8, 9}",0.5967297554016113,7
3,287.5,"{8, 9, 5}",9.753347158432007,7
4,296.5,"{8, 9, 5, 46}",117.29376888275146,7
5,301.0,"{3, 5, 8, 9, 46}",1064.28630900383,7
0,98.00000000000011,set(),0.0011858940124511719,8
1,226.11111111111146,{8},0.027230024337768555,8
2,281.0000000000001,"{8, 9}",0.7196052074432373,8
3,299.88888888888897,"{8, 9, 5}",11.269369125366211,8
4,306.33333333333337,"{8, 9, 5, 31}",132.10359811782837,8
5,309.44444444444446,"{5, 8, 9, 43, 31}",1203.7611236572266,8
0,96.99999999999999,set(),0.002438783645629883,9
1,238.8999999999999,{8},0.029619932174682617,9
2,289.7,"{8, 9}",0.7250690460205078,9
3,306.5,"{8, 9, 5}",12.587092876434326,9
4,312.99999999999994,"{8, 9, 5, 31}",146.64731097221375,9
5,315.49999999999994,"{5, 6, 8, 9, 31}",1340.601346731186,9
