K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,set(),70.0,{44},70.0,set(),70.0,{14},70.0,70.0,set(),1.0,1.0,1.0,1.0,0.006814002990722656,1,328,46,adult (14),0
2,set(),70.0,"{44, 7}",70.0,set(),70.0,"{1, 14}",70.0,70.0,set(),1.0,1.0,1.0,1.0,0.14167094230651855,1,328,46,adult (14),0
3,set(),70.0,"{1, 44, 7}",70.0,set(),70.0,"{1, 14, 25}",70.0,70.0,set(),1.0,1.0,1.0,1.0,2.057090997695923,1,328,46,adult (14),0
4,set(),70.0,"{1, 44, 17, 7}",70.0,set(),70.0,"{1, 23, 14, 25}",70.0,70.0,set(),1.0,1.0,1.0,1.0,25.051060914993286,1,328,46,adult (14),0
5,set(),70.0,"{1, 7, 44, 15, 17}",70.0,set(),70.0,"{1, 22, 23, 25, 14}",70.0,70.0,set(),1.0,1.0,1.0,1.0,202.07191395759583,1,328,46,adult (14),0
1,{5},94.0,{41},79.5,{5},94.0,{18},82.0,94.0,{5},1.0,0.8457446808510638,1.0,0.8723404255319149,0.017826080322265625,2,328,49,adult (14),1
2,"{9, 5}",108.5,"{41, 7}",80.0,"{9, 5}",108.5,"{18, 5}",96.5,108.5,"{9, 5}",1.0,0.7373271889400922,1.0,0.8894009216589862,0.2234048843383789,2,328,49,adult (14),1
3,"{8, 9, 5}",121.0,"{41, 1, 7}",85.5,"{8, 9, 5}",121.0,"{18, 3, 5}",99.5,121.0,"{8, 9, 5}",1.0,0.7066115702479339,1.0,0.8223140495867769,3.600400924682617,2,328,49,adult (14),1
4,"{8, 9, 11, 5}",126.0,"{48, 41, 1, 7}",88.0,"{8, 9, 11, 5}",126.0,"{9, 18, 3, 5}",114.0,126.0,"{8, 9, 11, 5}",1.0,0.6984126984126984,1.0,0.9047619047619048,43.803842067718506,2,328,49,adult (14),1
5,"{5, 8, 9, 11, 43}",130.0,"{1, 7, 41, 48, 17}",90.0,"{5, 8, 9, 11, 43}",130.0,"{18, 3, 5, 8, 9}",126.5,130.0,"{5, 8, 9, 11, 43}",1.0,0.6923076923076923,1.0,0.9730769230769231,396.68841004371643,2,328,49,adult (14),1
1,{5},119.99999999999984,{41},85.16666666666657,{5},119.99999999999984,{18},89.33333333333324,119.99999999999983,{5},1.0000000000000002,0.7097222222222225,1.0000000000000002,0.7444444444444448,0.014843940734863281,3,328,49,adult (14),2
2,"{9, 5}",147.3333333333334,"{41, 7}",85.33333333333324,"{9, 5}",147.3333333333334,"{18, 5}",123.99999999999982,147.3333333333334,"{9, 5}",1.0,0.5791855203619901,1.0,0.8416289592760164,0.3121500015258789,3,328,49,adult (14),2
3,"{8, 9, 5}",169.66666666666674,"{41, 1, 7}",89.83333333333324,"{8, 9, 5}",169.66666666666674,"{18, 3, 5}",128.99999999999983,169.66666666666674,"{8, 9, 5}",1.0,0.5294695481335945,1.0,0.7603143418467571,4.824699878692627,3,328,49,adult (14),2
4,"{8, 9, 5, 46}",178.6666666666667,"{48, 41, 1, 7}",93.8333333333332,"{8, 9, 5, 46}",178.6666666666667,"{9, 18, 3, 5}",156.3333333333334,178.6666666666667,"{8, 9, 5, 46}",1.0,0.5251865671641782,1.0,0.8750000000000001,58.41127800941467,3,328,49,adult (14),2
5,"{5, 8, 9, 46, 31}",185.33333333333337,"{1, 7, 41, 48, 17}",95.49999999999986,"{5, 8, 9, 46, 31}",185.33333333333337,"{18, 3, 5, 8, 9}",178.6666666666667,185.33333333333337,"{5, 8, 9, 46, 31}",1.0,0.5152877697841718,1.0,0.9640287769784174,529.0221631526947,3,328,49,adult (14),2
1,{5},136.25,{41},88.33333333333333,{5},136.25,{18},93.0,136.25,{5},1.0,0.6483180428134556,1.0,0.6825688073394496,0.01654815673828125,4,328,49,adult (14),3
