[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,70.0,set(),1,70.0,set(),set(),70.0,0
1,70.0,set(),0,70.0,set(),set(),70.0,0
0,70.0,set(),2,70.0,set(),set(),70.0,0
1,70.0,set(),1,70.0,set(),set(),70.0,0
2,70.0,set(),0,70.0,set(),set(),70.0,0
0,70.0,set(),3,70.0,set(),set(),70.0,0
1,70.0,set(),2,70.0,set(),set(),70.0,0
2,70.0,set(),1,70.0,set(),set(),70.0,0
3,70.0,set(),0,70.0,set(),set(),70.0,0
0,70.0,set(),4,70.0,set(),set(),70.0,0
1,70.0,set(),3,70.0,set(),set(),70.0,0
2,70.0,set(),2,70.0,set(),set(),70.0,0
3,70.0,set(),1,70.0,set(),set(),70.0,0
4,70.0,set(),0,70.0,set(),set(),70.0,0
0,70.0,set(),5,70.0,set(),set(),70.0,0
1,70.0,set(),4,70.0,set(),set(),70.0,0
2,70.0,set(),3,70.0,set(),set(),70.0,0
3,70.0,set(),2,70.0,set(),set(),70.0,0
4,70.0,set(),1,70.0,set(),set(),70.0,0
5,70.0,set(),0,70.0,set(),set(),70.0,0
0,79.5,set(),1,88.0,{20},{20},88.0,1
1,94.0,{5},0,79.5,set(),{5},94.0,1
0,79.5,set(),2,96.5,"{20, 22}","{20, 22}",96.5,1
1,94.0,{5},1,88.0,{20},"{20, 5}",101.5,1
2,108.5,"{9, 5}",0,79.5,set(),"{9, 5}",108.5,1
0,79.5,set(),3,102.0,"{1, 20, 22}","{1, 20, 22}",102.0,1
1,94.0,{5},2,96.5,"{20, 22}","{20, 5, 22}",109.5,1
2,108.5,"{9, 5}",1,88.0,{20},"{9, 20, 5}",116.0,1
3,121.0,"{8, 9, 5}",0,79.5,set(),"{8, 9, 5}",121.0,1
0,79.5,set(),4,106.0,"{1, 20, 28, 22}","{1, 20, 28, 22}",106.0,1
1,94.0,{5},3,102.0,"{1, 20, 22}","{1, 20, 5, 22}",115.0,1
2,108.5,"{9, 5}",2,96.5,"{20, 22}","{9, 20, 5, 22}",121.5,1
3,121.0,"{8, 9, 5}",1,88.0,{20},"{8, 9, 20, 5}",122.0,1
4,126.0,"{8, 9, 11, 5}",0,79.5,set(),"{8, 9, 11, 5}",126.0,1
0,79.5,set(),5,109.5,"{1, 37, 20, 22, 28}","{1, 20, 37, 22, 28}",109.5,1
1,94.0,{5},4,106.0,"{1, 20, 28, 22}","{1, 20, 5, 22, 28}",119.0,1
2,108.5,"{9, 5}",3,102.0,"{1, 20, 22}","{1, 20, 5, 22, 9}",121.5,1
3,121.0,"{8, 9, 5}",2,96.5,"{20, 22}","{20, 5, 22, 8, 9}",125.0,1
4,126.0,"{8, 9, 11, 5}",1,88.0,{20},"{20, 5, 8, 9, 11}",126.5,1
5,130.0,"{5, 8, 9, 11, 43}",0,79.5,set(),"{5, 8, 9, 11, 43}",130.0,1
0,84.9999999999999,set(),1,93.66666666666657,{20},{20},93.66666666666657,2
1,119.99999999999983,{5},0,84.9999999999999,set(),{5},119.99999999999983,2
0,84.9999999999999,set(),2,104.99999999999986,"{20, 22}","{20, 22}",104.99999999999986,2
1,119.99999999999983,{5},1,93.66666666666657,{20},"{20, 5}",126.1666666666665,2
2,147.3333333333334,"{9, 5}",0,84.9999999999999,set(),"{9, 5}",147.3333333333334,2
0,84.9999999999999,set(),3,113.49999999999987,"{1, 20, 22}","{1, 20, 22}",113.49999999999987,2
1,119.99999999999983,{5},2,104.99999999999986,"{20, 22}","{20, 5, 22}",135.99999999999997,2
2,147.3333333333334,"{9, 5}",1,93.66666666666657,{20},"{9, 20, 5}",153.5,2
3,169.66666666666674,"{8, 9, 5}",0,84.9999999999999,set(),"{8, 9, 5}",169.66666666666674,2
0,84.9999999999999,set(),4,121.16666666666654,"{1, 20, 37, 22}","{1, 20, 37, 22}",121.16666666666654,2
