K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,70.0,set(),70.0,{14},70.0,set(),70.0,{44},70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.028980255126953125,0.000579833984375,1,328,46,adult (14),0
2,70.0,set(),70.0,"{1, 14}",70.0,set(),70.0,"{44, 7}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.03032231330871582,0.0007748603820800781,1,328,46,adult (14),0
3,70.0,set(),70.0,"{1, 14, 25}",70.0,set(),70.0,"{1, 44, 7}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.0281369686126709,0.0009212493896484375,1,328,46,adult (14),0
4,70.0,set(),70.0,"{1, 23, 14, 25}",70.0,set(),70.0,"{1, 44, 17, 7}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02924203872680664,0.0006060600280761719,1,328,46,adult (14),0
5,70.0,set(),70.0,"{1, 22, 23, 25, 14}",70.0,set(),70.0,"{1, 7, 44, 15, 17}",70.0,set(),70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.032376766204833984,0.0009372234344482422,1,328,46,adult (14),0
1,94.0,{5},82.0,{18},94.0,{5},79.5,{41},144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.146341463414634,0.6527777777777778,0.5694444444444444,1.1823899371069182,0.6527777777777778,0.5520833333333334,0.041925907135009766,0.0008509159088134766,2,328,49,adult (14),1
2,108.5,"{9, 5}",96.5,"{18, 5}",108.5,"{9, 5}",80.0,"{41, 7}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1243523316062176,0.7534722222222222,0.6701388888888888,1.35625,0.7534722222222222,0.5555555555555556,0.06814694404602051,0.0007669925689697266,2,328,49,adult (14),1
3,121.0,"{8, 9, 5}",99.5,"{18, 3, 5}",121.0,"{8, 9, 5}",85.5,"{41, 1, 7}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2160804020100502,0.8402777777777778,0.6909722222222222,1.4152046783625731,0.8402777777777778,0.59375,0.10117912292480469,0.0010030269622802734,2,328,49,adult (14),1
4,126.0,"{8, 9, 11, 5}",114.0,"{9, 18, 3, 5}",126.0,"{8, 9, 11, 5}",88.0,"{48, 41, 1, 7}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.105263157894737,0.875,0.7916666666666666,1.4318181818181819,0.875,0.6111111111111112,0.1510179042816162,0.001262664794921875,2,328,49,adult (14),1
5,130.0,"{5, 8, 9, 11, 43}",126.5,"{18, 3, 5, 8, 9}",130.0,"{5, 8, 9, 11, 43}",90.0,"{1, 7, 41, 48, 17}",144.0,"{34, 3, 5, 6, 8, 9, 11, 43, 46, 18, 31}",144,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0276679841897234,0.9027777777777778,0.8784722222222222,1.4444444444444444,0.9027777777777778,0.625,0.16192412376403809,0.00096893310546875,2,328,49,adult (14),1
1,119.99999999999983,{5},89.33333333333324,{18},119.99999999999983,{5},85.16666666666657,{41},207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.3432835820895517,0.5797101449275354,0.43156199677938767,1.409001956947162,0.5797101449275354,0.41143317230273707,0.03814196586608887,0.0009150505065917969,3,328,49,adult (14),2
2,147.3333333333334,"{9, 5}",123.99999999999982,"{18, 5}",147.3333333333334,"{9, 5}",85.33333333333324,"{41, 7}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.188172043010755,0.7117552334943642,0.5990338164251199,1.7265625000000027,0.7117552334943642,0.4122383252818031,0.14005303382873535,0.0007517337799072266,3,328,49,adult (14),2
