b,F(S*),S*,BFtime,graphidx
0,76.83857386743342,set(),0.0015888214111328125,0
1,202.51296364454257,{5},0.03770709037780762,0
2,231.23708513708513,"{9, 5}",0.8624739646911621,0
3,235.49285714285713,"{8, 9, 5}",14.260989904403687,0
4,237.87619047619046,"{8, 9, 5, 46}",178.18487095832825,0
5,239.97619047619048,"{3, 5, 8, 9, 46}",1511.1911821365356,0
0,75.29576431903851,set(),0.00733494758605957,1
1,236.14396387925797,{8},0.0531001091003418,1
2,263.2393162393162,"{8, 9}",1.300947904586792,1
3,268.4119047619048,"{8, 9, 5}",21.3254337310791,1
4,271.8166666666667,"{8, 9, 18, 5}",256.26604104042053,1
5,273.4,"{3, 5, 8, 9, 18}",2390.8998839855194,1
0,77.2109162648666,set(),0.006707906723022461,2
1,277.673688196908,{5},0.07201886177062988,2
2,293.4409090909091,"{9, 5}",1.752331018447876,2
3,295.8833333333333,"{8, 9, 5}",28.697656869888306,2
4,297.8409090909091,"{9, 3, 5, 43}",353.02970814704895,2
5,298.75,"{3, 5, 8, 9, 43}",3101.2682690620422,2
0,78.02051644710669,set(),0.006249904632568359,3
1,304.2923382173382,{5},0.11162495613098145,3
2,308.15277777777777,"{9, 5}",2.439620018005371,3
3,310.3611111111111,"{9, 3, 5}",36.96933197975159,3
4,311.75,"{40, 9, 3, 5}",691.1658561229706,3
5,313.0,"{3, 5, 6, 40, 9}",5458.306364059448,3
0,79.04920389342386,set(),0.007489919662475586,4
1,313.2714285714286,{5},0.1014549732208252,4
2,315.8603174603175,"{9, 5}",2.4745168685913086,4
3,318.5873015873016,"{8, 9, 3}",40.684070110321045,4
4,319.5,"{8, 9, 5, 6}",487.20360493659973,4
5,320.0,"{3, 5, 6, 8, 9}",4513.3092522621155,4
0,81.11245389086359,set(),0.008883953094482422,5
1,320.6738816738817,{8},0.11365580558776855,5
2,323.5,"{9, 11}",2.8782520294189453,5
3,324.0,"{8, 9, 3}",46.18394708633423,5
4,324.0,"{8, 9, 3}",561.9725568294525,5
5,324.0,"{8, 9, 3}",5399.786452054977,5
0,80.619938699188,set(),0.011246204376220703,6
1,325.125,{5},0.12120318412780762,6
2,326.0,"{5, 46}",3.057194232940674,6
3,326.0,"{5, 46}",51.001538038253784,6
4,326.0,"{5, 46}",612.8649768829346,6
5,326.0,"{5, 46}",5214.998043060303,6
0,81.2405291493945,set(),0.007950782775878906,7
1,327.33333333333337,{5},0.12233114242553711,7
2,328.0,"{11, 5}",2.9985861778259277,7
3,328.0,"{11, 5}",48.96701383590698,7
4,328.0,"{11, 5}",628.7843110561371,7
5,328.0,"{11, 5}",5675.912399291992,7
0,80.85156136146782,set(),0.008691072463989258,8
1,328.0,{5},0.12484574317932129,8
2,328.0,{5},3.0680172443389893,8
3,328.0,{5},49.913737297058105,8
4,328.0,{5},628.6027929782867,8
5,328.0,{5},5699.641334056854,8
0,80.56981424900032,set(),0.013034820556640625,9
1,328.0,{5},0.12537598609924316,9
2,328.0,{5},3.0695760250091553,9
3,328.0,{5},50.15466499328613,9
4,328.0,{5},624.4193699359894,9
5,328.0,{5},5620.788358926773,9
0,80.41260884248884,set(),0.016253232955932617,10
1,328.0,{3},0.13164520263671875,10
2,328.0,{3},3.264746904373169,10
3,328.0,{3},54.17687702178955,10
4,328.0,{3},664.889340877533,10
5,328.0,{3},5912.191854715347,10
0,80.32454320766261,set(),0.014435052871704102,11
1,328.0,{3},0.13526415824890137,11
2,328.0,{3},3.380362033843994,11
3,328.0,{3},52.58794975280762,11
4,328.0,{3},641.7153699398041,11
5,328.0,{3},5821.500491857529,11
0,80.33673469387783,set(),0.014580011367797852,12
1,328.0,{3},0.13650798797607422,12
2,328.0,{3},3.396570920944214,12
3,328.0,{3},52.95885896682739,12
4,328.0,{3},641.6432147026062,12
5,328.0,{3},5455.474045753479,12
