K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
1,{5},202.51296364454257,{42},78.52883974605417,{5},202.51296364454257,{18},102.70089982030925,202.51296364454257,{5},1.0,0.38777191510510206,1.0,0.5071324717788104,0.03770709037780762,4.0,328,48,adult (14),0
2,"{9, 5}",231.23708513708516,"{42, 7}",78.52883974605417,"{9, 5}",231.23708513708516,"{18, 5}",203.6796303112092,231.23708513708513,"{9, 5}",1.0000000000000002,0.3396031380498489,1.0000000000000002,0.8808259721422325,0.8624739646911621,4.0,328,48,adult (14),0
3,"{8, 9, 5}",235.49285714285716,"{1, 42, 7}",81.2648133754212,"{8, 9, 5}",235.49285714285716,"{18, 3, 5}",205.77963031120925,235.49285714285713,"{8, 9, 5}",1.0000000000000002,0.34508398412323604,1.0000000000000002,0.8738253584752129,14.260989904403687,4.0,328,48,adult (14),0
4,"{8, 9, 5, 46}",237.8761904761905,"{1, 42, 49, 7}",81.86829616918291,"{8, 9, 5, 46}",237.8761904761905,"{9, 18, 3, 5}",234.5037518037518,237.87619047619046,"{8, 9, 5, 46}",1.0000000000000002,0.3441634743069306,1.0000000000000002,0.9858227144730729,178.18487095832825,4.0,328,48,adult (14),0
5,"{3, 5, 8, 9, 46}",239.97619047619048,"{1, 7, 42, 49, 18}",107.53781801606692,"{3, 5, 8, 9, 46}",239.97619047619048,"{18, 3, 5, 8, 9}",238.7595238095238,239.97619047619048,"{3, 5, 8, 9, 46}",1.0,0.4481186979536472,1.0,0.9949300525845818,1511.1911821365356,4.0,328,48,adult (14),0
1,{8},236.143963879258,{41},75.3295710581084,{8},236.143963879258,{18},128.0798453886319,236.14396387925797,{8},1.0000000000000002,0.3189985033732428,1.0000000000000002,0.5423803483459776,0.0531001091003418,4.5,328,49,adult (14),1
2,"{8, 9}",263.2393162393162,"{41, 7}",75.37719010572745,"{8, 9}",263.2393162393162,"{18, 5}",239.1829072887896,263.2393162393162,"{8, 9}",1.0,0.2863447268537976,1.0,0.9086139209970578,1.300947904586792,4.5,328,49,adult (14),1
3,"{8, 9, 5}",268.4119047619048,"{41, 1, 7}",77.59071565256905,"{8, 9, 5}",268.4119047619048,"{18, 3, 5}",241.4329072887896,268.4119047619048,"{8, 9, 5}",1.0,0.2890733021748645,1.0,0.8994865838866315,21.3254337310791,4.5,328,49,adult (14),1
4,"{8, 9, 18, 5}",271.8166666666667,"{48, 41, 1, 7}",79.8185956279823,"{8, 9, 18, 5}",271.8166666666667,"{9, 18, 3, 5}",267.9378427128427,271.8166666666667,"{8, 9, 18, 5}",1.0,0.29364864416450653,1.0,0.9857299995567208,256.26604104042053,4.5,328,49,adult (14),1
5,"{3, 5, 8, 9, 18}",273.4,"{1, 7, 41, 48, 17}",80.3185956279823,"{18, 3, 5, 8, 9}",273.4,"{18, 3, 5, 8, 9}",273.4,273.4,"{3, 5, 8, 9, 18}",1.0,0.2937768676956193,1.0,1.0,2390.8998839855194,4.5,328,49,adult (14),1
1,{5},277.673688196908,{41},77.43547225985796,{5},277.673688196908,{18},167.05577032453488,277.673688196908,{5},1.0,0.27887219982091277,1.0,0.6016262160427309,0.07201886177062988,5.0,328,49,adult (14),2
2,"{9, 5}",293.4409090909091,"{41, 7}",77.60953855304192,"{9, 5}",293.4409090909091,"{18, 5}",278.69291896613873,293.4409090909091,"{9, 5}",1.0,0.2644809777664579,1.0,0.9497411926290026,1.752331018447876,5.0,328,49,adult (14),2
3,"{8, 9, 5}",295.8833333333333,"{41, 1, 7}",79.45795551949375,"{8, 9, 5}",295.8833333333333,"{18, 3, 5}",281.6679189661388,295.8833333333333,"{8, 9, 5}",1.0,0.2685448843107996,1.0,0.9519560152069132,28.697656869888306,5.0,328,49,adult (14),2
4,"{8, 9, 43, 5}",297.45,"{48, 41, 1, 7}",81.58938319317654,"{8, 9, 43, 5}",297.45,"{9, 18, 3, 5}",295.79090909090905,297.8409090909091,"{9, 3, 5, 43}",0.9986875238458602,0.2739361206028056,0.9986875238458602,0.9931171308660814,353.02970814704895,5.0,328,49,adult (14),2
5,"{3, 5, 8, 9, 43}",298.75,"{1, 7, 41, 48, 17}",81.83330397827379,"{3, 5, 8, 9, 43}",298.75,"{18, 3, 5, 8, 9}",297.43333333333334,298.75,"{3, 5, 8, 9, 43}",1.0,0.2739190091322972,1.0,0.9955927475592747,3101.2682690620422,5.0,328,49,adult (14),2
1,{5},304.2923382173382,{41},78.4166999913208,{5},304.2923382173382,{18},202.65726289753783,304.2923382173382,{5},1.0,0.2577018549028084,1.0,0.6659952862592011,0.11162495613098145,5.5,328,49,adult (14),3
2,"{9, 5}",308.15277777777777,"{41, 7}",79.09612291764016,"{9, 5}",308.15277777777777,"{18, 5}",304.7923382173382,308.15277777777777,"{9, 5}",1.0,0.25667827331636056,1.0,0.9890948912267703,2.439620018005371,5.5,328,49,adult (14),3
3,"{9, 3, 5}",310.3611111111111,"{41, 1, 7}",81.09736324485658,"{9, 3, 5}",310.3611111111111,"{18, 3, 5}",307.00067155067154,310.3611111111111,"{9, 3, 5}",1.0,0.261300015825189,1.0,0.9891724850822676,36.96933197975159,5.5,328,49,adult (14),3
4,"{40, 9, 3, 5}",311.75,"{48, 41, 1, 7}",83.20326924553078,"{40, 9, 3, 5}",311.75,"{9, 18, 3, 5}",310.8611111111111,311.75,"{40, 9, 3, 5}",1.0,0.26689099998566407,1.0,0.9971487124654727,691.1658561229706,5.5,328,49,adult (14),3
5,"{3, 5, 6, 40, 9}",313.0,"{1, 7, 41, 48, 17}",83.62563364518844,"{3, 5, 6, 40, 9}",313.0,"{18, 3, 5, 9, 14}",310.8611111111111,313.0,"{3, 5, 6, 40, 9}",1.0,0.2671745483871835,1.0,0.9931664891728789,5458.306364059448,5.5,328,49,adult (14),3
1,{5},313.2714285714286,{41},79.66863479647138,{5},313.2714285714286,{18},235.44777193879096,313.2714285714286,{5},1.0,0.2543118443956859,1.0,0.7515775473444009,0.1014549732208252,6.0,328,49,adult (14),4
2,"{9, 5}",315.8603174603175,"{41, 7}",79.89373357063647,"{9, 5}",315.8603174603175,"{18, 5}",313.2714285714286,315.8603174603175,"{9, 5}",1.0,0.2529400787443765,1.0,0.9918036906006271,2.4745168685913086,6.0,328,49,adult (14),4
3,"{9, 3, 5}",318.3095238095238,"{41, 1, 7}",81.71883334291789,"{9, 3, 5}",318.3095238095238,"{18, 3, 5}",315.7206349206349,318.5873015873016,"{8, 9, 3}",0.9991280952618203,0.2565037367646767,0.9991280952618203,0.9910019431019877,40.684070110321045,6.0,328,49,adult (14),4
4,"{9, 3, 5, 6}",319.16666666666663,"{48, 41, 1, 7}",83.87136486552387,"{9, 3, 5, 6}",319.16666666666663,"{9, 18, 3, 5}",318.3095238095238,319.5,"{8, 9, 5, 6}",0.9989567031820552,0.2625081842426412,0.9989567031820552,0.9962739399359117,487.20360493659973,6.0,328,49,adult (14),4
5,"{3, 5, 6, 8, 9}",320.0,"{1, 7, 41, 48, 17}",84.63342086314208,"{3, 5, 6, 8, 9}",320.0,"{18, 3, 5, 8, 9}",319.1428571428572,320.0,"{3, 5, 6, 8, 9}",1.0,0.264479440197319,1.0,0.9973214285714288,4513.3092522621155,6.0,328,49,adult (14),4
1,{8},320.6738816738817,{41},82.0690240455833,{8},320.6738816738817,{18},265.6534471236852,320.6738816738817,{8},1.0,0.25592674906104673,1.0,0.8284224637722413,0.11365580558776855,6.5,328,49,adult (14),5
2,"{8, 9}",323.2142857142857,"{41, 7}",82.38878000364966,"{8, 9}",323.2142857142857,"{18, 5}",319.6269841269841,323.5,"{9, 11}",0.9991168028262309,0.25467938177326016,0.9991168028262309,0.988027771644464,2.8782520294189453,6.5,328,49,adult (14),5
3,"{8, 9, 3}",324.0,"{41, 1, 7}",84.18847699725595,"{8, 9, 3}",324.0,"{18, 3, 5}",321.6349206349206,324.0,"{8, 9, 3}",1.0,0.2598409783865924,1.0,0.9927003723300019,46.18394708633423,6.5,328,49,adult (14),5
4,"{8, 9, 3}",324.0,"{48, 41, 1, 7}",86.14741752181394,"{8, 9, 3}",324.0,"{9, 18, 3, 5}",323.3571428571429,324.0,"{8, 9, 3}",1.0,0.26588709111670966,1.0,0.9980158730158731,561.9725568294525,6.5,328,49,adult (14),5
5,"{8, 9, 3}",324.0,"{1, 7, 41, 48, 17}",87.38569207619807,"{8, 9, 3}",324.0,"{18, 3, 5, 8, 9}",324.0,324.0,"{8, 9, 3}",1.0,0.26970892616110514,1.0,1.0,5399.786452054977,6.5,328,49,adult (14),5
1,{5},325.125,{41},81.93776107926381,{5},325.125,{18},292.17592324442654,325.125,{5},1.0,0.2520192574525607,1.0,0.8986572033661716,0.12120318412780762,7.0,328,49,adult (14),6
2,"{5, 46}",326.0,"{41, 7}",82.52203662499382,"{5, 46}",326.0,"{18, 5}",325.125,326.0,"{5, 46}",1.0,0.2531350816717602,1.0,0.9973159509202454,3.057194232940674,7.0,328,49,adult (14),6
3,"{5, 46}",326.0,"{41, 1, 7}",84.29974425072034,"{5, 46}",326.0,"{18, 5, 14}",325.125,326.0,"{5, 46}",1.0,0.2585881725482219,1.0,0.9973159509202454,51.001538038253784,7.0,328,49,adult (14),6
4,"{5, 46}",326.0,"{48, 41, 1, 7}",86.21847634135221,"{5, 46}",326.0,"{1, 18, 5, 14}",325.125,326.0,"{5, 46}",1.0,0.2644738538078289,1.0,0.9973159509202454,612.8649768829346,7.0,328,49,adult (14),6
5,"{5, 46}",326.0,"{1, 7, 41, 48, 17}",87.89747990226306,"{5, 46}",326.0,"{1, 18, 5, 25, 14}",325.125,326.0,"{5, 46}",1.0,0.26962417147933454,1.0,0.9973159509202454,5214.998043060303,7.0,328,49,adult (14),6
1,{5},327.33333333333337,{41},82.74818461211741,{5},327.33333333333337,{18},312.16467088494545,327.33333333333337,{5},1.0,0.25279486134048085,1.0,0.9536598906872059,0.12233114242553711,7.5,328,49,adult (14),7
2,"{11, 5}",328.0,"{41, 7}",83.76669010926794,"{11, 5}",328.0,"{18, 5}",327.33333333333337,328.0,"{11, 5}",1.0,0.25538625033313395,1.0,0.9979674796747968,2.9985861778259277,7.5,328,49,adult (14),7
3,"{11, 5}",328.0,"{41, 1, 7}",85.58054925331892,"{11, 5}",328.0,"{18, 5, 14}",327.33333333333337,328.0,"{11, 5}",1.0,0.26091630869914306,1.0,0.9979674796747968,48.96701383590698,7.5,328,49,adult (14),7
4,"{11, 5}",328.0,"{48, 41, 1, 7}",87.53777309186349,"{11, 5}",328.0,"{1, 18, 5, 14}",327.33333333333337,328.0,"{11, 5}",1.0,0.26688345454836426,1.0,0.9979674796747968,628.7843110561371,7.5,328,49,adult (14),7
5,"{11, 5}",328.0,"{1, 7, 41, 48, 17}",89.39713751139901,"{11, 5}",328.0,"{1, 18, 5, 25, 14}",327.33333333333337,328.0,"{11, 5}",1.0,0.27255224851036286,1.0,0.9979674796747968,5675.912399291992,7.5,328,49,adult (14),7
1,{5},328.0,{41},82.44260347519877,{5},328.0,{18},322.7011045768909,328.0,{5},1.0,0.25134940083902063,1.0,0.9838448310271064,0.12484574317932129,8.0,328,49,adult (14),8
2,{5},328.0,"{41, 7}",83.783951291849,{5},328.0,"{18, 5}",328.0,328.0,{5},1.0,0.25543887588978353,1.0,1.0,3.0680172443389893,8.0,328,49,adult (14),8
3,{5},328.0,"{41, 1, 7}",85.61926403112534,{5},328.0,"{18, 5, 14}",328.0,328.0,{5},1.0,0.26103434155830896,1.0,1.0,49.913737297058105,8.0,328,49,adult (14),8
4,{5},328.0,"{48, 41, 1, 7}",87.55180764038937,{5},328.0,"{1, 18, 5, 14}",328.0,328.0,{5},1.0,0.26692624280606514,1.0,1.0,628.6027929782867,8.0,328,49,adult (14),8
5,{5},328.0,"{1, 7, 41, 48, 17}",89.46039303344611,{5},328.0,"{1, 18, 5, 25, 14}",328.0,328.0,{5},1.0,0.2727451007117259,1.0,1.0,5699.641334056854,8.0,328,49,adult (14),8
1,{5},328.0,{41},82.22547592008233,{5},328.0,{18},325.6891304347826,328.0,{5},1.0,0.2506874265856169,1.0,0.992954665959703,0.12537598609924316,8.5,328,49,adult (14),9
2,{5},328.0,"{41, 7}",83.7637474140955,{5},328.0,"{18, 5}",328.0,328.0,{5},1.0,0.25537727870151067,1.0,1.0,3.0695760250091553,8.5,328,49,adult (14),9
