[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,76.83857386743342,set(),1,78.70114923350225,{14},{14},78.70114923350225,0
1,102.70089982030923,{18},0,76.83857386743342,set(),{18},102.70089982030923,0
0,76.83857386743342,set(),2,81.42015533790236,"{1, 14}","{1, 14}",81.42015533790236,0
1,102.70089982030923,{18},1,78.70114923350225,{14},"{18, 14}",104.1699090068971,0
2,203.67963031120922,"{18, 5}",0,76.83857386743342,set(),"{18, 5}",203.67963031120922,0
0,76.83857386743342,set(),3,83.25323719581928,"{1, 26, 14}","{1, 26, 14}",83.25323719581928,0
1,102.70089982030923,{18},2,81.42015533790236,"{1, 14}","{1, 18, 14}",106.8781624231252,0
2,203.67963031120922,"{18, 5}",1,78.70114923350225,{14},"{18, 5, 14}",203.7432666748456,0
3,205.77963031120925,"{18, 3, 5}",0,76.83857386743342,set(),"{18, 3, 5}",205.77963031120925,0
0,76.83857386743342,set(),4,85.64973013790107,"{24, 1, 26, 14}","{24, 1, 26, 14}",85.64973013790107,0
1,102.70089982030923,{18},3,83.25323719581928,"{1, 26, 14}","{1, 18, 26, 14}",107.46637811538403,0
2,203.67963031120922,"{18, 5}",2,81.42015533790236,"{1, 14}","{1, 18, 5, 14}",205.59880952380948,0
3,205.77963031120925,"{18, 3, 5}",1,78.70114923350225,{14},"{18, 3, 5, 14}",205.8432666748456,0
4,234.5037518037518,"{9, 18, 3, 5}",0,76.83857386743342,set(),"{9, 18, 3, 5}",234.5037518037518,0
0,76.83857386743342,set(),5,88.15947062756813,"{1, 14, 23, 24, 26}","{1, 23, 24, 26, 14}",88.15947062756813,0
1,102.70089982030923,{18},4,85.64973013790107,"{24, 1, 26, 14}","{1, 18, 24, 26, 14}",109.40157476703793,0
2,203.67963031120922,"{18, 5}",3,83.25323719581928,"{1, 26, 14}","{1, 18, 5, 26, 14}",205.64841269841264,0
3,205.77963031120925,"{18, 3, 5}",2,81.42015533790236,"{1, 14}","{1, 18, 3, 5, 14}",207.6988095238095,0
4,234.5037518037518,"{9, 18, 3, 5}",1,78.70114923350225,{14},"{18, 3, 5, 9, 14}",234.54920634920634,0
5,238.7595238095238,"{3, 5, 8, 9, 18}",0,76.83857386743342,set(),"{18, 3, 5, 8, 9}",238.7595238095238,0
0,75.29576431903851,set(),1,77.25618409202018,{14},{14},77.25618409202018,1
1,128.0798453886319,{18},0,75.29576431903851,set(),{18},128.0798453886319,1
0,75.29576431903851,set(),2,79.65832985272363,"{1, 14}","{1, 14}",79.65832985272363,1
1,128.0798453886319,{18},1,77.25618409202018,{14},"{18, 14}",129.29350280192156,1
2,239.1829072887896,"{18, 5}",0,75.29576431903851,set(),"{18, 5}",239.1829072887896,1
0,75.29576431903851,set(),3,81.72427232027918,"{1, 14, 25}","{1, 14, 25}",81.72427232027918,1
1,128.0798453886319,{18},2,79.65832985272363,"{1, 14}","{1, 18, 14}",131.2846081270415,1
