K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,202.51296364454257,{5},102.70089982030923,{18},202.51296364454257,{5},78.52883974605417,{42},242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.971871366257449,0.8368304282832337,0.42438388355499684,2.5788355500912417,0.8368304282832337,0.3244993377936123,0.15198206901550293,0.003003835678100586,4.0,328,48,adult (14),0
2,231.23708513708513,"{9, 5}",203.67963031120922,"{18, 5}",231.23708513708513,"{9, 5}",78.52883974605417,"{42, 7}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1352980402790889,0.9555251451945667,0.8416513649223522,2.9446135443342527,0.9555251451945667,0.3244993377936123,0.2784290313720703,0.00345611572265625,4.0,328,48,adult (14),0
3,235.49285714285713,"{8, 9, 5}",205.77963031120925,"{18, 3, 5}",235.49285714285713,"{8, 9, 5}",81.2648133754212,"{1, 42, 7}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.144393430908158,0.9731109799291617,0.8503290508727654,2.8978452956625222,0.9731109799291617,0.3358050139480215,0.40195322036743164,0.003323078155517578,4.0,328,48,adult (14),0
4,237.87619047619046,"{8, 9, 5, 46}",234.5037518037518,"{9, 18, 3, 5}",237.87619047619046,"{8, 9, 5, 46}",81.86829616918291,"{1, 42, 49, 7}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0143811715015159,0.9829594647776465,0.9690237677840984,2.9055959584722917,0.9829594647776465,0.3382987445007558,0.4878683090209961,0.001661062240600586,4.0,328,48,adult (14),0
5,239.97619047619048,"{3, 5, 8, 9, 46}",238.7595238095238,"{18, 3, 5, 8, 9}",239.97619047619048,"{3, 5, 8, 9, 46}",107.53781801606691,"{1, 7, 42, 49, 18}",242.0,"{3, 5, 8, 9, 43, 46, 18}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0050957827660827,0.9916371507280598,0.9866096025186935,2.2315516057833378,0.9916371507280598,0.44437114882672274,0.7209322452545166,0.003242969512939453,4.0,328,48,adult (14),0
1,236.14396387925797,{8},128.0798453886319,{18},236.14396387925797,{8},75.3295710581084,{41},274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.84372461695849,0.8618392842308685,0.4674446911993865,3.1348109455860187,0.8618392842308685,0.27492544181791384,0.21022415161132812,0.004525899887084961,4.5,328,49,adult (14),1
2,263.2393162393162,"{8, 9}",239.1829072887896,"{18, 5}",263.2393162393162,"{8, 9}",75.37719010572745,"{41, 7}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1005774585785133,0.9607274315303512,0.8729303185722248,3.4922940994495133,0.9607274315303512,0.27509923396250896,0.37534427642822266,0.0031728744506835938,4.5,328,49,adult (14),1
3,268.4119047619048,"{8, 9, 5}",241.4329072887896,"{18, 3, 5}",268.4119047619048,"{8, 9, 5}",77.59071565256905,"{41, 1, 7}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.11174531995692,0.9796054918317694,0.8811419974043416,3.4593301853766008,0.9796054918317694,0.2831777943524418,0.5087440013885498,0.003931999206542969,4.5,328,49,adult (14),1
4,271.8166666666667,"{8, 9, 18, 5}",267.9378427128427,"{9, 18, 3, 5}",271.8166666666667,"{8, 9, 18, 5}",79.8185956279823,"{48, 41, 1, 7}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0144765812643384,0.9920316301703165,0.9778753383680391,3.4054303327202984,0.9920316301703165,0.29130874316781863,0.6865689754486084,0.0023300647735595703,4.5,328,49,adult (14),1
5,273.4,"{18, 3, 5, 8, 9}",273.4,"{18, 3, 5, 8, 9}",273.4,"{3, 5, 8, 9, 18}",80.3185956279823,"{1, 7, 41, 48, 17}",274.0,"{3, 5, 8, 9, 10, 18}",274,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.9978102189781021,0.9978102189781021,3.403943979129408,0.9978102189781021,0.29313356068606683,0.848311185836792,0.0037729740142822266,4.5,328,49,adult (14),1
