K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,set(),77.0,{11},77.0,set(),77.0,{7},77.0,77.0,set(),1.0,1.0,1.0,1.0,0.009695053100585938,1,112,32,productivity (11),0
2,set(),77.0,"{11, 4}",77.0,set(),77.0,"{34, 7}",77.0,77.0,set(),1.0,1.0,1.0,1.0,0.13719677925109863,1,112,32,productivity (11),0
3,set(),77.0,"{27, 11, 4}",77.0,set(),77.0,"{34, 18, 7}",77.0,77.0,set(),1.0,1.0,1.0,1.0,1.4029500484466553,1,112,32,productivity (11),0
4,set(),77.0,"{27, 11, 4, 22}",77.0,set(),77.0,"{11, 34, 18, 7}",77.0,77.0,set(),1.0,1.0,1.0,1.0,9.622657060623169,1,112,32,productivity (11),0
5,set(),77.0,"{4, 11, 21, 22, 27}",77.0,set(),77.0,"{34, 18, 7, 11, 29}",77.0,77.0,set(),1.0,1.0,1.0,1.0,54.050179958343506,1,112,32,productivity (11),0
1,{18},86.5,{46},83.0,{34},86.5,{29},82.0,86.5,{18},1.0,0.9595375722543352,1.0,0.9479768786127167,0.010040760040283203,2,112,44,productivity (11),1
2,"{18, 34}",91.5,"{9, 46}",83.5,"{34, 18}",91.5,"{29, 7}",83.5,91.5,"{18, 34}",1.0,0.912568306010929,1.0,0.912568306010929,0.23961114883422852,2,112,44,productivity (11),1
3,"{18, 34, 13}",94.0,"{9, 2, 46}",84.0,"{34, 18, 13}",94.0,"{34, 29, 7}",88.5,94.0,"{18, 34, 13}",1.0,0.8936170212765957,1.0,0.9414893617021277,3.3739681243896484,2,112,44,productivity (11),1
4,"{18, 4, 34, 13}",95.5,"{9, 2, 21, 46}",84.0,"{34, 18, 13, 7}",95.5,"{34, 44, 29, 7}",89.5,95.5,"{18, 34, 4, 13}",1.0,0.8795811518324608,1.0,0.93717277486911,36.60293674468994,2,112,44,productivity (11),1
5,"{34, 4, 13, 46, 18}",97.0,"{2, 9, 46, 19, 21}",84.0,"{34, 18, 7, 13, 46}",97.0,"{34, 29, 7, 44, 28}",90.0,97.0,"{34, 4, 13, 46, 18}",1.0,0.865979381443299,1.0,0.9278350515463918,297.4441840648651,2,112,44,productivity (11),1
1,{18},90.66666666666669,{45},85.33333333333336,{18},90.66666666666669,{12},86.33333333333337,90.66666666666669,{18},1.0,0.9411764705882354,1.0,0.9522058823529413,0.012028932571411133,3,112,45,productivity (11),2
2,"{18, 34}",95.83333333333334,"{9, 45}",88.6666666666667,"{18, 34}",95.83333333333334,"{2, 12}",87.6666666666667,95.83333333333334,"{18, 34}",1.0,0.9252173913043481,1.0,0.9147826086956524,0.2724428176879883,3,112,45,productivity (11),2
3,"{18, 34, 46}",99.83333333333334,"{9, 2, 45}",90.00000000000003,"{18, 34, 46}",99.83333333333334,"{34, 29, 7}",91.33333333333336,99.83333333333334,"{18, 34, 46}",1.0,0.9015025041736229,1.0,0.9148580968280469,4.102173089981079,3,112,45,productivity (11),2
4,"{18, 34, 28, 46}",102.66666666666669,"{9, 2, 20, 45}",90.33333333333336,"{18, 34, 28, 46}",102.66666666666669,"{34, 44, 29, 7}",93.00000000000004,102.66666666666667,"{18, 28, 34, 46}",1.0000000000000002,0.87987012987013,1.0000000000000002,0.9058441558441562,45.40070295333862,3,112,45,productivity (11),2
5,"{34, 11, 46, 18, 28}",104.5,"{2, 9, 45, 18, 20}",94.33333333333334,"{34, 18, 11, 28, 46}",104.5,"{34, 29, 7, 44, 28}",94.50000000000004,104.50000000000001,"{34, 11, 46, 18, 28}",0.9999999999999999,0.9027113237639554,0.9999999999999999,0.9043062200956941,374.63072896003723,3,112,45,productivity (11),2
