[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,77.0,set(),1,77.0,set(),set(),77.0,0
1,77.0,set(),0,77.0,set(),set(),77.0,0
0,77.0,set(),2,77.0,set(),set(),77.0,0
1,77.0,set(),1,77.0,set(),set(),77.0,0
2,77.0,set(),0,77.0,set(),set(),77.0,0
0,77.0,set(),3,77.0,set(),set(),77.0,0
1,77.0,set(),2,77.0,set(),set(),77.0,0
2,77.0,set(),1,77.0,set(),set(),77.0,0
3,77.0,set(),0,77.0,set(),set(),77.0,0
0,77.0,set(),4,77.0,set(),set(),77.0,0
1,77.0,set(),3,77.0,set(),set(),77.0,0
2,77.0,set(),2,77.0,set(),set(),77.0,0
3,77.0,set(),1,77.0,set(),set(),77.0,0
4,77.0,set(),0,77.0,set(),set(),77.0,0
0,77.0,set(),5,77.0,set(),set(),77.0,0
1,77.0,set(),4,77.0,set(),set(),77.0,0
2,77.0,set(),3,77.0,set(),set(),77.0,0
3,77.0,set(),2,77.0,set(),set(),77.0,0
4,77.0,set(),1,77.0,set(),set(),77.0,0
5,77.0,set(),0,77.0,set(),set(),77.0,0
0,81.5,set(),1,86.5,{34},{34},86.5,1
1,85.0,{16},0,81.5,set(),{16},85.0,1
0,81.5,set(),2,91.5,"{34, 18}","{34, 18}",91.5,1
1,85.0,{16},1,86.5,{34},"{16, 34}",87.0,1
2,88.5,"{16, 26}",0,81.5,set(),"{16, 26}",88.5,1
0,81.5,set(),3,94.0,"{34, 18, 13}","{34, 18, 13}",94.0,1
1,85.0,{16},2,91.5,"{34, 18}","{16, 34, 18}",92.0,1
2,88.5,"{16, 26}",1,86.5,{34},"{16, 26, 34}",88.5,1
3,90.0,"{16, 26, 4}",0,81.5,set(),"{16, 26, 4}",90.0,1
0,81.5,set(),4,95.5,"{34, 18, 13, 7}","{34, 18, 13, 7}",95.5,1
1,85.0,{16},3,94.0,"{34, 18, 13}","{16, 34, 18, 13}",94.5,1
2,88.5,"{16, 26}",2,91.5,"{34, 18}","{16, 26, 18, 34}",92.5,1
