[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,77.0,set(),1,77.0,{7},{7},77.0,0
1,77.0,{41},0,77.0,set(),{41},77.0,0
0,77.0,set(),2,77.0,"{34, 7}","{34, 7}",77.0,0
1,77.0,{41},1,77.0,{7},"{41, 7}",77.0,0
2,77.0,"{41, 6}",0,77.0,set(),"{41, 6}",77.0,0
0,77.0,set(),3,77.0,"{34, 18, 7}","{34, 18, 7}",77.0,0
1,77.0,{41},2,77.0,"{34, 7}","{41, 34, 7}",77.0,0
2,77.0,"{41, 6}",1,77.0,{7},"{41, 6, 7}",77.0,0
3,77.0,"{41, 2, 6}",0,77.0,set(),"{41, 2, 6}",77.0,0
0,77.0,set(),4,77.0,"{11, 34, 18, 7}","{11, 34, 18, 7}",77.0,0
1,77.0,{41},3,77.0,"{34, 18, 7}","{41, 34, 18, 7}",77.0,0
2,77.0,"{41, 6}",2,77.0,"{34, 7}","{41, 34, 6, 7}",77.0,0
3,77.0,"{41, 2, 6}",1,77.0,{7},"{41, 2, 6, 7}",77.0,0
4,77.0,"{41, 2, 6, 47}",0,77.0,set(),"{41, 2, 6, 47}",77.0,0
0,77.0,set(),5,77.0,"{34, 7, 11, 18, 29}","{34, 18, 7, 11, 29}",77.0,0
1,77.0,{41},4,77.0,"{11, 34, 18, 7}","{34, 18, 7, 41, 11}",77.0,0
2,77.0,"{41, 6}",3,77.0,"{34, 18, 7}","{34, 18, 6, 7, 41}",77.0,0
3,77.0,"{41, 2, 6}",2,77.0,"{34, 7}","{2, 34, 6, 7, 41}",77.0,0
4,77.0,"{41, 2, 6, 47}",1,77.0,{7},"{2, 6, 7, 41, 47}",77.0,0
5,77.0,"{2, 6, 41, 47, 16}",0,77.0,set(),"{16, 2, 6, 41, 47}",77.0,0
0,81.5,set(),1,82.0,{29},{29},82.0,1
1,81.5,{12},0,81.5,set(),{12},81.5,1
0,81.5,set(),2,83.5,"{29, 7}","{29, 7}",83.5,1
1,81.5,{12},1,82.0,{29},"{12, 29}",82.0,1
2,82.0,"{2, 12}",0,81.5,set(),"{2, 12}",82.0,1
0,81.5,set(),3,88.5,"{34, 29, 7}","{34, 29, 7}",88.5,1
1,81.5,{12},2,83.5,"{29, 7}","{12, 29, 7}",83.5,1
2,82.0,"{2, 12}",1,82.0,{29},"{2, 12, 29}",82.5,1
3,82.5,"{2, 12, 30}",0,81.5,set(),"{2, 12, 30}",82.5,1
0,81.5,set(),4,89.5,"{34, 44, 29, 7}","{34, 44, 29, 7}",89.5,1
1,81.5,{12},3,88.5,"{34, 29, 7}","{34, 12, 29, 7}",88.5,1
2,82.0,"{2, 12}",2,83.5,"{29, 7}","{2, 12, 29, 7}",84.0,1
3,82.5,"{2, 12, 30}",1,82.0,{29},"{2, 12, 29, 30}",83.0,1
4,86.0,"{2, 26, 12, 30}",0,81.5,set(),"{2, 26, 12, 30}",86.0,1
0,81.5,set(),5,90.0,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",90.0,1
1,81.5,{12},4,89.5,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",89.5,1
2,82.0,"{2, 12}",3,88.5,"{34, 29, 7}","{2, 34, 7, 12, 29}",89.0,1
3,82.5,"{2, 12, 30}",2,83.5,"{29, 7}","{2, 7, 12, 29, 30}",84.5,1
4,86.0,"{2, 26, 12, 30}",1,82.0,{29},"{2, 26, 12, 29, 30}",86.5,1
5,87.0,"{2, 12, 24, 26, 30}",0,81.5,set(),"{2, 24, 26, 12, 30}",87.0,1
0,85.33333333333336,set(),1,85.83333333333337,{29},{29},85.83333333333337,2
1,86.33333333333337,{12},0,85.33333333333336,set(),{12},86.33333333333337,2
