K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,77.0,set(),77.0,{7},77.0,set(),77.0,{11},77.0,set(),77,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 42, 44, 45, 47}",1.0,1.0,1.0,1.0,1.0,1.0,0.006329774856567383,0.0002300739288330078,1,112,32,productivity (11),0
2,77.0,set(),77.0,"{34, 7}",77.0,set(),77.0,"{11, 4}",77.0,set(),77,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 42, 44, 45, 47}",1.0,1.0,1.0,1.0,1.0,1.0,0.006750822067260742,0.00023031234741210938,1,112,32,productivity (11),0
3,77.0,set(),77.0,"{34, 18, 7}",77.0,set(),77.0,"{27, 11, 4}",77.0,set(),77,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 42, 44, 45, 47}",1.0,1.0,1.0,1.0,1.0,1.0,0.0073430538177490234,0.00032591819763183594,1,112,32,productivity (11),0
4,77.0,set(),77.0,"{11, 34, 18, 7}",77.0,set(),77.0,"{27, 11, 4, 22}",77.0,set(),77,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 42, 44, 45, 47}",1.0,1.0,1.0,1.0,1.0,1.0,0.00716090202331543,0.00023889541625976562,1,112,32,productivity (11),0
5,77.0,set(),77.0,"{34, 18, 7, 11, 29}",77.0,set(),77.0,"{4, 11, 21, 22, 27}",77.0,set(),77,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 34, 36, 38, 39, 40, 41, 42, 44, 45, 47}",1.0,1.0,1.0,1.0,1.0,1.0,0.006853818893432617,0.00026917457580566406,1,112,32,productivity (11),0
1,86.5,{34},82.0,{29},86.5,{18},83.0,{46},101.0,"{34, 4, 11, 44, 13, 46, 16, 18, 23, 24}",101,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0548780487804879,0.8564356435643564,0.8118811881188119,1.0421686746987953,0.8564356435643564,0.8217821782178217,0.010365962982177734,0.0002608299255371094,2,112,44,productivity (11),1
2,91.5,"{34, 18}",83.5,"{29, 7}",91.5,"{18, 34}",83.5,"{9, 46}",101.0,"{34, 4, 11, 44, 13, 46, 16, 18, 23, 24}",101,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.095808383233533,0.905940594059406,0.8267326732673267,1.095808383233533,0.905940594059406,0.8267326732673267,0.021842002868652344,0.0002598762512207031,2,112,44,productivity (11),1
3,94.0,"{34, 18, 13}",88.5,"{34, 29, 7}",94.0,"{18, 34, 13}",84.0,"{9, 2, 46}",101.0,"{34, 4, 11, 44, 13, 46, 16, 18, 23, 24}",101,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0621468926553672,0.9306930693069307,0.8762376237623762,1.119047619047619,0.9306930693069307,0.8316831683168316,0.03331279754638672,0.00026702880859375,2,112,44,productivity (11),1
4,95.5,"{34, 18, 13, 7}",89.5,"{34, 44, 29, 7}",95.5,"{18, 4, 34, 13}",84.0,"{9, 2, 21, 46}",101.0,"{34, 4, 11, 44, 13, 46, 16, 18, 23, 24}",101,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0670391061452513,0.9455445544554455,0.8861386138613861,1.1369047619047619,0.9455445544554455,0.8316831683168316,0.038990020751953125,0.00026869773864746094,2,112,44,productivity (11),1
5,97.0,"{34, 18, 7, 13, 46}",90.0,"{34, 29, 7, 44, 28}",97.0,"{34, 4, 13, 46, 18}",84.0,"{2, 9, 46, 19, 21}",101.0,"{34, 4, 11, 44, 13, 46, 16, 18, 23, 24}",101,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0777777777777777,0.9603960396039604,0.8910891089108911,1.1547619047619047,0.9603960396039604,0.8316831683168316,0.0505521297454834,0.00026798248291015625,2,112,44,productivity (11),1
1,90.66666666666669,{18},86.33333333333337,{12},90.66666666666669,{18},85.33333333333336,{45},112.0,"{34, 2, 8, 11, 44, 13, 46, 14, 16, 18, 28}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0501930501930499,0.8095238095238096,0.7708333333333337,1.0625,0.8095238095238096,0.7619047619047621,0.012729167938232422,0.00029087066650390625,3,112,45,productivity (11),2
2,95.83333333333334,"{18, 34}",87.6666666666667,"{2, 12}",95.83333333333334,"{18, 34}",88.6666666666667,"{9, 45}",112.0,"{34, 2, 8, 11, 44, 13, 46, 14, 16, 18, 28}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0931558935361214,0.855654761904762,0.7827380952380956,1.0808270676691727,0.855654761904762,0.791666666666667,0.023196935653686523,0.0002911090850830078,3,112,45,productivity (11),2
3,99.83333333333334,"{18, 34, 46}",91.33333333333336,"{34, 29, 7}",99.83333333333334,"{18, 34, 46}",90.00000000000003,"{9, 2, 45}",112.0,"{34, 2, 8, 11, 44, 13, 46, 14, 16, 18, 28}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0930656934306568,0.8913690476190477,0.8154761904761907,1.109259259259259,0.8913690476190477,0.8035714285714288,0.04154491424560547,0.00030803680419921875,3,112,45,productivity (11),2
4,102.66666666666667,"{18, 34, 28, 46}",93.00000000000003,"{34, 44, 29, 7}",102.66666666666667,"{18, 34, 28, 46}",90.33333333333336,"{9, 2, 20, 45}",112.0,"{34, 2, 8, 11, 44, 13, 46, 14, 16, 18, 28}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1039426523297489,0.9166666666666667,0.8303571428571431,1.1365313653136528,0.9166666666666667,0.8065476190476193,0.047882080078125,0.0004200935363769531,3,112,45,productivity (11),2
5,104.50000000000001,"{34, 18, 11, 28, 46}",94.50000000000003,"{34, 29, 7, 44, 28}",104.50000000000001,"{34, 11, 46, 18, 28}",94.33333333333334,"{2, 9, 45, 18, 20}",112.0,"{34, 2, 8, 11, 44, 13, 46, 14, 16, 18, 28}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1058201058201056,0.9330357142857144,0.8437500000000002,1.107773851590106,0.9330357142857144,0.8422619047619049,0.08641505241394043,0.000308990478515625,3,112,45,productivity (11),2
1,88.25,{16},84.25,{12},88.25,{16},86.0,{44},112.0,"{35, 38, 44, 14, 47, 16, 22, 24, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0474777448071217,0.7879464285714286,0.7522321428571429,1.0261627906976745,0.7879464285714286,0.7678571428571429,0.02078080177307129,0.0005660057067871094,4,112,46,productivity (11),3
2,93.5,"{16, 35}",86.75,"{2, 12}",93.5,"{16, 35}",89.25,"{9, 44}",112.0,"{35, 38, 44, 14, 47, 16, 22, 24, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0778097982708934,0.8348214285714286,0.7745535714285714,1.0476190476190477,0.8348214285714286,0.796875,0.030034303665161133,0.0003287792205810547,4,112,46,productivity (11),3
3,98.0,"{16, 27, 35}",92.5,"{2, 26, 12}",98.0,"{16, 27, 35}",91.75,"{9, 2, 44}",112.0,"{35, 38, 44, 14, 47, 16, 22, 24, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0594594594594595,0.875,0.8258928571428571,1.0681198910081744,0.875,0.8191964285714286,0.05454587936401367,0.0006411075592041016,4,112,46,productivity (11),3
4,101.0,"{16, 27, 35, 24}",95.5,"{24, 2, 26, 12}",101.25,"{16, 27, 35, 44}",92.25,"{9, 2, 44, 20}",112.0,"{35, 38, 44, 14, 47, 16, 22, 24, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.057591623036649,0.9017857142857143,0.8526785714285714,1.0975609756097562,0.9040178571428571,0.8236607142857143,0.060990095138549805,0.00046181678771972656,4,112,46,productivity (11),3
5,103.75,"{16, 35, 38, 24, 27}",96.25,"{2, 22, 24, 26, 12}",104.25,"{35, 44, 16, 24, 27}",96.16666666666667,"{2, 9, 44, 18, 20}",112.0,"{35, 38, 44, 14, 47, 16, 22, 24, 27, 31}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.077922077922078,0.9263392857142857,0.859375,1.084055459272097,0.9308035714285714,0.8586309523809524,0.07468104362487793,0.00043964385986328125,4,112,46,productivity (11),3
1,89.19999999999996,{27},83.9999999999999,{12},89.19999999999996,{27},84.39999999999989,{42},112.0,"{1, 38, 41, 10, 9, 44, 13, 14, 16, 26, 27}",112,"{1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0619047619047628,0.796428571428571,0.7499999999999991,1.0568720379146928,0.796428571428571,0.7535714285714276,0.015915870666503906,0.00036215782165527344,5,112,48,productivity (11),4
