b,F(S*),S*,BFtime,graphidx
0,80.72518778663611,set(),0.0027348995208740234,0
1,96.84546381743802,{2},0.05639505386352539,0
2,103.5,"{2, 31}",1.2520558834075928,0
3,104.0,"{16, 1, 2}",20.290961265563965,0
4,104.0,"{16, 1, 2}",250.14689183235168,0
5,104.0,"{16, 1, 2}",2271.4259309768677,0
0,81.70543406960105,set(),0.002960205078125,1
1,103.05819599503809,{6},0.055130958557128906,1
2,105.5,"{2, 10}",1.368441104888916,1
3,106.0,"{16, 2, 10}",22.752378225326538,1
4,106.0,"{16, 2, 10}",308.35367584228516,1
5,106.0,"{16, 2, 10}",2745.4697132110596,1
0,82.19093267191724,set(),0.004940032958984375,2
1,105.025,{6},0.05871701240539551,2
2,105.89473684210526,"{16, 2}",1.500636100769043,2
3,106.0,"{16, 1, 2}",25.608675003051758,2
4,106.0,"{16, 1, 2}",352.2251830101013,2
5,106.0,"{16, 1, 2}",3262.1807947158813,2
0,82.80194989964043,set(),0.005172014236450195,3
1,105.71428571428572,{6},0.14191985130310059,3
2,106.0,"{1, 2}",2.030184030532837,3
3,106.0,"{1, 2}",32.47569298744202,3
4,106.0,"{1, 2}",416.6669719219208,3
5,106.0,"{1, 2}",3656.7754788398743,3
0,83.38658754573216,set(),0.006366252899169922,4
1,107.0,{26},0.0829460620880127,4
2,107.0,{26},2.072323799133301,4
3,107.0,{26},35.06202483177185,4
4,107.0,{26},417.33440589904785,4
5,107.0,{26},3784.292914867401,4
0,83.43868387071474,set(),0.005928993225097656,5
1,107.0,{1},0.09433388710021973,5
2,107.0,{1},2.2824878692626953,5
3,107.0,{1},35.05508089065552,5
4,107.0,{1},430.9912078380585,5
5,107.0,{1},3896.324348926544,5
0,83.4532193515705,set(),0.006182193756103516,6
1,107.0,{1},0.08152389526367188,6
2,107.0,{1},2.119706869125366,6
3,107.0,{1},35.46175694465637,6
4,107.0,{1},436.2545349597931,6
5,107.0,{1},3914.0877389907837,6
0,83.44086956521748,set(),0.00731205940246582,7
1,107.0,{0},0.08362126350402832,7
2,107.0,{0},2.061772108078003,7
3,107.0,{0},34.58235692977905,7
4,107.0,{0},424.86579394340515,7
5,107.0,{0},3925.0124459266663,7
0,83.4600000000001,set(),0.0061953067779541016,8
1,107.0,{0},0.08820033073425293,8
2,107.0,{0},2.088502883911133,8
3,107.0,{0},34.69239091873169,8
4,107.0,{0},425.1224100589752,8
5,107.0,{0},3907.3607947826385,8
0,84.0850000000001,set(),0.0055239200592041016,9
1,108.0,{6},0.0850670337677002,9
2,108.0,{6},2.070330858230591,9
3,108.0,{6},34.75684714317322,9
4,108.0,{6},428.95513677597046,9
5,108.0,{6},4986.492939949036,9
0,84.2412500000001,set(),0.00615382194519043,10
1,108.0,{1},0.1122598648071289,10
2,108.0,{1},3.321984052658081,10
3,108.0,{1},43.09649300575256,10
4,108.0,{1},637.686399936676,10
5,108.0,{1},4290.017329931259,10
0,85.51390070921995,set(),0.00506901741027832,11
1,109.66666666666667,{1},0.08608794212341309,11
2,110.0,"{16, 1}",2.096251964569092,11
3,110.0,"{16, 1}",35.275124073028564,11
4,110.0,"{16, 1}",439.48732113838196,11
5,110.0,"{16, 1}",4421.240431070328,11
0,85.80233421750673,set(),0.0063648223876953125,12
1,110.0,{1},0.08545899391174316,12
2,110.0,{1},2.2319040298461914,12
3,110.0,{1},35.590296030044556,12
4,110.0,{1},437.4530601501465,12
5,110.0,{1},4209.287290096283,12
