K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
1,{2},96.84546381743802,{40},88.19473571551913,{2},96.84546381743802,{9},88.54577793420842,96.84546381743802,{2},1.0,0.9106749272405134,1.0,0.9142996940065751,0.05639505386352539,4.0,112,50,productivity (11),0
2,"{2, 31}",103.5,"{40, 7}",88.38573594336147,"{2, 31}",103.5,"{9, 29}",88.76023871852215,103.5,"{2, 31}",1.0,0.8539684632208837,1.0,0.8575868475219531,1.2520558834075928,4.0,112,50,productivity (11),0
3,"{16, 2, 31}",104.0,"{40, 1, 7}",88.83018038780592,"{16, 2, 31}",104.0,"{9, 29, 7}",88.95123894636447,104.0,"{16, 1, 2}",1.0,0.8541363498827492,1.0,0.8553003744842738,20.290961265563965,4.0,112,50,productivity (11),0
4,"{16, 2, 31}",104.0,"{40, 1, 47, 7}",89.11589467352022,"{16, 2, 31}",104.0,"{9, 20, 1, 22}",102.56016042780747,104.0,"{16, 1, 2}",1.0,0.8568836026300021,1.0,0.9861553887289181,250.14689183235168,4.0,112,50,productivity (11),0
5,"{16, 2, 31}",104.0,"{1, 7, 40, 47, 17}",89.11589467352022,"{16, 2, 31}",104.0,"{1, 19, 20, 22, 9}",102.79545454545456,104.0,"{16, 1, 2}",1.0,0.8568836026300021,1.0,0.9884178321678323,2271.4259309768677,4.0,112,50,productivity (11),0
1,{6},103.05819599503808,{40},92.52690618975409,{6},103.05819599503808,{9},91.21768527551453,103.05819599503809,{6},0.9999999999999999,0.89781220500123,0.9999999999999999,0.8851085000547299,0.055130958557128906,4.5,112,50,productivity (11),1
2,"{2, 6}",104.78148148148148,"{40, 7}",92.9374653793532,"{2, 6}",104.78148148148148,"{9, 1}",92.18860285277904,105.5,"{2, 10}",0.9931893979287344,0.8809238424583241,0.9931893979287344,0.8738256194576213,1.368441104888916,4.5,112,50,productivity (11),1
3,"{16, 2, 6}",105.66666666666666,"{40, 1, 7}",94.21019265208048,"{16, 2, 6}",105.66666666666666,"{9, 1, 22}",93.23964070381687,106.0,"{16, 2, 10}",0.9968553459119496,0.8887754023781177,0.9968553459119496,0.8796192519228007,22.752378225326538,4.5,112,50,productivity (11),1
4,"{16, 2, 10, 6}",106.0,"{40, 1, 47, 7}",96.70802740991525,"{16, 2, 10, 6}",106.0,"{9, 20, 1, 22}",105.16666666666666,106.0,"{16, 2, 10}",1.0,0.9123398812256155,1.0,0.9921383647798742,308.35367584228516,4.5,112,50,productivity (11),1
5,"{16, 2, 10, 6}",106.0,"{1, 7, 40, 47, 17}",96.70802740991525,"{16, 2, 10, 6}",106.0,"{1, 20, 22, 9, 29}",105.33333333333331,106.0,"{16, 2, 10}",1.0,0.9123398812256155,1.0,0.9937106918238992,2745.4697132110596,4.5,112,50,productivity (11),1
1,{6},105.025,{40},100.21379576759588,{6},105.025,{9},94.45161840676067,105.025,{6},1.0,0.9541899144736575,1.0,0.899325097898221,0.05871701240539551,5.0,112,50,productivity (11),2
2,"{16, 6}",105.625,"{40, 7}",100.56651579490048,"{16, 6}",105.625,"{9, 1}",96.88093251168166,105.89473684210526,"{16, 2}",0.9974527833001988,0.9496837972679469,0.9974527833001988,0.9148795813727394,1.500636100769043,5.0,112,50,productivity (11),2
3,"{16, 1, 6}",106.0,"{40, 1, 7}",101.88780139270304,"{16, 1, 6}",106.0,"{9, 1, 22}",99.3688356926883,106.0,"{16, 1, 2}",1.0,0.9612056735160665,1.0,0.9374418461574368,25.608675003051758,5.0,112,50,productivity (11),2
4,"{16, 1, 6}",106.0,"{40, 1, 47, 7}",104.61532091097308,"{16, 1, 6}",106.0,"{9, 20, 1, 22}",105.4,106.0,"{16, 1, 2}",1.0,0.9869369897261612,1.0,0.9943396226415094,352.2251830101013,5.0,112,50,productivity (11),2
5,"{16, 1, 6}",106.0,"{1, 7, 40, 47, 17}",104.61532091097308,"{16, 1, 6}",106.0,"{1, 20, 22, 9, 29}",105.5,106.0,"{16, 1, 2}",1.0,0.9869369897261612,1.0,0.9952830188679245,3262.1807947158813,5.0,112,50,productivity (11),2
1,{6},105.71428571428572,{40},105.22104247104248,{6},105.71428571428572,{9},99.84999017102932,105.71428571428572,{6},1.0,0.9953341855368882,1.0,0.9445269340502772,0.14191985130310059,5.5,112,50,productivity (11),3
2,"{1, 6}",106.0,"{40, 7}",105.26129426129428,"{1, 6}",106.0,"{9, 1}",105.18983957219253,106.0,"{1, 2}",1.0,0.9930310779367385,1.0,0.9923569770961559,2.030184030532837,5.5,112,50,productivity (11),3
3,"{1, 6}",106.0,"{40, 1, 7}",106.0,"{1, 6}",106.0,"{9, 1, 22}",106.0,106.0,"{1, 2}",1.0,1.0,1.0,1.0,32.47569298744202,5.5,112,50,productivity (11),3
4,"{1, 6}",106.0,"{40, 1, 47, 7}",106.0,"{1, 6}",106.0,"{9, 29, 1, 22}",106.0,106.0,"{1, 2}",1.0,1.0,1.0,1.0,416.6669719219208,5.5,112,50,productivity (11),3
5,"{1, 6}",106.0,"{1, 7, 40, 47, 17}",106.0,"{1, 6}",106.0,"{1, 22, 7, 9, 29}",106.0,106.0,"{1, 2}",1.0,1.0,1.0,1.0,3656.7754788398743,5.5,112,50,productivity (11),3
1,{26},107.0,{40},106.5,{26},107.0,{9},106.29125138427464,107.0,{26},1.0,0.9953271028037384,1.0,0.9933761811614453,0.0829460620880127,6.0,112,50,productivity (11),4
2,{26},107.0,"{40, 7}",106.5,{26},107.0,"{9, 1}",107.0,107.0,{26},1.0,0.9953271028037384,1.0,1.0,2.072323799133301,6.0,112,50,productivity (11),4
3,{26},107.0,"{40, 1, 7}",106.5,{26},107.0,"{9, 29, 1}",107.0,107.0,{26},1.0,0.9953271028037384,1.0,1.0,35.06202483177185,6.0,112,50,productivity (11),4
4,{26},107.0,"{40, 1, 47, 7}",106.5,{26},107.0,"{9, 29, 1, 7}",107.0,107.0,{26},1.0,0.9953271028037384,1.0,1.0,417.33440589904785,6.0,112,50,productivity (11),4
5,{26},107.0,"{1, 7, 40, 47, 17}",106.5,{26},107.0,"{1, 34, 7, 9, 29}",107.0,107.0,{26},1.0,0.9953271028037384,1.0,1.0,3784.292914867401,6.0,112,50,productivity (11),4
1,{1},107.0,{40},106.73684210526316,{1},107.0,{9},107.0,107.0,{1},1.0,0.9975405804230202,1.0,1.0,0.09433388710021973,6.5,112,50,productivity (11),5
2,{1},107.0,"{40, 7}",106.73684210526316,{1},107.0,"{9, 29}",107.0,107.0,{1},1.0,0.9975405804230202,1.0,1.0,2.2824878692626953,6.5,112,50,productivity (11),5
3,{1},107.0,"{40, 1, 7}",107.0,{1},107.0,"{9, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,35.05508089065552,6.5,112,50,productivity (11),5
4,{1},107.0,"{40, 1, 47, 7}",107.0,{1},107.0,"{9, 34, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,430.9912078380585,6.5,112,50,productivity (11),5
5,{1},107.0,"{1, 7, 40, 47, 17}",107.0,{1},107.0,"{34, 7, 9, 44, 29}",107.0,107.0,{1},1.0,1.0,1.0,1.0,3896.324348926544,6.5,112,50,productivity (11),5
1,{1},107.0,{40},107.0,{1},107.0,{9},107.0,107.0,{1},1.0,1.0,1.0,1.0,0.08152389526367188,7.0,112,50,productivity (11),6
2,{1},107.0,"{40, 7}",107.0,{1},107.0,"{9, 29}",107.0,107.0,{1},1.0,1.0,1.0,1.0,2.119706869125366,7.0,112,50,productivity (11),6
3,{1},107.0,"{40, 1, 7}",107.0,{1},107.0,"{9, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,35.46175694465637,7.0,112,50,productivity (11),6
