[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,80.72518778663611,set(),1,83.16534451848496,{8},{8},83.16534451848496,0
1,96.84546381743802,{2},0,80.72518778663611,set(),{2},96.84546381743802,0
0,80.72518778663611,set(),2,85.72832630792767,"{8, 44}","{8, 44}",85.72832630792767,0
1,96.84546381743802,{2},1,83.16534451848496,{8},"{8, 2}",97.40678291979162,0
2,103.5,"{2, 31}",0,80.72518778663611,set(),"{2, 31}",103.5,0
0,80.72518778663611,set(),3,88.53891331901868,"{8, 11, 44}","{8, 11, 44}",88.53891331901868,0
1,96.84546381743802,{2},2,85.72832630792767,"{8, 44}","{8, 2, 44}",97.40678291979162,0
2,103.5,"{2, 31}",1,83.16534451848496,{8},"{8, 2, 31}",103.5,0
3,104.0,"{16, 2, 31}",0,80.72518778663611,set(),"{16, 2, 31}",104.0,0
0,80.72518778663611,set(),4,91.71880128272926,"{8, 11, 44, 13}","{8, 11, 44, 13}",91.71880128272926,0
1,96.84546381743802,{2},3,88.53891331901868,"{8, 11, 44}","{8, 2, 11, 44}",97.40678291979162,0
2,103.5,"{2, 31}",2,85.72832630792767,"{8, 44}","{8, 2, 44, 31}",103.5,0
3,104.0,"{16, 2, 31}",1,83.16534451848496,{8},"{16, 8, 2, 31}",104.0,0
4,104.0,"{16, 2, 31}",0,80.72518778663611,set(),"{16, 2, 31}",104.0,0
0,80.72518778663611,set(),5,95.15807078945235,"{8, 11, 44, 13, 23}","{23, 8, 11, 44, 13}",95.15807078945235,0
1,96.84546381743802,{2},4,91.71880128272926,"{8, 11, 44, 13}","{2, 8, 11, 44, 13}",97.40678291979162,0
2,103.5,"{2, 31}",3,88.53891331901868,"{8, 11, 44}","{2, 8, 11, 44, 31}",103.5,0
3,104.0,"{16, 2, 31}",2,85.72832630792767,"{8, 44}","{16, 2, 8, 44, 31}",104.0,0
4,104.0,"{16, 2, 31}",1,83.16534451848496,{8},"{16, 8, 2, 31}",104.0,0
5,104.0,"{16, 2, 31}",0,80.72518778663611,set(),"{16, 2, 31}",104.0,0
0,81.70543406960105,set(),1,84.48879870061124,{8},{8},84.48879870061124,1
1,103.05819599503809,{6},0,81.70543406960105,set(),{6},103.05819599503809,1
0,81.70543406960105,set(),2,86.91561786945053,"{8, 44}","{8, 44}",86.91561786945053,1
1,103.05819599503809,{6},1,84.48879870061124,{8},"{8, 6}",103.20488215488216,1
2,104.78148148148148,"{2, 6}",0,81.70543406960105,set(),"{2, 6}",104.78148148148148,1
0,81.70543406960105,set(),3,89.31146594938342,"{8, 44, 13}","{8, 44, 13}",89.31146594938342,1
1,103.05819599503809,{6},2,86.91561786945053,"{8, 44}","{8, 44, 6}",103.36150013270755,1
2,104.78148148148148,"{2, 6}",1,84.48879870061124,{8},"{8, 2, 6}",104.78148148148148,1
3,105.66666666666666,"{16, 2, 6}",0,81.70543406960105,set(),"{16, 2, 6}",105.66666666666666,1
0,81.70543406960105,set(),4,91.88927553322074,"{8, 44, 13, 23}","{8, 44, 13, 23}",91.88927553322074,1
1,103.05819599503809,{6},3,89.31146594938342,"{8, 44, 13}","{8, 44, 13, 6}",103.53599326599326,1
