[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,80.72518778663611,set(),1,81.34300075937088,{29},{29},81.34300075937088,0
1,88.54577793420842,{9},0,80.72518778663611,set(),{9},88.54577793420842,0
0,80.72518778663611,set(),2,81.58961833982724,"{29, 7}","{29, 7}",81.58961833982724,0
1,88.54577793420842,{9},1,81.34300075937088,{29},"{9, 29}",88.76023871852215,0
2,88.65388604231653,"{9, 1}",0,80.72518778663611,set(),"{9, 1}",88.65388604231653,0
0,80.72518778663611,set(),3,83.1984367120238,"{34, 29, 7}","{34, 29, 7}",83.1984367120238,0
1,88.54577793420842,{9},2,81.58961833982724,"{29, 7}","{9, 29, 7}",88.95123894636447,0
2,88.65388604231653,"{9, 1}",1,81.34300075937088,{29},"{9, 29, 1}",88.86834682663026,0
3,88.93960032803082,"{9, 1, 22}",0,80.72518778663611,set(),"{9, 1, 22}",88.93960032803082,0
0,80.72518778663611,set(),4,85.61086347841149,"{34, 44, 29, 7}","{34, 44, 29, 7}",85.61086347841149,0
1,88.54577793420842,{9},3,83.1984367120238,"{34, 29, 7}","{9, 34, 29, 7}",89.54615095300251,0
2,88.65388604231653,"{9, 1}",2,81.58961833982724,"{29, 7}","{9, 29, 1, 7}",89.05934705447258,0
3,88.93960032803082,"{9, 1, 22}",1,81.34300075937088,{29},"{9, 29, 1, 22}",89.15406111234455,0
4,102.56016042780749,"{9, 20, 1, 22}",0,80.72518778663611,set(),"{9, 20, 1, 22}",102.56016042780749,0
0,80.72518778663611,set(),5,87.33603815295253,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",87.33603815295253,0
1,88.54577793420842,{9},4,85.61086347841149,"{34, 44, 29, 7}","{34, 7, 9, 44, 29}",91.86107222670685,0
2,88.65388604231653,"{9, 1}",3,83.1984367120238,"{34, 29, 7}","{1, 34, 7, 9, 29}",89.65425906111062,0
3,88.93960032803082,"{9, 1, 22}",2,81.58961833982724,"{29, 7}","{1, 22, 7, 9, 29}",89.34506134018687,0
4,102.56016042780749,"{9, 20, 1, 22}",1,81.34300075937088,{29},"{1, 20, 22, 9, 29}",102.77462121212122,0
5,102.79545454545455,"{1, 9, 19, 20, 22}",0,80.72518778663611,set(),"{1, 19, 20, 22, 9}",102.79545454545455,0
0,81.70543406960105,set(),1,82.36025336116492,{29},{29},82.36025336116492,1
1,91.21768527551453,{9},0,81.70543406960105,set(),{9},91.21768527551453,1
0,81.70543406960105,set(),2,82.97049674427475,"{29, 7}","{29, 7}",82.97049674427475,1
1,91.21768527551453,{9},1,82.36025336116492,{29},"{9, 29}",91.40841611330418,1
2,92.18860285277903,"{9, 1}",0,81.70543406960105,set(),"{9, 1}",92.18860285277903,1
0,81.70543406960105,set(),3,84.85716274589363,"{34, 29, 7}","{34, 29, 7}",84.85716274589363,1
1,91.21768527551453,{9},2,82.97049674427475,"{29, 7}","{9, 29, 7}",91.71003138295369,1
2,92.18860285277903,"{9, 1}",1,82.36025336116492,{29},"{9, 29, 1}",92.35526951944568,1
3,93.23964070381687,"{9, 1, 22}",0,81.70543406960105,set(),"{9, 1, 22}",93.23964070381687,1
0,81.70543406960105,set(),4,87.18375323135507,"{34, 44, 29, 7}","{34, 44, 29, 7}",87.18375323135507,1
1,91.21768527551453,{9},3,84.85716274589363,"{34, 29, 7}","{9, 34, 29, 7}",92.38906199079054,1
2,92.18860285277903,"{9, 1}",2,82.97049674427475,"{29, 7}","{9, 29, 1, 7}",92.6332288751167,1
3,93.23964070381687,"{9, 1, 22}",1,82.36025336116492,{29},"{9, 29, 1, 22}",93.40630737048355,1
4,105.16666666666666,"{9, 20, 1, 22}",0,81.70543406960105,set(),"{9, 20, 1, 22}",105.16666666666666,1
0,81.70543406960105,set(),5,89.26407267424273,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",89.26407267424273,1
1,91.21768527551453,{9},4,87.18375323135507,"{34, 44, 29, 7}","{34, 7, 9, 44, 29}",94.28272761920827,1
2,92.18860285277903,"{9, 1}",3,84.85716274589363,"{34, 29, 7}","{1, 34, 7, 9, 29}",93.26140394481351,1
3,93.23964070381687,"{9, 1, 22}",2,82.97049674427475,"{29, 7}","{1, 22, 7, 9, 29}",93.65577669766452,1
4,105.16666666666666,"{9, 20, 1, 22}",1,82.36025336116492,{29},"{1, 20, 22, 9, 29}",105.33333333333333,1
5,105.16666666666666,"{1, 9, 19, 20, 22}",0,81.70543406960105,set(),"{1, 19, 20, 22, 9}",105.16666666666666,1
0,82.19093267191724,set(),1,82.71311187969192,{29},{29},82.71311187969192,2
1,94.45161840676067,{9},0,82.19093267191724,set(),{9},94.45161840676067,2
0,82.19093267191724,set(),2,83.90364772245692,"{29, 7}","{29, 7}",83.90364772245692,2
1,94.45161840676067,{9},1,82.71311187969192,{29},"{9, 29}",94.55161840676068,2
2,96.88093251168166,"{9, 1}",0,82.19093267191724,set(),"{9, 1}",96.88093251168166,2
0,82.19093267191724,set(),3,85.85031352559344,"{34, 29, 7}","{34, 29, 7}",85.85031352559344,2
1,94.45161840676067,{9},2,83.90364772245692,"{29, 7}","{9, 29, 7}",95.09087534380514,2
2,96.88093251168166,"{9, 1}",1,82.71311187969192,{29},"{9, 29, 1}",96.98093251168166,2
3,99.3688356926883,"{9, 1, 22}",0,82.19093267191724,set(),"{9, 1, 22}",99.3688356926883,2
0,82.19093267191724,set(),4,87.99096836455614,"{34, 44, 29, 7}","{34, 44, 29, 7}",87.99096836455614,2
1,94.45161840676067,{9},3,85.85031352559344,"{34, 29, 7}","{9, 34, 29, 7}",95.64988736694563,2
2,96.88093251168166,"{9, 1}",2,83.90364772245692,"{29, 7}","{9, 29, 1, 7}",97.4322701201553,2
3,99.3688356926883,"{9, 1, 22}",1,82.71311187969192,{29},"{9, 29, 1, 22}",99.4688356926883,2
4,105.4,"{9, 20, 1, 22}",0,82.19093267191724,set(),"{9, 20, 1, 22}",105.4,2
0,82.19093267191724,set(),5,90.12078085887211,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",90.12078085887211,2
1,94.45161840676067,{9},4,87.99096836455614,"{34, 44, 29, 7}","{34, 7, 9, 44, 29}",96.88216713671339,2
2,96.88093251168166,"{9, 1}",3,85.85031352559344,"{34, 29, 7}","{1, 34, 7, 9, 29}",97.92314667570476,2
3,99.3688356926883,"{9, 1, 22}",2,83.90364772245692,"{29, 7}","{1, 22, 7, 9, 29}",99.82498644522457,2
4,105.4,"{9, 20, 1, 22}",1,82.71311187969192,{29},"{1, 20, 22, 9, 29}",105.5,2
5,105.4,"{1, 9, 19, 20, 22}",0,82.19093267191724,set(),"{1, 19, 20, 22, 9}",105.4,2
0,82.80194989964043,set(),1,83.320440555204,{29},{29},83.320440555204,3
1,99.84999017102933,{9},0,82.80194989964043,set(),{9},99.84999017102933,3
0,82.80194989964043,set(),2,84.90848291168804,"{29, 7}","{29, 7}",84.90848291168804,3
1,99.84999017102933,{9},1,83.320440555204,{29},"{9, 29}",99.84999017102933,3
2,105.18983957219251,"{9, 1}",0,82.80194989964043,set(),"{9, 1}",105.18983957219251,3
0,82.80194989964043,set(),3,86.95463793330792,"{34, 29, 7}","{34, 29, 7}",86.95463793330792,3
1,99.84999017102933,{9},2,84.90848291168804,"{29, 7}","{9, 29, 7}",100.26317566204791,3
2,105.18983957219251,"{9, 1}",1,83.320440555204,{29},"{9, 29, 1}",105.18983957219251,3
3,106.0,"{9, 1, 22}",0,82.80194989964043,set(),"{9, 1, 22}",106.0,3
0,82.80194989964043,set(),4,88.93510276658098,"{34, 44, 29, 7}","{34, 44, 29, 7}",88.93510276658098,3
1,99.84999017102933,{9},3,86.95463793330792,"{34, 29, 7}","{9, 34, 29, 7}",100.64776394153418,3
2,105.18983957219251,"{9, 1}",2,84.90848291168804,"{29, 7}","{9, 29, 1, 7}",105.25757575757575,3
3,106.0,"{9, 1, 22}",1,83.320440555204,{29},"{9, 29, 1, 22}",106.0,3
4,106.0,"{9, 20, 1, 22}",0,82.80194989964043,set(),"{9, 20, 1, 22}",106.0,3
0,82.80194989964043,set(),5,91.14683920150048,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",91.14683920150048,3
1,99.84999017102933,{9},4,88.93510276658098,"{34, 44, 29, 7}","{34, 7, 9, 44, 29}",101.22595585319647,3
2,105.18983957219251,"{9, 1}",3,86.95463793330792,"{34, 29, 7}","{1, 34, 7, 9, 29}",105.32963709677419,3
3,106.0,"{9, 1, 22}",2,84.90848291168804,"{29, 7}","{1, 22, 7, 9, 29}",106.0,3
4,106.0,"{9, 20, 1, 22}",1,83.320440555204,{29},"{1, 20, 22, 9, 29}",106.0,3
5,106.0,"{1, 9, 19, 20, 22}",0,82.80194989964043,set(),"{1, 19, 20, 22, 9}",106.0,3
0,83.38658754573216,set(),1,84.3366460150269,{29},{29},84.3366460150269,4
1,106.29125138427464,{9},0,83.38658754573216,set(),{9},106.29125138427464,4
0,83.38658754573216,set(),2,86.03676186334954,"{29, 7}","{29, 7}",86.03676186334954,4
1,106.29125138427464,{9},1,84.3366460150269,{29},"{9, 29}",106.29125138427464,4
2,107.0,"{9, 1}",0,83.38658754573216,set(),"{9, 1}",107.0,4
0,83.38658754573216,set(),3,88.08598435067171,"{34, 29, 7}","{34, 29, 7}",88.08598435067171,4
1,106.29125138427464,{9},2,86.03676186334954,"{29, 7}","{9, 29, 7}",106.34668989547038,4
2,107.0,"{9, 1}",1,84.3366460150269,{29},"{9, 29, 1}",107.0,4
3,107.0,"{9, 1, 22}",0,83.38658754573216,set(),"{9, 1, 22}",107.0,4
0,83.38658754573216,set(),4,90.0670487660309,"{34, 44, 29, 7}","{34, 44, 29, 7}",90.0670487660309,4
1,106.29125138427464,{9},3,88.08598435067171,"{34, 29, 7}","{9, 34, 29, 7}",106.40487804878049,4
2,107.0,"{9, 1}",2,86.03676186334954,"{29, 7}","{9, 29, 1, 7}",107.0,4
3,107.0,"{9, 1, 22}",1,84.3366460150269,{29},"{9, 29, 1, 22}",107.0,4
4,107.0,"{9, 20, 1, 22}",0,83.38658754573216,set(),"{9, 20, 1, 22}",107.0,4
0,83.38658754573216,set(),5,92.35230581389497,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",92.35230581389497,4
1,106.29125138427464,{9},4,90.0670487660309,"{34, 44, 29, 7}","{34, 7, 9, 44, 29}",106.46602564102564,4
