K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,96.84546381743802,{2},88.54577793420842,{9},96.84546381743802,{2},88.19473571551913,{40},104.0,"{16, 2, 31}",104,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0937332764685457,0.9312063828599809,0.8514017109058502,1.0980866718601285,0.9312063828599809,0.8480263049569147,0.07153987884521484,0.0015249252319335938,4.0,112,50,productivity (11),0
2,103.5,"{2, 31}",88.76023871852215,"{9, 29}",103.5,"{2, 31}",88.38573594336147,"{40, 7}",104.0,"{16, 2, 31}",104,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1660626592974903,0.9951923076923077,0.8534638338319437,1.1710034305345822,0.9951923076923077,0.8498628456092449,0.14342308044433594,0.0009441375732421875,4.0,112,50,productivity (11),0
3,104.0,"{16, 2, 31}",88.95123894636447,"{9, 29, 7}",104.0,"{16, 2, 31}",88.83018038780592,"{40, 1, 7}",104.0,"{16, 2, 31}",104,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.169179892623076,1.0,0.8553003744842738,1.1707732613619288,1.0,0.8541363498827492,0.20698070526123047,0.0014011859893798828,4.0,112,50,productivity (11),0
4,104.0,"{16, 2, 31}",102.56016042780749,"{9, 20, 1, 22}",104.0,"{16, 2, 31}",89.11589467352022,"{40, 1, 47, 7}",104.0,"{16, 2, 31}",104,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0140389754285342,1.0,0.9861553887289182,1.1670196476286112,1.0,0.8568836026300021,0.25205087661743164,0.0008981227874755859,4.0,112,50,productivity (11),0
5,104.0,"{16, 2, 31}",102.79545454545455,"{1, 19, 20, 22, 9}",104.0,"{16, 2, 31}",89.11589467352022,"{1, 7, 40, 47, 17}",104.0,"{16, 2, 31}",104,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0117178863586116,1.0,0.9884178321678322,1.1670196476286112,1.0,0.8568836026300021,0.3249061107635498,0.0017042160034179688,4.0,112,50,productivity (11),0
1,103.05819599503809,{6},91.21768527551453,{9},103.05819599503809,{6},92.52690618975409,{40},106.0,"{16, 2, 10, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.129804989939839,0.9722471320286612,0.8605442007124012,1.1138186743614495,0.9722471320286612,0.8728953414127744,0.09399700164794922,0.0020151138305664062,4.5,112,50,productivity (11),1
2,104.78148148148148,"{2, 6}",92.18860285277903,"{9, 1}",104.78148148148148,"{2, 6}",92.93746537935321,"{40, 7}",106.0,"{16, 2, 10, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1365990831731412,0.9885045422781271,0.8697038004979154,1.12744070492759,0.9885045422781271,0.876768541314653,0.19365191459655762,0.0017998218536376953,4.5,112,50,productivity (11),1
3,105.66666666666666,"{16, 2, 6}",93.23964070381687,"{9, 1, 22}",105.66666666666666,"{16, 2, 6}",94.21019265208048,"{40, 1, 7}",106.0,"{16, 2, 10, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1332805003220165,0.9968553459119496,0.8796192519228007,1.1216054621275968,0.9968553459119496,0.8887754023781177,0.23274707794189453,0.001992940902709961,4.5,112,50,productivity (11),1
4,106.0,"{16, 2, 10, 6}",105.16666666666666,"{9, 20, 1, 22}",106.0,"{16, 2, 10, 6}",96.70802740991525,"{40, 1, 47, 7}",106.0,"{16, 2, 10, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0079239302694136,1.0,0.9921383647798742,1.096082743480011,1.0,0.9123398812256155,0.3577699661254883,0.0020258426666259766,4.5,112,50,productivity (11),1
5,106.0,"{16, 2, 10, 6}",105.33333333333333,"{1, 20, 22, 9, 29}",106.0,"{16, 2, 10, 6}",96.70802740991525,"{1, 7, 40, 47, 17}",106.0,"{16, 2, 10, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0063291139240507,1.0,0.9937106918238994,1.096082743480011,1.0,0.9123398812256155,0.4291830062866211,0.001997232437133789,4.5,112,50,productivity (11),1
