K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,set(),106.0,{7},106.0,set(),106.0,{8},106.0,106.0,set(),1.0,1.0,1.0,1.0,0.015636920928955078,1,206,35,studentmath (30),0
2,set(),106.0,"{1, 7}",106.0,set(),106.0,"{8, 3}",106.0,106.0,set(),1.0,1.0,1.0,1.0,0.26894402503967285,1,206,35,studentmath (30),0
3,set(),106.0,"{1, 19, 7}",106.0,set(),106.0,"{8, 3, 15}",106.0,106.0,set(),1.0,1.0,1.0,1.0,3.0318398475646973,1,206,35,studentmath (30),0
4,set(),106.0,"{1, 19, 15, 7}",106.0,set(),106.0,"{8, 3, 14, 15}",106.0,106.0,set(),1.0,1.0,1.0,1.0,24.74700093269348,1,206,35,studentmath (30),0
5,set(),106.0,"{1, 7, 14, 15, 19}",106.0,set(),106.0,"{3, 37, 8, 14, 15}",106.0,106.0,set(),1.0,1.0,1.0,1.0,148.5590319633484,1,206,35,studentmath (30),0
1,{38},117.5,{7},107.5,{38},117.5,{37},111.5,117.5,{38},1.0,0.9148936170212766,1.0,0.948936170212766,0.015552997589111328,2,206,38,studentmath (30),1
2,"{2, 38}",125.5,"{1, 7}",109.0,"{2, 38}",125.5,"{37, 6}",115.5,125.5,"{2, 38}",1.0,0.8685258964143426,1.0,0.9203187250996016,0.294173002243042,2,206,38,studentmath (30),1
3,"{2, 10, 38}",130.0,"{1, 18, 7}",109.5,"{2, 10, 38}",130.0,"{8, 3, 37}",120.0,130.0,"{2, 10, 38}",1.0,0.8423076923076923,1.0,0.9230769230769231,4.324138879776001,2,206,38,studentmath (30),1
4,"{2, 10, 38, 6}",133.5,"{1, 18, 15, 7}",109.5,"{2, 10, 38, 6}",133.5,"{8, 3, 37, 6}",123.5,133.5,"{38, 2, 10, 6}",1.0,0.8202247191011236,1.0,0.9250936329588015,34.19088578224182,2,206,38,studentmath (30),1
5,"{0, 2, 38, 6, 10}",136.5,"{1, 7, 14, 15, 18}",110.5,"{0, 2, 38, 6, 10}",136.5,"{0, 3, 37, 6, 8}",126.0,136.5,"{0, 2, 38, 6, 10}",1.0,0.8095238095238095,1.0,0.9230769230769231,246.5775921344757,2,206,38,studentmath (30),1
1,{38},116.66666666666671,{7},105.3333333333334,{38},116.66666666666671,{6},112.00000000000009,116.66666666666673,{38},0.9999999999999999,0.9028571428571429,0.9999999999999999,0.9600000000000002,0.018124103546142578,3,206,39,studentmath (30),2
2,"{2, 38}",132.0,"{1, 7}",107.66666666666671,"{2, 38}",132.0,"{0, 6}",119.66666666666674,132.0,"{2, 38}",1.0,0.815656565656566,1.0,0.9065656565656571,0.3673889636993408,3,206,39,studentmath (30),2
3,"{2, 38, 6}",141.66666666666669,"{1, 18, 7}",108.66666666666671,"{2, 38, 6}",141.66666666666669,"{0, 27, 6}",122.3333333333334,141.66666666666669,"{38, 2, 6}",1.0,0.767058823529412,1.0,0.8635294117647062,4.615818023681641,3,206,39,studentmath (30),2
4,"{0, 2, 38, 6}",148.33333333333334,"{1, 18, 15, 7}",109.3333333333334,"{0, 2, 38, 6}",148.33333333333334,"{0, 27, 6, 7}",127.33333333333334,148.33333333333334,"{0, 38, 2, 6}",1.0,0.7370786516853937,1.0,0.8584269662921349,44.35810422897339,3,206,39,studentmath (30),2
5,"{0, 2, 38, 6, 28}",153.0,"{1, 7, 14, 15, 18}",110.66666666666674,"{0, 2, 38, 6, 28}",153.0,"{0, 7, 6, 39, 27}",130.66666666666666,153.0,"{0, 2, 38, 6, 28}",1.0,0.7233115468409591,1.0,0.8540305010893245,318.0797986984253,3,206,39,studentmath (30),2
1,{2},125.0,{7},114.0,{2},125.0,{6},117.75,125.0,{2},1.0,0.912,1.0,0.942,0.020920991897583008,4,206,39,studentmath (30),3
2,"{2, 38}",144.0,"{1, 7}",117.0,"{2, 38}",144.0,"{0, 6}",130.25,144.0,"{2, 38}",1.0,0.8125,1.0,0.9045138888888888,0.4156780242919922,4,206,39,studentmath (30),3
3,"{0, 2, 38}",154.75,"{1, 18, 7}",119.0,"{0, 2, 38}",154.75,"{0, 27, 6}",135.25,154.75,"{0, 2, 38}",1.0,0.7689822294022617,1.0,0.8739903069466882,5.521623849868774,4,206,39,studentmath (30),3
4,"{0, 2, 38, 6}",162.5,"{1, 18, 15, 7}",119.5,"{0, 2, 38, 6}",162.5,"{0, 27, 6, 7}",145.0,162.5,"{0, 38, 2, 6}",1.0,0.7353846153846154,1.0,0.8923076923076924,62.366002321243286,4,206,39,studentmath (30),3
