[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,106.0,set(),1,106.0,set(),set(),106.0,0
1,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),2,106.0,set(),set(),106.0,0
1,106.0,set(),1,106.0,set(),set(),106.0,0
2,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),3,106.0,set(),set(),106.0,0
1,106.0,set(),2,106.0,set(),set(),106.0,0
2,106.0,set(),1,106.0,set(),set(),106.0,0
3,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),4,106.0,set(),set(),106.0,0
1,106.0,set(),3,106.0,set(),set(),106.0,0
2,106.0,set(),2,106.0,set(),set(),106.0,0
3,106.0,set(),1,106.0,set(),set(),106.0,0
4,106.0,set(),0,106.0,set(),set(),106.0,0
0,106.0,set(),5,106.0,set(),set(),106.0,0
1,106.0,set(),4,106.0,set(),set(),106.0,0
2,106.0,set(),3,106.0,set(),set(),106.0,0
3,106.0,set(),2,106.0,set(),set(),106.0,0
4,106.0,set(),1,106.0,set(),set(),106.0,0
5,106.0,set(),0,106.0,set(),set(),106.0,0
0,107.0,set(),1,116.0,{10},{10},116.0,1
1,117.5,{38},0,107.0,set(),{38},117.5,1
0,107.0,set(),2,122.5,"{10, 3}","{10, 3}",122.5,1
1,117.5,{38},1,116.0,{10},"{10, 38}",123.0,1
2,125.5,"{2, 38}",0,107.0,set(),"{2, 38}",125.5,1
0,107.0,set(),3,127.5,"{17, 10, 3}","{17, 10, 3}",127.5,1
1,117.5,{38},2,122.5,"{10, 3}","{10, 3, 38}",127.0,1
2,125.5,"{2, 38}",1,116.0,{10},"{2, 10, 38}",130.0,1
3,129.5,"{2, 38, 6}",0,107.0,set(),"{2, 38, 6}",129.5,1
0,107.0,set(),4,132.0,"{17, 10, 3, 37}","{17, 10, 3, 37}",132.0,1
1,117.5,{38},3,127.5,"{17, 10, 3}","{17, 10, 3, 38}",131.5,1
2,125.5,"{2, 38}",2,122.5,"{10, 3}","{3, 2, 10, 38}",132.0,1
3,129.5,"{2, 38, 6}",1,116.0,{10},"{2, 10, 38, 6}",133.5,1
4,132.5,"{0, 2, 38, 6}",0,107.0,set(),"{0, 2, 38, 6}",132.5,1
0,107.0,set(),5,135.5,"{3, 37, 10, 11, 17}","{17, 3, 37, 10, 11}",135.5,1
1,117.5,{38},4,132.0,"{17, 10, 3, 37}","{17, 3, 37, 38, 10}",134.5,1
2,125.5,"{2, 38}",3,127.5,"{17, 10, 3}","{17, 2, 3, 38, 10}",135.5,1
3,129.5,"{2, 38, 6}",2,122.5,"{10, 3}","{2, 3, 38, 6, 10}",135.5,1
4,132.5,"{0, 2, 38, 6}",1,116.0,{10},"{0, 2, 38, 6, 10}",136.5,1
5,135.5,"{0, 2, 38, 39, 6}",0,107.0,set(),"{0, 2, 38, 39, 6}",135.5,1
0,100.3333333333334,set(),1,109.83333333333343,{10},{10},109.83333333333343,2
1,116.66666666666673,{38},0,100.3333333333334,set(),{38},116.66666666666673,2
0,100.3333333333334,set(),2,120.33333333333346,"{17, 10}","{17, 10}",120.33333333333346,2
1,116.66666666666673,{38},1,109.83333333333343,{10},"{10, 38}",122.83333333333339,2
2,132.0,"{2, 38}",0,100.3333333333334,set(),"{2, 38}",132.0,2
0,100.3333333333334,set(),3,129.66666666666674,"{17, 10, 3}","{17, 10, 3}",129.66666666666674,2
1,116.66666666666673,{38},2,120.33333333333346,"{17, 10}","{17, 10, 38}",131.83333333333337,2
2,132.0,"{2, 38}",1,109.83333333333343,{10},"{2, 10, 38}",136.33333333333331,2
3,141.66666666666669,"{2, 38, 6}",0,100.3333333333334,set(),"{2, 38, 6}",141.66666666666669,2
0,100.3333333333334,set(),4,135.33333333333337,"{11, 17, 10, 3}","{11, 17, 10, 3}",135.33333333333337,2
1,116.66666666666673,{38},3,129.66666666666674,"{17, 10, 3}","{17, 10, 3, 38}",136.50000000000003,2
