[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,106.0,set(),1,106.0,{8},{8},106.0,0
1,106.0,{6},0,106.0,set(),{6},106.0,0
0,106.0,set(),2,106.0,"{8, 3}","{8, 3}",106.0,0
1,106.0,{6},1,106.0,{8},"{8, 6}",106.0,0
2,106.0,"{0, 6}",0,106.0,set(),"{0, 6}",106.0,0
0,106.0,set(),3,106.0,"{8, 3, 15}","{8, 3, 15}",106.0,0
1,106.0,{6},2,106.0,"{8, 3}","{8, 3, 6}",106.0,0
2,106.0,"{0, 6}",1,106.0,{8},"{0, 8, 6}",106.0,0
3,106.0,"{0, 28, 6}",0,106.0,set(),"{0, 28, 6}",106.0,0
0,106.0,set(),4,106.0,"{8, 3, 14, 15}","{8, 3, 14, 15}",106.0,0
1,106.0,{6},3,106.0,"{8, 3, 15}","{8, 3, 6, 15}",106.0,0
2,106.0,"{0, 6}",2,106.0,"{8, 3}","{0, 8, 3, 6}",106.0,0
3,106.0,"{0, 28, 6}",1,106.0,{8},"{0, 8, 28, 6}",106.0,0
4,106.0,"{0, 28, 6, 7}",0,106.0,set(),"{0, 28, 6, 7}",106.0,0
0,106.0,set(),5,106.0,"{3, 37, 8, 14, 15}","{3, 37, 8, 14, 15}",106.0,0
1,106.0,{6},4,106.0,"{8, 3, 14, 15}","{3, 6, 8, 14, 15}",106.0,0
2,106.0,"{0, 6}",3,106.0,"{8, 3, 15}","{0, 3, 6, 8, 15}",106.0,0
3,106.0,"{0, 28, 6}",2,106.0,"{8, 3}","{0, 3, 6, 8, 28}",106.0,0
4,106.0,"{0, 28, 6, 7}",1,106.0,{8},"{0, 6, 7, 8, 28}",106.0,0
5,106.0,"{0, 6, 39, 7, 28}",0,106.0,set(),"{0, 7, 6, 39, 28}",106.0,0
0,107.0,set(),1,111.5,{37},{37},111.5,1
1,111.0,{6},0,107.0,set(),{6},111.0,1
0,107.0,set(),2,113.5,"{8, 37}","{8, 37}",113.5,1
1,111.0,{6},1,111.5,{37},"{37, 6}",115.5,1
2,114.0,"{0, 6}",0,107.0,set(),"{0, 6}",114.0,1
0,107.0,set(),3,120.0,"{8, 3, 37}","{8, 3, 37}",120.0,1
1,111.0,{6},2,113.5,"{8, 37}","{8, 37, 6}",117.0,1
2,114.0,"{0, 6}",1,111.5,{37},"{0, 37, 6}",118.0,1
3,116.0,"{0, 27, 6}",0,107.0,set(),"{0, 27, 6}",116.0,1
0,107.0,set(),4,120.0,"{8, 3, 37, 15}","{8, 3, 37, 15}",120.0,1
1,111.0,{6},3,120.0,"{8, 3, 37}","{8, 3, 37, 6}",123.5,1
2,114.0,"{0, 6}",2,113.5,"{8, 37}","{0, 8, 37, 6}",119.5,1
3,116.0,"{0, 27, 6}",1,111.5,{37},"{0, 27, 37, 6}",120.0,1
4,116.5,"{0, 27, 6, 7}",0,107.0,set(),"{0, 27, 6, 7}",116.5,1
0,107.0,set(),5,121.0,"{3, 37, 8, 14, 15}","{3, 37, 8, 14, 15}",121.0,1
1,111.0,{6},4,120.0,"{8, 3, 37, 15}","{3, 37, 6, 8, 15}",123.5,1
2,114.0,"{0, 6}",3,120.0,"{8, 3, 37}","{0, 3, 37, 6, 8}",126.0,1
3,116.0,"{0, 27, 6}",2,113.5,"{8, 37}","{0, 37, 6, 8, 27}",121.5,1
4,116.5,"{0, 27, 6, 7}",1,111.5,{37},"{0, 37, 6, 7, 27}",120.5,1
5,119.5,"{0, 6, 39, 7, 27}",0,107.0,set(),"{0, 7, 6, 39, 27}",119.5,1
0,100.3333333333334,set(),1,102.00000000000007,{36},{36},102.00000000000007,2
1,112.00000000000009,{6},0,100.3333333333334,set(),{6},112.00000000000009,2
0,100.3333333333334,set(),2,103.8333333333334,"{8, 36}","{8, 36}",103.8333333333334,2
1,112.00000000000009,{6},1,102.00000000000007,{36},"{36, 6}",113.33333333333344,2
2,119.66666666666674,"{0, 6}",0,100.3333333333334,set(),"{0, 6}",119.66666666666674,2
0,100.3333333333334,set(),3,112.83333333333339,"{8, 3, 36}","{8, 3, 36}",112.83333333333339,2
1,112.00000000000009,{6},2,103.8333333333334,"{8, 36}","{8, 36, 6}",114.66666666666676,2
2,119.66666666666674,"{0, 6}",1,102.00000000000007,{36},"{0, 36, 6}",121.00000000000007,2
3,122.33333333333339,"{0, 27, 6}",0,100.3333333333334,set(),"{0, 27, 6}",122.33333333333339,2
0,100.3333333333334,set(),4,113.66666666666671,"{8, 3, 36, 15}","{8, 3, 36, 15}",113.66666666666671,2
1,112.00000000000009,{6},3,112.83333333333339,"{8, 3, 36}","{8, 3, 36, 6}",123.00000000000003,2
2,119.66666666666674,"{0, 6}",2,103.8333333333334,"{8, 36}","{0, 8, 36, 6}",121.66666666666673,2
3,122.33333333333339,"{0, 27, 6}",1,102.00000000000007,{36},"{0, 27, 36, 6}",123.66666666666673,2
4,127.33333333333334,"{0, 27, 6, 7}",0,100.3333333333334,set(),"{0, 27, 6, 7}",127.33333333333334,2
0,100.3333333333334,set(),5,115.3333333333334,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",115.3333333333334,2
1,112.00000000000009,{6},4,113.66666666666671,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",123.83333333333336,2
2,119.66666666666674,"{0, 6}",3,112.83333333333339,"{8, 3, 36}","{0, 3, 36, 6, 8}",129.16666666666669,2
3,122.33333333333339,"{0, 27, 6}",2,103.8333333333334,"{8, 36}","{0, 36, 6, 8, 27}",124.3333333333334,2
4,127.33333333333334,"{0, 27, 6, 7}",1,102.00000000000007,{36},"{0, 36, 6, 7, 27}",128.66666666666669,2
5,130.66666666666666,"{0, 6, 39, 7, 27}",0,100.3333333333334,set(),"{0, 7, 6, 39, 27}",130.66666666666666,2
0,103.75,set(),1,105.08333333333334,{36},{36},105.08333333333334,3
1,117.75,{6},0,103.75,set(),{6},117.75,3
0,103.75,set(),2,106.5,"{8, 36}","{8, 36}",106.5,3
1,117.75,{6},1,105.08333333333334,{36},"{36, 6}",118.83333333333333,3
2,130.25,"{0, 6}",0,103.75,set(),"{0, 6}",130.25,3
0,103.75,set(),3,117.33333333333339,"{8, 3, 36}","{8, 3, 36}",117.33333333333339,3
1,117.75,{6},2,106.5,"{8, 36}","{8, 36, 6}",119.75,3
2,130.25,"{0, 6}",1,105.08333333333334,{36},"{0, 36, 6}",131.16666666666669,3
3,135.25,"{0, 27, 6}",0,103.75,set(),"{0, 27, 6}",135.25,3
0,103.75,set(),4,117.91666666666671,"{8, 3, 36, 15}","{8, 3, 36, 15}",117.91666666666671,3
1,117.75,{6},3,117.33333333333339,"{8, 3, 36}","{8, 3, 36, 6}",128.58333333333337,3
2,130.25,"{0, 6}",2,106.5,"{8, 36}","{0, 8, 36, 6}",131.58333333333334,3
3,135.25,"{0, 27, 6}",1,105.08333333333334,{36},"{0, 27, 36, 6}",136.16666666666669,3
4,145.0,"{0, 27, 6, 7}",0,103.75,set(),"{0, 27, 6, 7}",145.0,3
0,103.75,set(),5,119.5833333333334,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",119.5833333333334,3
