K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,106.0,set(),106.0,{8},106.0,set(),106.0,{7},106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.01450490951538086,0.00038623809814453125,1,206,35,studentmath (30),0
2,106.0,set(),106.0,"{8, 3}",106.0,set(),106.0,"{1, 7}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.014143943786621094,0.00074005126953125,1,206,35,studentmath (30),0
3,106.0,set(),106.0,"{8, 3, 15}",106.0,set(),106.0,"{1, 19, 7}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.012386083602905273,0.0005009174346923828,1,206,35,studentmath (30),0
4,106.0,set(),106.0,"{8, 3, 14, 15}",106.0,set(),106.0,"{1, 19, 15, 7}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.013438940048217773,0.0004019737243652344,1,206,35,studentmath (30),0
5,106.0,set(),106.0,"{3, 37, 8, 14, 15}",106.0,set(),106.0,"{1, 7, 14, 15, 19}",106.0,set(),106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.015759944915771484,0.0004019737243652344,1,206,35,studentmath (30),0
1,117.5,{38},111.5,{37},117.5,{38},107.5,{7},154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.053811659192825,0.762987012987013,0.724025974025974,1.0930232558139534,0.762987012987013,0.698051948051948,0.018592119216918945,0.00044417381286621094,2,206,38,studentmath (30),1
2,125.5,"{2, 38}",115.5,"{37, 6}",125.5,"{2, 38}",109.0,"{1, 7}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0865800865800865,0.814935064935065,0.75,1.151376146788991,0.814935064935065,0.7077922077922078,0.033628225326538086,0.00048804283142089844,2,206,38,studentmath (30),1
3,130.0,"{2, 10, 38}",120.0,"{8, 3, 37}",130.0,"{2, 10, 38}",109.5,"{1, 18, 7}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0833333333333333,0.8441558441558441,0.7792207792207793,1.187214611872146,0.8441558441558441,0.711038961038961,0.05225706100463867,0.0004489421844482422,2,206,38,studentmath (30),1
4,133.5,"{2, 10, 38, 6}",123.5,"{8, 3, 37, 6}",133.5,"{2, 10, 38, 6}",109.5,"{1, 18, 15, 7}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0809716599190284,0.8668831168831169,0.801948051948052,1.2191780821917808,0.8668831168831169,0.711038961038961,0.06876993179321289,0.00044798851013183594,2,206,38,studentmath (30),1
5,136.5,"{0, 2, 38, 6, 10}",126.0,"{0, 3, 37, 6, 8}",136.5,"{0, 2, 38, 6, 10}",110.5,"{1, 7, 14, 15, 18}",154.0,"{0, 33, 2, 1, 4, 37, 38, 6, 39, 9, 10, 11, 3, 18, 25, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0833333333333333,0.8863636363636364,0.8181818181818182,1.2352941176470589,0.8863636363636364,0.7175324675324676,0.08323287963867188,0.0008270740509033203,2,206,38,studentmath (30),1
