K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
1,{0},11.0,{3},10.5,{17},11.0,{17},11.0,11.0,{0},1.0,0.9545454545454546,1.0,1.0,0.003287076950073242,4.0,206,9,studentmath (30),0
2,{0},11.0,"{0, 3}",11.0,{17},11.0,"{17, 36}",11.0,11.0,{0},1.0,1.0,1.0,1.0,0.017619848251342773,4.0,206,9,studentmath (30),0
3,{0},11.0,"{0, 9, 3}",11.0,{17},11.0,"{17, 10, 36}",11.0,11.0,{0},1.0,1.0,1.0,1.0,0.047473907470703125,4.0,206,9,studentmath (30),0
4,{0},11.0,"{0, 9, 3, 36}",11.0,{17},11.0,"{17, 10, 3, 36}",11.0,11.0,{0},1.0,1.0,1.0,1.0,0.08820796012878418,4.0,206,9,studentmath (30),0
5,{0},11.0,"{0, 3, 36, 9, 24}",11.0,{17},11.0,"{17, 10, 3, 36}",11.0,11.0,{0},1.0,1.0,1.0,1.0,0.12427401542663574,4.0,206,9,studentmath (30),0
1,{38},18.0,{8},16.666666666666664,{38},18.0,{35},17.166666666666664,18.0,{38},1.0,0.9259259259259258,1.0,0.9537037037037036,0.006111860275268555,4.5,206,16,studentmath (30),1
2,"{0, 38}",19.0,"{8, 0}",17.666666666666664,"{0, 38}",19.0,"{0, 9}",17.666666666666664,19.0,"{0, 38}",1.0,0.9298245614035087,1.0,0.9298245614035087,0.043495893478393555,4.5,206,16,studentmath (30),1
3,"{0, 38}",19.0,"{8, 0, 35}",17.666666666666664,"{0, 38}",19.0,"{3, 10, 35}",18.0,19.0,"{0, 38}",1.0,0.9298245614035087,1.0,0.9473684210526315,0.22570300102233887,4.5,206,16,studentmath (30),1
4,"{0, 38}",19.0,"{8, 0, 35, 9}",17.666666666666664,"{0, 38}",19.0,"{0, 9, 28, 38}",19.0,19.0,"{0, 38}",1.0,0.9298245614035087,1.0,1.0,0.7944531440734863,4.5,206,16,studentmath (30),1
5,"{0, 38}",19.0,"{0, 35, 39, 8, 9}",17.666666666666664,"{0, 38}",19.0,"{0, 35, 38, 9, 28}",19.0,19.0,"{0, 38}",1.0,0.9298245614035087,1.0,1.0,2.375422954559326,4.5,206,16,studentmath (30),1
1,{38},38.43333333333333,{36},34.65,{38},38.43333333333333,{28},36.75,38.43333333333333,{38},1.0,0.9015611448395491,1.0,0.9562012142237641,0.008790016174316406,5.0,206,24,studentmath (30),2
2,"{0, 38}",40.16666666666666,"{36, 6}",34.9,"{0, 38}",40.16666666666666,"{26, 28}",36.75,40.166666666666664,"{0, 38}",0.9999999999999998,0.8688796680497926,0.9999999999999998,0.9149377593360997,0.09864687919616699,5.0,206,24,studentmath (30),2
3,"{0, 28, 38}",41.16666666666666,"{0, 36, 6}",36.63333333333333,"{0, 28, 38}",41.16666666666666,"{0, 33, 28}",38.083333333333336,41.166666666666664,"{0, 28, 38}",0.9999999999999998,0.8898785425101216,0.9999999999999998,0.9251012145748989,0.7751381397247314,5.0,206,24,studentmath (30),2
