K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,11.0,{17},11.0,{17},11.0,{0},10.5,{3},11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0476190476190477,1.0,0.9545454545454546,0.006475925445556641,0.0009779930114746094,4.0,206,9,studentmath (30),0
2,11.0,{17},11.0,"{17, 36}",11.0,{0},11.0,"{0, 3}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.01128697395324707,0.0005738735198974609,4.0,206,9,studentmath (30),0
3,11.0,{17},11.0,"{17, 10, 36}",11.0,{0},11.0,"{0, 9, 3}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.013918876647949219,0.00061798095703125,4.0,206,9,studentmath (30),0
4,11.0,{17},11.0,"{17, 10, 3, 36}",11.0,{0},11.0,"{0, 9, 3, 36}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.01024937629699707,0.0005347728729248047,4.0,206,9,studentmath (30),0
5,11.0,{17},11.0,"{17, 10, 3, 36}",11.0,{0},11.0,"{0, 3, 36, 9, 24}",11.0,{0},11,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.008815288543701172,0.0004029273986816406,4.0,206,9,studentmath (30),0
1,18.0,{38},17.166666666666664,{35},18.0,{38},16.666666666666664,{8},19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0485436893203886,0.9473684210526315,0.9035087719298245,1.08,0.9473684210526315,0.8771929824561402,0.007930278778076172,0.0005960464477539062,4.5,206,16,studentmath (30),1
2,19.0,"{0, 38}",17.666666666666664,"{0, 9}",19.0,"{0, 38}",17.666666666666664,"{8, 0}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0754716981132078,1.0,0.9298245614035087,1.0754716981132078,1.0,0.9298245614035087,0.018887758255004883,0.0005841255187988281,4.5,206,16,studentmath (30),1
3,19.0,"{0, 38}",18.0,"{3, 10, 35}",19.0,"{0, 38}",17.666666666666664,"{8, 0, 35}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0555555555555556,1.0,0.9473684210526315,1.0754716981132078,1.0,0.9298245614035087,0.026395797729492188,0.0006041526794433594,4.5,206,16,studentmath (30),1
4,19.0,"{0, 38}",19.0,"{0, 9, 28, 38}",19.0,"{0, 38}",17.666666666666664,"{8, 0, 35, 9}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0754716981132078,1.0,0.9298245614035087,0.026397228240966797,0.0005860328674316406,4.5,206,16,studentmath (30),1
5,19.0,"{0, 38}",19.0,"{0, 35, 38, 9, 28}",19.0,"{0, 38}",17.666666666666664,"{0, 35, 39, 8, 9}",19.0,"{0, 38}",19,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0754716981132078,1.0,0.9298245614035087,0.028123855590820312,0.0006210803985595703,4.5,206,16,studentmath (30),1
1,38.43333333333333,{38},36.75,{28},38.43333333333333,{38},34.65,{36},42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0458049886621315,0.915079365079365,0.875,1.109187109187109,0.915079365079365,0.825,0.01767706871032715,0.0006659030914306641,5.0,206,24,studentmath (30),2
2,40.166666666666664,"{0, 38}",36.75,"{26, 28}",40.166666666666664,"{0, 38}",34.9,"{36, 6}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.09297052154195,0.9563492063492063,0.875,1.1509073543457498,0.9563492063492063,0.8309523809523809,0.0257110595703125,0.0006468296051025391,5.0,206,24,studentmath (30),2
3,41.166666666666664,"{0, 28, 38}",38.083333333333336,"{0, 33, 28}",41.166666666666664,"{0, 28, 38}",36.63333333333333,"{0, 36, 6}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0809628008752734,0.9801587301587301,0.9067460317460319,1.1237488626023657,0.9801587301587301,0.8722222222222222,0.04539632797241211,0.0006518363952636719,5.0,206,24,studentmath (30),2
4,41.666666666666664,"{0, 10, 28, 38}",39.0,"{0, 33, 28, 7}",41.666666666666664,"{0, 10, 28, 38}",37.13333333333333,"{0, 36, 6, 39}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0683760683760684,0.992063492063492,0.9285714285714286,1.1220825852782765,0.992063492063492,0.8841269841269841,0.05373811721801758,0.0005040168762207031,5.0,206,24,studentmath (30),2
5,42.0,"{17, 3, 35, 10, 11}",39.0,"{0, 33, 7, 26, 28}",42.0,"{0, 2, 38, 10, 28}",37.63333333333333,"{0, 36, 6, 39, 11}",42.0,"{0, 2, 38, 10, 28}",42,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0769230769230769,1.0,0.9285714285714286,1.1160318866253323,1.0,0.8960317460317461,0.06073117256164551,0.000514984130859375,5.0,206,24,studentmath (30),2
1,66.71666666666667,{38},53.19119769119769,{8},66.71666666666667,{38},60.33762626262626,{7},75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.2542802110603206,0.8895555555555555,0.7092159692159692,1.1057224289247793,0.8895555555555555,0.8045016835016835,0.020987987518310547,0.0008008480072021484,5.5,206,32,studentmath (30),3
2,69.0,"{2, 38}",57.876515151515136,"{8, 3}",69.0,"{2, 38}",61.00429292929292,"{1, 7}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.192193410736024,0.92,0.7716868686868685,1.131067941070549,0.92,0.8133905723905723,0.043298959732055664,0.0010099411010742188,5.5,206,32,studentmath (30),3
3,70.83333333333333,"{2, 38, 39}",58.74873737373736,"{8, 3, 29}",70.83333333333333,"{2, 38, 39}",61.00429292929292,"{1, 23, 7}",75.0,"{1, 2, 38, 7, 39, 10, 17, 28}",75,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39}",1.2056996711728172,0.9444444444444444,0.7833164983164982,1.1611204709057568,0.9444444444444444,0.8133905723905723,0.06161308288574219,0.0008940696716308594,5.5,206,32,studentmath (30),3
