b,F(S*),S*,BFtime,graphidx
0,109.0,set(),0.0015270709991455078,0
1,109.0,set(),0.02774190902709961,0
2,109.0,set(),0.5126512050628662,0
3,109.0,set(),7.363062858581543,0
4,109.0,set(),76.40525913238525,0
5,109.0,set(),609.4733760356903,0
0,110.0,set(),0.0009667873382568359,1
1,118.5,{45},0.021511316299438477,1
2,123.5,"{42, 45}",0.5266060829162598,1
3,127.0,"{24, 42, 45}",8.395309925079346,1
4,130.5,"{24, 32, 45, 37}",97.43043184280396,1
5,134.0,"{32, 37, 42, 45, 24}",971.4271619319916,1
0,115.00000000000001,set(),0.003099203109741211,2
1,131.33333333333337,{42},0.027206897735595703,2
2,142.0,"{42, 44}",0.7036468982696533,2
3,149.66666666666669,"{42, 44, 47}",10.171929121017456,2
4,156.33333333333334,"{42, 28, 44, 47}",119.00500392913818,2
5,161.00000000000003,"{42, 44, 47, 24, 28}",1152.3704209327698,2
0,118.75,set(),0.0030829906463623047,3
1,138.5,{42},0.03050994873046875,3
2,153.0,"{42, 44}",0.821800947189331,3
3,162.75,"{42, 28, 44}",13.05676007270813,3
4,171.0,"{42, 28, 44, 47}",153.59359407424927,3
5,176.75,"{42, 12, 44, 47, 28}",1406.725775718689,3
0,118.99999999999993,set(),0.003650188446044922,4
1,149.39999999999992,{42},0.03850722312927246,4
2,168.39999999999995,"{42, 44}",1.0104529857635498,4
3,178.39999999999998,"{42, 28, 44}",15.45097017288208,4
4,186.20000000000002,"{42, 28, 44, 47}",188.72137069702148,4
5,192.2,"{41, 42, 44, 47, 28}",1762.051488161087,4
0,121.16666666666667,set(),0.0026950836181640625,5
1,156.3333333333334,{42},0.04259181022644043,5
2,178.16666666666669,"{42, 44}",1.1163330078125,5
3,188.16666666666669,"{41, 42, 44}",17.242376804351807,5
4,195.3333333333334,"{41, 42, 28, 44}",215.2310070991516,5
5,200.50000000000006,"{41, 42, 44, 47, 28}",1973.88014793396,5
0,121.0,set(),0.0030472278594970703,6
1,161.99999999999983,{42},0.04211091995239258,6
2,183.14285714285705,"{42, 44}",1.041126012802124,6
3,192.71428571428567,"{42, 28, 44}",18.7245512008667,6
4,198.8571428571428,"{41, 42, 28, 44}",233.2689528465271,6
5,203.99999999999994,"{41, 42, 44, 47, 28}",2128.331691980362,6
0,121.75,set(),0.0032079219818115234,7
1,167.625,{42},0.05063009262084961,7
2,193.0,"{42, 44}",1.2262120246887207,7
3,204.5,"{42, 28, 44}",22.98925280570984,7
4,209.0,"{41, 42, 28, 44}",278.8221790790558,7
5,212.625,"{41, 42, 44, 24, 28}",2342.792106628418,7
0,123.33333333333336,set(),0.002337932586669922,8
1,174.77777777777789,{42},0.0525360107421875,8
2,202.44444444444449,"{42, 44}",1.2447140216827393,8
3,211.6666666666667,"{42, 28, 44}",21.602420806884766,8
4,215.5555555555556,"{41, 42, 28, 44}",272.63877296447754,8
5,218.55555555555557,"{6, 41, 42, 44, 28}",2471.6275839805603,8
0,124.79999999999995,set(),0.003843069076538086,9
1,179.09999999999997,{42},0.06026315689086914,9
2,207.6,"{42, 44}",1.4246482849121094,9
3,215.7,"{42, 28, 44}",23.834568977355957,9
4,218.79999999999998,"{42, 28, 14, 44}",282.37531304359436,9
5,221.2,"{39, 41, 42, 44, 28}",2631.286695241928,9
