K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,set(),109.0,{44},109.0,set(),109.0,{38},109.0,109.0,set(),1.0,1.0,1.0,1.0,0.02774190902709961,1,224,46,studentportuguese (30),0
2,set(),109.0,"{44, 7}",109.0,set(),109.0,"{4, 38}",109.0,109.0,set(),1.0,1.0,1.0,1.0,0.5126512050628662,1,224,46,studentportuguese (30),0
3,set(),109.0,"{1, 44, 7}",109.0,set(),109.0,"{1, 4, 38}",109.0,109.0,set(),1.0,1.0,1.0,1.0,7.363062858581543,1,224,46,studentportuguese (30),0
4,set(),109.0,"{1, 18, 44, 7}",109.0,set(),109.0,"{46, 1, 4, 38}",109.0,109.0,set(),1.0,1.0,1.0,1.0,76.40525913238525,1,224,46,studentportuguese (30),0
5,set(),109.0,"{1, 7, 44, 16, 18}",109.0,set(),109.0,"{1, 4, 38, 11, 46}",109.0,109.0,set(),1.0,1.0,1.0,1.0,609.4733760356903,1,224,46,studentportuguese (30),0
1,{45},118.5,{42},115.5,{45},118.5,{13},112.0,118.5,{45},1.0,0.9746835443037974,1.0,0.9451476793248945,0.021511316299438477,2,224,48,studentportuguese (30),1
2,"{42, 45}",123.5,"{42, 7}",117.0,"{32, 45}",123.0,"{36, 13}",113.0,123.5,"{42, 45}",1.0,0.9473684210526315,0.9959514170040485,0.9149797570850202,0.5266060829162598,2,224,48,studentportuguese (30),1
3,"{24, 42, 45}",127.0,"{1, 42, 7}",117.0,"{32, 37, 45}",127.0,"{0, 24, 13}",118.0,127.0,"{24, 42, 45}",1.0,0.9212598425196851,1.0,0.9291338582677166,8.395309925079346,2,224,48,studentportuguese (30),1
4,"{24, 42, 32, 45}",130.5,"{1, 42, 49, 7}",118.5,"{24, 32, 45, 37}",130.5,"{0, 24, 36, 13}",119.0,130.5,"{24, 32, 45, 37}",1.0,0.9080459770114943,1.0,0.9118773946360154,97.43043184280396,2,224,48,studentportuguese (30),1
5,"{32, 37, 42, 45, 24}",134.0,"{1, 7, 42, 49, 18}",119.0,"{32, 37, 24, 42, 45}",134.0,"{0, 23, 24, 42, 13}",123.5,134.0,"{32, 37, 42, 45, 24}",1.0,0.8880597014925373,1.0,0.9216417910447762,971.4271619319916,2,224,48,studentportuguese (30),1
1,{42},131.33333333333337,{42},131.33333333333337,{42},131.33333333333337,{13},119.66666666666664,131.33333333333337,{42},1.0,1.0,1.0,0.9111675126903549,0.027206897735595703,3,224,48,studentportuguese (30),2
2,"{42, 44}",142.0,"{42, 7}",133.16666666666669,"{42, 44}",142.0,"{0, 13}",120.66666666666664,142.0,"{42, 44}",1.0,0.9377934272300471,1.0,0.8497652582159623,0.7036468982696533,3,224,48,studentportuguese (30),2
