K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,109.0,set(),109.0,{38},109.0,set(),109.0,{44},109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.027287006378173828,0.0007078647613525391,1,224,46,studentportuguese (30),0
2,109.0,set(),109.0,"{4, 38}",109.0,set(),109.0,"{44, 7}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.023618698120117188,0.00045013427734375,1,224,46,studentportuguese (30),0
3,109.0,set(),109.0,"{1, 4, 38}",109.0,set(),109.0,"{1, 44, 7}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.03186202049255371,0.0006501674652099609,1,224,46,studentportuguese (30),0
4,109.0,set(),109.0,"{46, 1, 4, 38}",109.0,set(),109.0,"{1, 18, 44, 7}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.034420013427734375,0.0007779598236083984,1,224,46,studentportuguese (30),0
5,109.0,set(),109.0,"{1, 4, 38, 11, 46}",109.0,set(),109.0,"{1, 7, 44, 16, 18}",109.0,set(),109,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.024233102798461914,0.0005941390991210938,1,224,46,studentportuguese (30),0
1,118.5,{45},112.0,{13},118.5,{45},115.5,{42},150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0580357142857142,0.79,0.7466666666666667,1.025974025974026,0.79,0.77,0.02617502212524414,0.0004937648773193359,2,224,48,studentportuguese (30),1
2,123.0,"{32, 45}",113.0,"{36, 13}",123.5,"{42, 45}",117.0,"{42, 7}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0884955752212389,0.82,0.7533333333333333,1.0555555555555556,0.8233333333333334,0.78,0.06998300552368164,0.0004820823669433594,2,224,48,studentportuguese (30),1
3,127.0,"{32, 37, 45}",118.0,"{0, 24, 13}",127.0,"{24, 42, 45}",117.0,"{1, 42, 7}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.076271186440678,0.8466666666666667,0.7866666666666666,1.0854700854700854,0.8466666666666667,0.78,0.09337186813354492,0.0004799365997314453,2,224,48,studentportuguese (30),1
4,130.5,"{24, 32, 45, 37}",119.0,"{0, 24, 36, 13}",130.5,"{24, 42, 32, 45}",118.5,"{1, 42, 49, 7}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.096638655462185,0.87,0.7933333333333333,1.1012658227848102,0.87,0.79,0.11164522171020508,0.0009448528289794922,2,224,48,studentportuguese (30),1
5,134.0,"{32, 37, 24, 42, 45}",123.5,"{0, 23, 24, 42, 13}",134.0,"{32, 37, 42, 45, 24}",119.0,"{1, 7, 42, 49, 18}",150.0,"{0, 6, 12, 13, 14, 16, 24, 27, 28, 29, 32, 35, 37, 38, 42, 43, 44, 45, 47}",150,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0850202429149798,0.8933333333333333,0.8233333333333334,1.1260504201680672,0.8933333333333333,0.7933333333333333,0.1241142749786377,0.0007128715515136719,2,224,48,studentportuguese (30),1
1,131.33333333333337,{42},119.66666666666664,{13},131.33333333333337,{42},131.33333333333337,{42},188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0974930362116997,0.6985815602836881,0.6365248226950353,1.0,0.6985815602836881,0.6985815602836881,0.04188275337219238,0.001032114028930664,3,224,48,studentportuguese (30),2
2,142.0,"{42, 44}",120.66666666666664,"{0, 13}",142.0,"{42, 44}",133.16666666666669,"{42, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1767955801104975,0.7553191489361702,0.6418439716312055,1.0663329161451813,0.7553191489361702,0.7083333333333335,0.08629894256591797,0.0009288787841796875,3,224,48,studentportuguese (30),2
3,149.66666666666669,"{42, 44, 47}",130.00000000000003,"{0, 24, 13}",149.66666666666669,"{42, 44, 47}",133.5,"{1, 42, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1512820512820512,0.796099290780142,0.6914893617021278,1.1210986267166043,0.796099290780142,0.7101063829787234,0.10963821411132812,0.0010607242584228516,3,224,48,studentportuguese (30),2
4,156.33333333333334,"{42, 44, 28, 47}",130.6666666666667,"{0, 24, 13, 23}",156.33333333333334,"{42, 44, 28, 47}",135.83333333333331,"{1, 42, 49, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1964285714285712,0.8315602836879433,0.695035460992908,1.1509202453987732,0.8315602836879433,0.7225177304964538,0.13543105125427246,0.0010828971862792969,3,224,48,studentportuguese (30),2
5,161.00000000000003,"{24, 42, 44, 28, 47}",144.6666666666667,"{0, 23, 24, 42, 13}",161.00000000000003,"{42, 44, 47, 24, 28}",139.66666666666666,"{1, 7, 42, 49, 18}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1129032258064515,0.8563829787234044,0.7695035460992911,1.1527446300715993,0.8563829787234044,0.7429078014184397,0.2117478847503662,0.0005512237548828125,3,224,48,studentportuguese (30),2
1,138.5,{42},130.5,{47},138.5,{42},132.25,{41},202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0613026819923372,0.6856435643564357,0.6460396039603961,1.0472589792060492,0.6856435643564357,0.6547029702970297,0.04309988021850586,0.0009019374847412109,4,224,49,studentportuguese (30),3
