b,F(S*),S*,BFtime,graphidx
0,4.666666666666666,set(),0.0019390583038330078,0
1,5.0,{32},0.002554655075073242,0
2,5.0,{32},0.008099079132080078,0
3,5.0,{32},0.013762950897216797,0
4,5.0,{32},0.0175478458404541,0
5,5.0,{32},0.019162893295288086,0
0,20.666666666666664,set(),0.0036520957946777344,1
1,21.416666666666664,{7},0.007285118103027344,1
2,22.0,"{41, 7}",0.09024310111999512,1
3,22.0,"{41, 7}",0.5586068630218506,1
4,22.0,"{41, 7}",2.8832361698150635,1
5,22.0,"{41, 7}",11.322112798690796,1
0,42.397619047619045,set(),0.0007431507110595703,2
1,45.41666666666667,{42},0.011899232864379883,2
2,46.0,"{42, 12}",0.18459868431091309,2
3,46.5,"{42, 3, 12}",2.0639657974243164,2
4,47.0,"{42, 3, 12, 7}",15.019649028778076,2
5,47.0,"{42, 3, 12, 7}",89.44562101364136,2
0,54.91973304473304,set(),0.0023581981658935547,3
1,60.714285714285715,{42},0.016901016235351562,3
2,62.78095238095238,"{42, 14}",0.3257889747619629,3
3,64.28095238095239,"{42, 44, 14}",4.292565822601318,3
4,65.66666666666666,"{42, 12, 14, 44}",41.82361602783203,3
5,66.5,"{42, 12, 44, 14, 24}",294.4796459674835,3
0,74.86406401812243,set(),0.0030040740966796875,4
1,90.50079365079364,{41},0.02664971351623535,4
2,95.03015873015872,"{42, 44}",0.6234650611877441,4
3,98.48571428571427,"{41, 42, 44}",7.994104623794556,4
4,100.15238095238094,"{41, 18, 42, 44}",87.82289099693298,4
5,101.55238095238096,"{41, 42, 44, 47, 18}",711.4365198612213,4
0,97.25089835250746,set(),0.00653076171875,5
1,128.60263347763347,{42},0.038950204849243164,5
2,138.67023809523806,"{42, 44}",0.9505748748779297,5
3,143.6982683982684,"{24, 42, 44}",14.73026704788208,5
4,147.29826839826836,"{24, 42, 44, 47}",178.5319311618805,5
5,149.96969696969697,"{42, 44, 47, 24, 28}",1558.944090127945,5
0,103.21452157990244,set(),0.005841732025146484,6
1,160.4953452249505,{42},0.05641913414001465,6
2,171.29047619047617,"{42, 44}",1.3580551147460938,6
3,174.3047619047619,"{42, 28, 44}",22.372806072235107,6
4,176.07142857142856,"{42, 28, 44, 47}",269.88660502433777,6
5,177.57142857142856,"{41, 42, 44, 47, 28}",2472.6074612140656,6
0,107.83169672832011,set(),0.006675004959106445,7
1,185.71396970687593,{42},0.07784295082092285,7
2,193.3166666666667,"{42, 44}",1.982151746749878,7
3,196.08333333333334,"{42, 44, 47}",33.387084007263184,7
4,197.53333333333333,"{16, 42, 44, 47}",411.2803509235382,7
5,198.78333333333333,"{39, 42, 44, 47, 16}",3716.208688020706,7
0,107.26749505329869,set(),0.014930963516235352,8
1,201.12025987858036,{42},0.10260581970214844,8
2,207.78626373626375,"{42, 44}",2.5914340019226074,8
3,210.10769230769233,"{24, 42, 44}",43.30608105659485,8
4,211.80769230769232,"{24, 42, 12, 44}",532.1783390045166,8
5,212.64102564102566,"{42, 12, 44, 18, 24}",4750.501828193665,8
0,106.47523814257033,set(),0.006467103958129883,9
1,212.33983588874892,{42},0.12004995346069336,9
2,216.64285714285714,"{42, 44}",3.106862783432007,9
3,218.04285714285714,"{42, 44, 39}",50.51371097564697,9
4,219.14285714285714,"{42, 28, 44, 39}",621.3248281478882,9
5,220.0,"{39, 42, 44, 13, 28}",5692.573128223419,9
0,104.43712401980396,set(),0.005976676940917969,10
1,220.10950854700855,{44},0.13613581657409668,10
2,221.5,"{12, 13}",3.4336609840393066,10
3,222.0,"{10, 18, 47}",57.65305805206299,10
4,222.0,"{10, 18, 47}",707.3479900360107,10
5,222.0,"{10, 18, 47}",8018.967390060425,10
0,102.22207225585376,set(),0.008282899856567383,11
1,222.76724137931035,{44},0.14904308319091797,11
2,223.51724137931035,"{44, 13}",4.33866810798645,11
3,224.0,"{0, 13, 30}",72.28700399398804,11
4,224.0,"{0, 13, 30}",836.3328428268433,11
5,224.0,"{0, 13, 30}",7536.860654115677,11
0,99.81080216190242,set(),0.009933948516845703,12
1,224.0,{44},0.15948009490966797,12
2,224.0,{44},3.9733428955078125,12
3,224.0,{44},65.84590005874634,12
4,224.0,{44},807.9246029853821,12
5,224.0,{44},7760.441277980804,12
