K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
1,{32},5.0,{28},5.0,{32},5.0,{32},5.0,5.0,{32},1.0,1.0,1.0,1.0,0.002554655075073242,4.0,224,6,studentportuguese (30),0
2,{32},5.0,"{32, 28}",5.0,{32},5.0,{32},5.0,5.0,{32},1.0,1.0,1.0,1.0,0.008099079132080078,4.0,224,6,studentportuguese (30),0
3,{32},5.0,"{32, 41, 28}",5.0,{32},5.0,{32},5.0,5.0,{32},1.0,1.0,1.0,1.0,0.013762950897216797,4.0,224,6,studentportuguese (30),0
4,{32},5.0,"{32, 41, 18, 28}",5.0,{32},5.0,{32},5.0,5.0,{32},1.0,1.0,1.0,1.0,0.0175478458404541,4.0,224,6,studentportuguese (30),0
5,{32},5.0,"{32, 41, 16, 18, 28}",5.0,{32},5.0,{32},5.0,5.0,{32},1.0,1.0,1.0,1.0,0.019162893295288086,4.0,224,6,studentportuguese (30),0
1,{7},21.416666666666664,{47},20.666666666666664,{7},21.416666666666664,{35},20.666666666666664,21.416666666666664,{7},1.0,0.9649805447470817,1.0,0.9649805447470817,0.007285118103027344,4.5,224,22,studentportuguese (30),1
2,"{41, 7}",22.0,"{12, 47}",20.916666666666664,"{24, 41}",22.0,"{41, 27}",21.25,22.0,"{41, 7}",1.0,0.9507575757575757,1.0,0.9659090909090909,0.09024310111999512,4.5,224,22,studentportuguese (30),1
3,"{41, 7}",22.0,"{0, 12, 47}",20.916666666666664,"{24, 41}",22.0,"{41, 27, 35}",21.25,22.0,"{41, 7}",1.0,0.9507575757575757,1.0,0.9659090909090909,0.5586068630218506,4.5,224,22,studentportuguese (30),1
4,"{41, 7}",22.0,"{0, 27, 12, 47}",20.916666666666664,"{24, 41}",22.0,"{32, 8, 35, 37}",21.25,22.0,"{41, 7}",1.0,0.9507575757575757,1.0,0.9659090909090909,2.8832361698150635,4.5,224,22,studentportuguese (30),1
5,"{41, 7}",22.0,"{0, 12, 47, 24, 27}",21.416666666666664,"{24, 41}",22.0,"{0, 41, 27, 44, 12}",21.5,22.0,"{41, 7}",1.0,0.9734848484848484,1.0,0.9772727272727273,11.322112798690796,4.5,224,22,studentportuguese (30),1
1,{42},45.41666666666667,{14},43.147619047619045,{42},45.41666666666667,{46},42.89761904761904,45.41666666666667,{42},1.0,0.9500393184796853,1.0,0.9445347313237219,0.011899232864379883,5.0,224,32,studentportuguese (30),2
2,"{42, 12}",46.0,"{3, 14}",43.147619047619045,"{42, 12}",46.0,"{34, 46}",43.23095238095238,46.0,"{42, 12}",1.0,0.937991718426501,1.0,0.9398033126293995,0.18459868431091309,5.0,224,32,studentportuguese (30),2
3,"{42, 3, 12}",46.5,"{32, 3, 14}",44.06428571428571,"{42, 12, 14}",46.5,"{32, 34, 46}",44.147619047619045,46.5,"{42, 3, 12}",1.0,0.9476190476190475,1.0,0.949411162314388,2.0639657974243164,5.0,224,32,studentportuguese (30),2
4,"{42, 3, 12, 7}",47.0,"{32, 3, 14, 30}",44.06428571428571,"{24, 42, 12, 14}",47.0,"{32, 34, 37, 46}",44.48095238095238,47.0,"{42, 3, 12, 7}",1.0,0.9375379939209726,1.0,0.946403242147923,15.019649028778076,5.0,224,32,studentportuguese (30),2
5,"{42, 3, 12, 7}",47.0,"{32, 3, 14, 28, 30}",44.74999999999999,"{24, 42, 12, 14}",47.0,"{0, 24, 41, 13, 47}",45.21666666666667,47.0,"{42, 3, 12, 7}",1.0,0.952127659574468,1.0,0.9620567375886525,89.44562101364136,5.0,224,32,studentportuguese (30),2
1,{42},60.71428571428572,{8},55.08639971139971,{42},60.71428571428572,{13},55.16973304473304,60.714285714285715,{42},1.0000000000000002,0.9073054070112893,1.0000000000000002,0.9086779560308972,0.016901016235351562,5.5,224,39,studentportuguese (30),3
2,"{42, 14}",62.78095238095238,"{8, 1}",55.08639971139971,"{42, 14}",62.78095238095238,"{0, 13}",57.18044733044733,62.78095238095238,"{42, 14}",1.0,0.8774381021991762,1.0,0.9107929262283024,0.3257889747619629,5.5,224,39,studentportuguese (30),3
3,"{42, 44, 14}",64.28095238095239,"{8, 1, 26}",56.69592352092352,"{42, 44, 14}",64.28095238095239,"{0, 24, 13}",59.02806637806638,64.28095238095239,"{42, 44, 14}",1.0,0.8820019215789272,1.0,0.9182823867985731,4.292565822601318,5.5,224,39,studentportuguese (30),3
4,"{42, 44, 12, 14}",65.66666666666666,"{8, 1, 26, 23}",57.02925685425685,"{42, 44, 12, 14}",65.66666666666666,"{0, 24, 5, 13}",59.02806637806638,65.66666666666666,"{42, 12, 14, 44}",1.0,0.8684658404201552,1.0,0.8989045641329907,41.82361602783203,5.5,224,39,studentportuguese (30),3
5,"{42, 44, 12, 14, 24}",66.5,"{1, 8, 20, 23, 26}",57.179256854256856,"{24, 42, 44, 12, 14}",66.5,"{0, 23, 24, 42, 13}",62.93333333333334,66.5,"{42, 12, 44, 14, 24}",1.0,0.8598384489361933,1.0,0.9463659147869675,294.4796459674835,5.5,224,39,studentportuguese (30),3
1,{41},90.50079365079364,{46},76.2986297920458,{41},90.50079365079364,{13},78.19915173742066,90.50079365079364,{41},1.0,0.8430713888151268,1.0,0.8640714471428826,0.02664971351623535,6.0,224,44,studentportuguese (30),4
2,"{41, 44}",94.84761904761903,"{8, 46}",77.15858968509392,"{41, 44}",94.84761904761903,"{0, 13}",83.24867583396995,95.03015873015872,"{42, 44}",0.9980791394544756,0.8119379228249874,0.9980791394544756,0.8760237481067177,0.6234650611877441,6.0,224,44,studentportuguese (30),4
3,"{41, 42, 44}",98.48571428571428,"{8, 1, 46}",77.32525635176059,"{41, 42, 44}",98.48571428571428,"{0, 24, 13}",87.54519989814106,98.48571428571427,"{41, 42, 44}",1.0000000000000002,0.7851418544565191,1.0000000000000002,0.8889126766564949,7.994104623794556,6.0,224,44,studentportuguese (30),4
4,"{41, 42, 18, 44}",100.15238095238094,"{8, 1, 21, 46}",77.61374841525264,"{41, 42, 18, 44}",100.15238095238094,"{0, 24, 45, 13}",89.10620278414395,100.15238095238094,"{41, 18, 42, 44}",1.0,0.7749565979080951,1.0,0.8897062849310684,87.82289099693298,6.0,224,44,studentportuguese (30),4
5,"{41, 42, 44, 47, 18}",101.55238095238096,"{1, 8, 46, 18, 21}",86.25579004329002,"{18, 41, 42, 44, 47}",101.55238095238096,"{0, 23, 24, 42, 13}",93.7940476190476,101.55238095238096,"{41, 42, 44, 47, 18}",1.0,0.8493724050028558,1.0,0.9236026446591014,711.4365198612213,6.0,224,44,studentportuguese (30),4
1,{42},128.60263347763347,{42},128.60263347763347,{42},128.60263347763347,{47},122.3719914072855,128.60263347763347,{42},1.0,1.0,1.0,0.9515512093192742,0.038950204849243164,6.5,224,48,studentportuguese (30),5
2,"{42, 44}",138.67023809523806,"{42, 7}",129.57968975468978,"{42, 44}",138.67023809523806,"{37, 47}",123.89256715506716,138.67023809523806,"{42, 44}",1.0,0.9344448494109823,1.0,0.8934330023287212,0.9505748748779297,6.5,224,48,studentportuguese (30),5
3,"{24, 42, 44}",143.6982683982684,"{1, 42, 7}",129.57968975468978,"{24, 42, 44}",143.6982683982684,"{0, 13, 47}",126.20379293908704,143.6982683982684,"{24, 42, 44}",1.0,0.9017484427547302,1.0,0.878255488711288,14.73026704788208,6.5,224,48,studentportuguese (30),5
4,"{24, 42, 44, 47}",147.29826839826836,"{1, 42, 49, 7}",130.47839105339108,"{24, 42, 44, 47}",147.29826839826836,"{0, 23, 13, 47}",128.44015657545066,147.29826839826836,"{24, 42, 44, 47}",1.0,0.8858107598427476,1.0,0.8719732958989802,178.5319311618805,6.5,224,48,studentportuguese (30),5
5,"{42, 44, 47, 24, 28}",149.96969696969697,"{1, 7, 42, 49, 18}",133.69126984126984,"{24, 42, 44, 28, 47}",149.96969696969697,"{0, 37, 23, 13, 47}",129.90618686868686,149.96969696969697,"{42, 44, 47, 24, 28}",1.0,0.8914552242396252,1.0,0.8662162389708358,1558.944090127945,6.5,224,48,studentportuguese (30),5
1,{42},160.4953452249505,{41},151.65785595982962,{42},160.4953452249505,{47},149.58210049548725,160.4953452249505,{42},1.0,0.9449361646424433,1.0,0.9320027336981814,0.05641913414001465,7.0,224,49,studentportuguese (30),6
2,"{42, 44}",171.29047619047617,"{41, 7}",152.31232371429738,"{42, 44}",171.29047619047617,"{13, 47}",152.3794753428621,171.29047619047617,"{42, 44}",1.0,0.8892048589141934,1.0,0.8895968925523629,1.3580551147460938,7.0,224,49,studentportuguese (30),6
3,"{42, 44, 28}",174.3047619047619,"{41, 1, 7}",152.58505098702463,"{42, 44, 28}",174.3047619047619,"{0, 13, 47}",156.063740353214,174.3047619047619,"{42, 28, 44}",1.0,0.8753923261740567,1.0,0.8953498381099044,22.372806072235107,7.0,224,49,studentportuguese (30),6
4,"{42, 44, 28, 47}",176.07142857142856,"{48, 41, 1, 7}",153.7877414252414,"{42, 44, 28, 47}",176.07142857142856,"{0, 23, 13, 47}",159.49842744974322,176.07142857142856,"{42, 28, 44, 47}",1.0,0.873439505052081,1.0,0.9058734216212597,269.88660502433777,7.0,224,49,studentportuguese (30),6
5,"{41, 42, 44, 47, 28}",177.57142857142856,"{1, 7, 41, 48, 18}",157.43588078588076,"{41, 42, 44, 28, 47}",177.57142857142856,"{0, 19, 23, 13, 47}",160.77009145824934,177.57142857142856,"{41, 42, 44, 47, 28}",1.0,0.8866059255842038,1.0,0.905382655034389,2472.6074612140656,7.0,224,49,studentportuguese (30),6
1,{42},185.71396970687596,{40},108.78556230658948,{42},185.71396970687596,{44},175.11200550657068,185.71396970687593,{42},1.0000000000000002,0.585769409152648,1.0000000000000002,0.9429124033208757,0.07784295082092285,7.5,224,50,studentportuguese (30),7
2,"{42, 44}",193.3166666666667,"{40, 7}",111.523800266466,"{42, 44}",193.3166666666667,"{44, 12}",184.94265873015877,193.3166666666667,"{42, 44}",1.0,0.5768969752554495,1.0,0.9566824315725084,1.982151746749878,7.5,224,50,studentportuguese (30),7
3,"{42, 44, 47}",196.08333333333331,"{40, 1, 7}",112.34495497768351,"{42, 44, 47}",196.08333333333331,"{0, 44, 12}",186.63084554334557,196.08333333333334,"{42, 44, 47}",0.9999999999999999,0.5729449467625168,0.9999999999999999,0.9517935174331266,33.387084007263184,7.5,224,50,studentportuguese (30),7
4,"{16, 42, 44, 47}",197.53333333333333,"{40, 1, 47, 7}",173.83099671432046,"{16, 42, 44, 47}",197.53333333333333,"{0, 19, 44, 12}",187.27528998779,197.53333333333333,"{16, 42, 44, 47}",1.0,0.8800084207609878,1.0,0.9480693046968781,411.2803509235382,7.5,224,50,studentportuguese (30),7
5,"{39, 42, 44, 47, 16}",198.78333333333333,"{1, 7, 40, 47, 17}",174.27204134220725,"{16, 39, 42, 44, 47}",198.78333333333333,"{0, 19, 36, 44, 12}",187.57638888888889,198.78333333333333,"{39, 42, 44, 47, 16}",1.0,0.8766934250467372,1.0,0.9436223135183477,3716.208688020706,7.5,224,50,studentportuguese (30),7
1,{42},201.1202598785804,{40},108.5639600070642,{42},201.1202598785804,{44},197.29323944573943,201.12025987858036,{42},1.0000000000000002,0.5397962396856789,1.0000000000000002,0.9809714822606566,0.10260581970214844,8.0,224,50,studentportuguese (30),8
2,"{42, 44}",207.78626373626372,"{40, 7}",111.63044849562566,"{42, 44}",207.78626373626372,"{44, 12}",203.7529304029304,207.78626373626375,"{42, 44}",0.9999999999999999,0.5372369014600239,0.9999999999999999,0.9805890280675496,2.5914340019226074,8.0,224,50,studentportuguese (30),8
3,"{24, 42, 44}",210.10769230769236,"{40, 1, 7}",112.72403066986044,"{24, 42, 44}",210.10769230769236,"{0, 44, 12}",204.83626373626373,210.10769230769233,"{24, 42, 44}",1.0000000000000002,0.5365059671626952,1.0000000000000002,0.9749108254270441,43.30608105659485,8.0,224,50,studentportuguese (30),8
4,"{24, 42, 44, 12}",211.80769230769232,"{40, 1, 47, 7}",195.48163801884388,"{24, 42, 44, 12}",211.80769230769232,"{0, 19, 44, 12}",205.43626373626373,211.80769230769232,"{24, 42, 12, 44}",1.0,0.9229203901379954,1.0,0.9699188046382525,532.1783390045166,8.0,224,50,studentportuguese (30),8
5,"{42, 44, 12, 18, 24}",212.6410256410257,"{1, 7, 40, 47, 17}",195.8350649350649,"{18, 24, 42, 44, 12}",212.6410256410257,"{0, 18, 19, 44, 12}",206.2695970695971,212.64102564102566,"{42, 12, 44, 18, 24}",1.0000000000000002,0.9209655772901881,1.0000000000000002,0.9700366918743863,4750.501828193665,8.0,224,50,studentportuguese (30),8
1,{42},212.3398358887489,{40},108.14169387967848,{42},212.3398358887489,{44},210.77248976513684,212.33983588874892,{42},0.9999999999999999,0.5092859445193181,0.9999999999999999,0.9926186901433169,0.12004995346069336,8.5,224,50,studentportuguese (30),9
2,"{42, 44}",216.64285714285717,"{40, 7}",111.07955887236528,"{42, 44}",216.64285714285717,"{44, 12}",214.1063186813187,216.64285714285714,"{42, 44}",1.0000000000000002,0.5127312311945644,1.0000000000000002,0.988291612772325,3.106862783432007,8.5,224,50,studentportuguese (30),9
3,"{42, 44, 39}",218.04285714285717,"{40, 1, 7}",112.37542163077582,"{42, 44, 39}",218.04285714285717,"{0, 44, 12}",214.7063186813187,218.04285714285714,"{42, 44, 39}",1.0000000000000002,0.5153822652266467,1.0000000000000002,0.9846977859983167,50.51371097564697,8.5,224,50,studentportuguese (30),9
4,"{42, 44, 28, 39}",219.14285714285717,"{40, 1, 47, 7}",207.8222362604716,"{42, 44, 28, 39}",219.14285714285717,"{0, 19, 44, 12}",215.3063186813187,219.14285714285714,"{42, 28, 44, 39}",1.0000000000000002,0.948341364943482,1.0000000000000002,0.9824929796409588,621.3248281478882,8.5,224,50,studentportuguese (30),9
5,"{39, 42, 44, 13, 28}",220.0,"{1, 7, 40, 47, 17}",208.1039417466592,"{28, 39, 42, 44, 13}",220.0,"{0, 19, 36, 44, 12}",215.3063186813187,220.0,"{39, 42, 44, 13, 28}",1.0,0.9459270079393599,1.0,0.978665084915085,5692.573128223419,8.5,224,50,studentportuguese (30),9
1,{44},220.10950854700852,{40},106.2760244203904,{44},220.10950854700852,{44},220.10950854700852,220.10950854700855,{44},0.9999999999999999,0.48283250061272637,0.9999999999999999,0.9999999999999999,0.13613581657409668,9.0,224,50,studentportuguese (30),10
2,"{42, 44}",221.5,"{40, 7}",108.88194925749374,"{42, 44}",221.5,"{44, 12}",220.77777777777777,221.5,"{12, 13}",1.0,0.4915663623363149,1.0,0.9967394030599448,3.4336609840393066,9.0,224,50,studentportuguese (30),10
3,"{42, 44, 14}",222.0,"{40, 1, 7}",110.39661543701482,"{42, 44, 14}",222.0,"{44, 12, 36}",220.77777777777777,222.0,"{10, 18, 47}",1.0,0.49728205151808474,1.0,0.9944944944944945,57.65305805206299,9.0,224,50,studentportuguese (30),10
4,"{42, 44, 14}",222.0,"{40, 1, 47, 7}",219.82301228183584,"{42, 44, 14}",222.0,"{4, 44, 12, 36}",220.77777777777777,222.0,"{10, 18, 47}",1.0,0.9901937490172785,1.0,0.9944944944944945,707.3479900360107,9.0,224,50,studentportuguese (30),10
5,"{42, 44, 14}",222.0,"{1, 7, 40, 47, 17}",219.9210164835165,"{42, 44, 14}",222.0,"{0, 18, 19, 44, 12}",221.27777777777777,222.0,"{10, 18, 47}",1.0,0.9906352093852094,1.0,0.9967467467467467,8018.967390060425,9.0,224,50,studentportuguese (30),10
1,{44},222.76724137931035,{40},104.16004223175798,{44},222.76724137931035,{44},222.76724137931035,222.76724137931035,{44},1.0,0.46757342590781803,1.0,1.0,0.14904308319091797,9.5,224,50,studentportuguese (30),11
2,"{44, 13}",223.51724137931035,"{40, 7}",106.52273650324447,"{44, 13}",223.51724137931035,"{44, 12}",223.25,223.51724137931035,"{44, 13}",1.0,0.47657503218051367,1.0,0.9988043813637766,4.33866810798645,9.5,224,50,studentportuguese (30),11
3,"{0, 44, 13}",224.0,"{40, 1, 7}",108.33414392715994,"{0, 44, 13}",224.0,"{44, 12, 36}",223.25,224.0,"{0, 13, 30}",1.0,0.4836345711033926,1.0,0.9966517857142857,72.28700399398804,9.5,224,50,studentportuguese (30),11
4,"{0, 44, 13}",224.0,"{40, 1, 47, 7}",222.15,"{0, 44, 13}",224.0,"{4, 44, 12, 36}",223.33333333333331,224.0,"{0, 13, 30}",1.0,0.9917410714285715,1.0,0.9970238095238094,836.3328428268433,9.5,224,50,studentportuguese (30),11
5,"{0, 44, 13}",224.0,"{1, 7, 40, 47, 17}",222.18157894736845,"{0, 44, 13}",224.0,"{1, 36, 4, 44, 12}",223.33333333333331,224.0,"{0, 13, 30}",1.0,0.9918820488721806,1.0,0.9970238095238094,7536.860654115677,9.5,224,50,studentportuguese (30),11
1,{44},224.0,{40},101.80476461493258,{44},224.0,{44},224.0,224.0,{44},1.0,0.4544855563166633,1.0,1.0,0.15948009490966797,10.0,224,50,studentportuguese (30),12
2,{44},224.0,"{40, 7}",104.03765004612704,{44},224.0,"{44, 36}",224.0,224.0,{44},1.0,0.4644537948487814,1.0,1.0,3.9733428955078125,10.0,224,50,studentportuguese (30),12
3,{44},224.0,"{40, 1, 7}",106.05214044190716,{44},224.0,"{44, 4, 36}",224.0,224.0,{44},1.0,0.4734470555442284,1.0,1.0,65.84590005874634,10.0,224,50,studentportuguese (30),12
4,{44},224.0,"{40, 1, 47, 7}",222.53333333333333,{44},224.0,"{1, 44, 4, 36}",224.0,224.0,{44},1.0,0.993452380952381,1.0,1.0,807.9246029853821,10.0,224,50,studentportuguese (30),12
5,{44},224.0,"{1, 7, 40, 47, 17}",222.5555555555556,{44},224.0,"{1, 36, 4, 40, 44}",224.0,224.0,{44},1.0,0.9935515873015875,1.0,1.0,7760.441277980804,10.0,224,50,studentportuguese (30),12
