K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,5.0,{32},5.0,{32},5.0,{32},5.0,{28},5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.0023300647735595703,0.0003209114074707031,4.0,224,6,studentportuguese (30),0
2,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.007511615753173828,0.0006322860717773438,4.0,224,6,studentportuguese (30),0
3,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.005219221115112305,0.0006411075592041016,4.0,224,6,studentportuguese (30),0
4,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 18, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.007217884063720703,0.0006361007690429688,4.0,224,6,studentportuguese (30),0
5,5.0,{32},5.0,{32},5.0,{32},5.0,"{32, 41, 16, 18, 28}",5.0,{32},5,"{32, 41, 16, 18, 24, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.0066051483154296875,0.0006489753723144531,4.0,224,6,studentportuguese (30),0
1,21.416666666666664,{7},20.666666666666664,{35},21.416666666666664,{7},20.666666666666664,{47},22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0362903225806452,0.9734848484848484,0.9393939393939393,1.0362903225806452,0.9734848484848484,0.9393939393939393,0.010773897171020508,0.0008692741394042969,4.5,224,22,studentportuguese (30),1
2,22.0,"{24, 41}",21.25,"{41, 27}",22.0,"{41, 7}",20.916666666666664,"{12, 47}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.035294117647059,1.0,0.9659090909090909,1.0517928286852591,1.0,0.9507575757575757,0.026068925857543945,0.0007510185241699219,4.5,224,22,studentportuguese (30),1
3,22.0,"{24, 41}",21.25,"{41, 27, 35}",22.0,"{41, 7}",20.916666666666664,"{0, 12, 47}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.035294117647059,1.0,0.9659090909090909,1.0517928286852591,1.0,0.9507575757575757,0.029245853424072266,0.0006289482116699219,4.5,224,22,studentportuguese (30),1
4,22.0,"{24, 41}",21.25,"{32, 8, 35, 37}",22.0,"{41, 7}",20.916666666666664,"{0, 27, 12, 47}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.035294117647059,1.0,0.9659090909090909,1.0517928286852591,1.0,0.9507575757575757,0.035866737365722656,0.0011839866638183594,4.5,224,22,studentportuguese (30),1
5,22.0,"{24, 41}",21.5,"{0, 41, 27, 44, 12}",22.0,"{41, 7}",21.416666666666664,"{0, 12, 47, 24, 27}",22.0,"{41, 7}",22,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0232558139534884,1.0,0.9772727272727273,1.0272373540856032,1.0,0.9734848484848484,0.03532290458679199,0.0006718635559082031,4.5,224,22,studentportuguese (30),1
1,45.41666666666667,{42},42.89761904761904,{46},45.41666666666667,{42},43.147619047619045,{14},47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0587223178109566,0.9663120567375888,0.9127152988855115,1.0525880145679287,0.9663120567375888,0.9180344478216819,0.019394874572753906,0.0007059574127197266,5.0,224,32,studentportuguese (30),2
2,46.0,"{42, 12}",43.23095238095238,"{34, 46}",46.0,"{42, 12}",43.147619047619045,"{3, 14}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0640524315690918,0.9787234042553191,0.9198074974670719,1.0661074936541222,0.9787234042553191,0.9180344478216819,0.03803372383117676,0.0006291866302490234,5.0,224,32,studentportuguese (30),2
3,46.5,"{42, 12, 14}",44.147619047619045,"{32, 34, 46}",46.5,"{42, 3, 12}",44.06428571428571,"{32, 3, 14}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.053284435335994,0.9893617021276596,0.9393110435663626,1.0552763819095479,0.9893617021276596,0.9375379939209726,0.06283402442932129,0.0008108615875244141,5.0,224,32,studentportuguese (30),2
4,47.0,"{24, 42, 12, 14}",44.48095238095238,"{32, 34, 37, 46}",47.0,"{42, 3, 12, 7}",44.06428571428571,"{32, 3, 14, 30}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0566320522428005,1.0,0.946403242147923,1.0666234397795429,1.0,0.9375379939209726,0.0698082447052002,0.0006499290466308594,5.0,224,32,studentportuguese (30),2
5,47.0,"{24, 42, 12, 14}",45.21666666666667,"{0, 24, 41, 13, 47}",47.0,"{42, 3, 12, 7}",44.74999999999999,"{32, 3, 14, 28, 30}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0394397346111315,1.0,0.9620567375886525,1.0502793296089388,1.0,0.952127659574468,0.08838510513305664,0.0004627704620361328,5.0,224,32,studentportuguese (30),2
1,60.714285714285715,{42},55.16973304473304,{13},60.714285714285715,{42},55.08639971139971,{8},67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1004999002815006,0.906183368869936,0.823428851413926,1.1021647091182356,0.906183368869936,0.8221850703193986,0.03275799751281738,0.0009002685546875,5.5,224,39,studentportuguese (30),3
2,62.78095238095238,"{42, 14}",57.18044733044733,"{0, 13}",62.78095238095238,"{42, 14}",55.08639971139971,"{8, 1}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0979444077822544,0.9370291400142146,0.8534395123947363,1.1396815313737112,0.9370291400142146,0.8221850703193986,0.05054473876953125,0.0008351802825927734,5.5,224,39,studentportuguese (30),3
